Full Name,RIC
Delta Electronics,DELTA
Airports of Thailand,AOT
PTT,PTT
Advanced Information Service,ADVANC
Gulf Energy Development,GULF
Bangkok Dusit Medical Services,BDMS
CP All,CPALL
PTT Exploration and Production,PTTEP
SCB X Public Company Limited,SCB
Stars Microelectronics,SMT
2S Metal,2S
3BB Internet Infrastructure,3BBIFu
Aapico Hitech,AH
Absolute Clean Energy,ACE
Addtech Hub,ADDm
Advanced Connection Corporation,ACC
Advanced Information Technology,AIT
Aeon Thana Sinsap (Thailand),AEONTS
After You,AUm
Agripure Holdings,APURE
AI Energy,AIE
Asia Medical and Agricultural Laboratory and Research Center,AMARCm
Aikchol Hospital,AHC
AIM Commercial Growth Freehold and Leasehold REIT,AIMCGu
AIM Industrial Growth Freehold and Leasehold REIT,AIMIRTu
Aira Capital,AIRAm
Aira Factoring,AFm
AJ Advance Technology ORS,AJA
AJ Plast,AJ
Akkhie Prakarn,AKPm
AKS Corporation,AKS
All Energy and Utilities,AE
Alla,ALLA
Allianz Ayudhya Capital,AYUD
Ally Freehold and Leasehold REIT Units,ALLYu
Alpha Divisions,ALPHAXm
Alternative Telecom,ALT
Alucon,ALUCON
AMA Marine,AMAm
Amanah Leasing,AMANAH
Amarin Corporations,AMARIN
Amata,AMATA
Amata Summit Growth Freehold and Leasehold REIT,AMATARu
Amata VN,AMATAV
AMR Asia,AMR
Ananda Development,ANAN
AP (Thailand),AP
Applicad Public Company Limited,APPm
Aqua,AQUA
Asia Aviation,AAV
Asia Fiber,AFC
Asia Hotel,ASIA
Asia Hotel NVDR,ASIAN
Asia Plus Group Holdings,ASP
Asia Sermkij Leasing,ASK
Asian Marine Services,ASIMAR
Asphere Innovations,AS
Asset World,AWC
Assetwise,ASW
Autocorp Holding,ACG
B Grimm Power,BGRIM
Bangchak Corporation ORS,BCP
Bangkok Airway,BA
Bangkok Bank,BBL
Bangkok Chain Hospital,BCH
Bangkok Commercial Asset Management,BAM
Bangkok Expressway and Metro,BEM
Bangkok Land,BLAND
Bangkok Life Assurance,BLA
Bangkok Union Insurance,BUI
Bangsaphan Barmill,BSBM
Bank of Ayudhya,BAY
Banpu,BANPU
Banpu Power,BPP
Bbgi,BBGI
BCPG,BCPG
Beauty Community,BEAUTY
BEC World,BEC
Begistics ORS,B
Berli Jucker,BJC
Betagro,BTG
Better World Green,BWG
BG Container Glass Public,BGC
Britania,BRI
BTS Group Holdings,BTS
Bumrungrad Hospital,BH
Carabao Group,CBG
Central Pattana,CPN
Central Plaza Hotel,CENTEL
Central Retail Corporation,CRC
CH Karnchang,CK
Charn Issara Development,CI
Charoen Pokphand Foods,CPF
Charoong Thai Wire Cable,CTW
Chayo Group,CHAYO
Chememanord,CMAN
Chin Huay,CH
Chularat Hospital,CHG
Chumporn Palm Oil Industry,CPI
City Sports and Recreation,CSR
City Steel,CITY
Civil Engineering,CIVIL
CK Power,CKP
Class Venture,KOOLm
Clover Power,CV
CMO,CMOm
COM7,COM7
Copperwired,CPW
Country Group Holdings,CGH
CPN Commercial Growth Leasehold Property,CPNCGu
CPN Retail Growth Leasehold REIT,CPNREITu
Copper Gomu Industrial,CPRm
Concepts Drives and Power,CPT
Crown Seal,CSC
CSP Steel Center,CSP
Dcon Products,DCON
Delta Paint,DPAINTm
Demco,DEMCO
Dental Corporation,Dm
Dhipaya Group Holdings,TIPH
Dhouse Pattana,DHOUSEm
D,DRT
