Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	44.6	43.0	46.0	43.4	1038999.0
2000-01-05	38.2	38.0	41.0	40.6	2623999.0
2000-01-06	41.0	38.4	41.2	38.6	1340999.0
2000-01-07	38.6	38.0	39.8	38.6	1163999.0
2000-01-10	39.8	39.6	40.8	40.0	760999.0
2000-01-11	40.8	38.6	41.0	39.4	647999.0
2000-01-12	39.2	38.8	39.4	39.4	363999.0
2000-01-13	38.8	38.6	39.0	38.8	495999.0
2000-01-14	39.2	39.2	40.6	40.6	933999.0
2000-01-17	41.2	40.8	42.4	41.2	1736999.0
2000-01-18	41.6	40.8	41.8	41.0	307999.0
2000-01-19	39.2	39.2	41.6	39.6	512999.0
2000-01-20	40.0	39.2	40.2	39.6	805999.0
2000-01-21	39.2	39.2	40.6	40.0	492999.0
2000-01-24	40.2	40.0	41.2	40.8	901999.0
2000-01-25	40.0	38.8	40.0	39.2	1102999.0
2000-01-26	40.0	39.0	40.2	39.0	1029999.0
2000-01-27	39.4	38.6	39.4	38.6	1403999.0
2000-01-28	39.6	39.0	39.8	39.0	529999.0
2000-01-31	39.6	38.6	39.6	38.6	561999.0
2000-02-01	39.2	38.8	39.6	39.0	953999.0
2000-02-02	39.0	39.0	39.8	39.2	450999.0
2000-02-03	39.4	39.2	39.4	39.2	435999.0
2000-02-04	39.0	38.6	40.0	39.4	488999.0
2000-02-07	39.6	38.8	39.6	38.8	856999.0
2000-02-08	39.0	38.6	39.2	38.6	932999.0
2000-02-09	39.4	39.0	40.4	40.2	2787999.0
2000-02-10	39.8	39.4	40.2	40.2	840999.0
2000-02-11	40.6	40.4	43.6	43.0	2455999.0
2000-02-14	42.2	41.8	43.2	43.0	1398999.0
2000-02-15	42.0	39.6	42.4	39.6	1504999.0
2000-02-16	39.4	38.8	40.6	40.4	924999.0
2000-02-17	39.6	37.8	39.6	39.0	898999.0
2000-02-18	39.0	37.2	40.4	39.6	1673999.0
2000-02-22	39.0	35.2	39.0	35.2	1599999.0
2000-02-23	35.8	35.2	37.8	37.2	1799999.0
2000-02-24	37.8	37.6	39.2	38.8	1429999.0
2000-02-25	38.8	38.8	40.8	40.0	925999.0
2000-02-28	40.0	40.0	41.0	40.2	1211999.0
2000-02-29	40.8	39.6	40.8	40.4	538999.0
2000-03-01	40.4	40.0	41.2	41.2	692999.0
2000-03-02	42.0	39.2	42.0	40.2	1010999.0
2000-03-03	40.2	39.0	40.6	39.0	868999.0
2000-03-06	39.8	38.6	40.6	40.0	1299999.0
2000-03-07	38.8	38.6	39.2	39.0	1447999.0
2000-03-08	38.6	38.6	41.2	41.0	572999.0
2000-03-09	41.8	39.2	41.8	40.6	640999.0
2000-03-10	41.0	40.2	41.6	40.6	824999.0
2000-03-13	40.2	39.0	40.6	39.4	658999.0
2000-03-14	39.4	39.2	39.6	39.2	408999.0
2000-03-15	39.2	39.0	39.4	39.2	306999.0
2000-03-16	39.2	39.2	39.8	39.8	385999.0
2000-03-17	40.0	39.6	40.0	39.6	411999.0
2000-03-20	40.0	39.8	40.0	39.8	54999.0
2000-03-21	39.8	39.2	39.8	39.2	8999.0
2000-03-22	39.2	39.2	39.2	39.2	42999.0
2000-03-23	39.2	39.0	39.2	39.2	342999.0
2000-03-24	39.4	39.0	39.6	39.2	162999.0
2000-03-27	39.6	39.2	39.8	39.4	273999.0
