Date	Price Open	Price Low	Price High	Price Close	Volume
2003-10-30	11.8	38.4	39.4	38.6	5035499.0
2003-10-31	13.0	38.4	39.6	39.4	5511999.0
2003-11-03	12.5	39.8	40.8	40.0	7632499.0
2003-11-04	12.0	39.6	41.2	39.6	18706999.0
2003-11-05	12.9	40.4	42.8	42.0	13605999.0
2003-11-06	12.9	40.4	43.6	40.4	15451499.0
2003-11-07	13.2	39.4	40.8	40.0	7332999.0
2003-11-10	14.1	39.0	40.0	39.0	5121999.0
2003-11-11	14.7	38.2	39.0	38.4	14497499.0
2003-11-12	15.9	38.0	38.6	38.6	23462999.0
2003-11-13	16.0	38.0	38.6	38.0	9234499.0
2003-11-14	15.8	37.0	38.2	37.6	10311499.0
2003-11-17	16.2	36.8	38.2	37.6	22773999.0
2003-11-18	16.9	37.0	37.8	37.6	5635999.0
2003-11-19	16.9	37.6	38.0	37.6	15600999.0
2003-11-21	17.1	37.2	37.6	37.4	13097499.0
2003-11-25	17.4	37.4	37.8	37.4	18725999.0
2003-11-26	17.5	37.6	38.4	38.2	17649999.0
2003-11-27	17.2	37.8	38.4	38.0	8091499.0
2003-11-28	17.3	37.0	37.8	37.0	14237999.0
2003-12-01	16.7	37.2	38.0	37.8	9823499.0
2003-12-02	17.0	37.4	38.0	37.6	4110499.0
2003-12-03	18.4	37.6	37.8	37.8	3964499.0
2003-12-04	20.0	36.8	38.0	37.0	3483999.0
2003-12-08	20.6	36.4	37.0	36.4	1870499.0
2003-12-09	21.0	35.6	36.4	35.8	5474999.0
2003-12-11	20.8	32.0	36.2	32.0	22012499.0
2003-12-12	22.2	33.4	35.0	34.8	9967499.0
2003-12-15	25.4	35.6	37.4	35.6	1523999.0
2003-12-16	25.8	35.2	35.8	35.4	2914999.0
2003-12-17	24.6	35.6	36.6	36.2	3071499.0
2003-12-18	25.0	34.8	36.2	35.0	2991999.0
2003-12-19	24.0	35.0	35.8	35.8	3800499.0
2003-12-22	24.0	35.6	36.6	36.0	6031499.0
2003-12-23	23.8	34.4	36.2	34.8	1169999.0
2003-12-24	22.4	34.2	34.8	34.4	335999.0
2003-12-25	21.4	34.4	35.4	34.6	114999.0
2003-12-26	23.4	34.2	35.0	34.4	499.0
2003-12-29	23.0	34.6	35.2	35.2	231999.0
2003-12-30	22.6	34.0	35.2	34.8	7643499.0
2004-01-05	23.4	33.6	34.4	34.2	789999.0
2004-01-06	24.8	34.0	35.0	34.2	25499.0
2004-01-07	26.6	33.6	34.2	33.6	13100499.0
2004-01-08	27.0	33.8	35.8	35.2	5998499.0
2004-01-09	26.2	34.6	35.2	34.8	5252499.0
2004-01-12	27.0	34.6	35.6	34.8	412499.0
2004-01-13	27.4	35.0	35.8	35.4	2950999.0
2004-01-14	28.8	35.4	37.8	37.0	846999.0
2004-01-15	28.8	36.6	37.8	36.8	2962499.0
2004-01-16	28.4	35.6	36.8	36.0	4243499.0
2004-01-19	33.8	35.6	36.0	36.0	1209999.0
2004-01-20	35.4	34.4	34.8	34.4	1963999.0
2004-01-22	32.8	32.8	33.2	33.0	274999.0
2004-01-23	32.0	30.8	32.8	31.2	6662499.0
2004-01-26	33.6	31.4	32.0	32.0	10815999.0
2004-01-27	34.4	31.8	32.2	32.2	4556999.0
2004-01-28	35.0	32.2	33.0	33.0	3372499.0
2004-01-29	35.0	31.6	32.6	32.4	3795499.0
2004-01-30	35.4	31.6	32.2	31.6	3052499.0
2004-02-02	34.8	28.6	31.6	28.6	402499.0
2004-02-03	35.0	28.8	31.0	30.4	7008499.0
2004-02-04	35.8	30.0	31.2	30.8	226999.0
2004-02-05	37.6	31.0	31.4	31.4	1141499.0
2004-02-06	38.6	30.6	31.4	30.6	8209499.0
2004-02-09	41.2	30.6	31.0	31.0	1690499.0
2004-02-10	44.4	31.0	32.8	32.8	1810999.0
2004-02-16	40.8	32.0	32.4	32.2	9999.0
2004-02-25	38.0	30.2	30.8	30.4	4769499.0
2004-03-03	35.8	29.2	29.6	29.6	303499.0
2004-03-08	40.8	30.0	30.2	30.2	1465999.0
2004-03-11	38.8	28.6	30.6	29.2	99999.0
2004-03-12	37.6	27.4	29.4	28.0	4055999.0
2004-03-15	37.6	27.0	27.8	27.0	1156499.0
2004-03-17	35.6	26.4	27.0	26.4	50999.0
2004-03-18	34.8	26.6	27.2	27.0	4867999.0
2004-03-22	36.6	27.4	27.6	27.6	119999.0
2004-03-23	37.2	27.4	27.8	27.6	1838999.0
2004-03-24	37.2	27.2	27.2	27.2	299999.0
2004-03-31	39.0	24.8	25.6	25.6	44999.0
2004-04-02	38.4	24.8	26.4	25.4	9999.0
2004-04-16	38.8	27.4	30.8	30.0	3937999.0
2004-04-19	46.0	29.8	31.2	29.8	199999.0
2004-05-06	45.6	27.6	28.2	27.6	40999.0
2004-05-13	43.6	27.0	28.0	27.2	7499.0
2004-05-25	45.6	25.6	25.8	25.6	99999.0
2004-05-28	45.6	26.0	27.0	26.0	53499.0
2004-06-04	44.0	25.4	25.8	25.6	24999.0
2004-06-09	42.0	26.0	28.0	27.0	3944999.0
2004-06-11	42.8	27.4	28.4	27.6	4999.0
2004-06-28	38.2	31.0	31.75	31.0	18700.0
2004-06-30	38.0	30.25	31.25	30.25	2000.0
2004-07-02	38.0	29.75	30.25	30.0	50300.0
2004-07-09	38.8	33.25	35.0	34.0	52300.0
2004-07-21	35.6	32.75	33.25	32.75	3500.0
2004-07-23	34.0	33.0	33.25	33.0	600.0
2004-07-26	33.4	31.75	32.75	31.75	20000.0
2004-07-28	35.0	30.75	31.0	30.75	38000.0
2004-08-02	36.2	31.25	32.0	32.0	236.0
2004-08-05	36.0	33.75	34.75	33.75	20200.0
2004-08-09	35.0	32.25	34.0	33.5	30000.0
2004-08-12	34.8	32.5	33.25	32.75	250.0
2004-08-16	34.0	32.0	32.5	32.5	7500.0
2004-08-19	34.2	32.0	33.25	32.0	40000.0
2004-08-20	35.2	32.5	33.0	33.0	27200.0
2004-08-24	35.8	32.5	32.5	32.5	9400.0
2004-08-27	34.4	33.75	35.25	35.0	15300.0
2004-08-30	33.8	34.25	35.0	34.75	108000.0
2004-08-31	33.4	34.25	34.75	34.75	2000.0
2004-09-02	33.0	33.75	34.75	33.75	16700.0
2004-09-03	33.0	33.0	34.5	33.0	23300.0
2004-09-15	34.0	32.75	33.25	33.0	38500.0
2004-09-16	34.0	32.75	33.25	32.75	36300.0
2004-09-17	31.2	31.75	32.5	32.25	500.0
2004-09-20	28.8	31.75	32.5	31.75	13900.0
2004-09-22	28.0	32.25	33.0	33.0	15100.0
2004-09-24	25.2	31.75	32.5	32.0	54.0
2004-10-01	25.2	32.0	32.25	32.0	25900.0
2004-10-07	23.2	31.5	32.0	31.5	9000.0
2004-10-11	22.8	31.75	32.5	31.75	49800.0
2004-10-12	24.2	31.25	32.0	31.25	44.0
2004-10-18	23.8	32.5	32.5	32.5	17401.0
2004-10-20	23.4	32.25	33.25	33.25	29000.0
2004-10-22	23.4	32.0	32.5	32.0	22000.0
2004-10-27	23.4	31.0	31.5	31.25	20700.0
2004-10-28	23.4	31.25	31.5	31.25	5700.0
2004-11-01	23.8	32.25	32.5	32.5	10000.0
2004-11-09	22.6	33.25	33.25	33.25	3000.0
2004-11-22	22.6	33.25	33.25	33.25	23300.0
2004-12-02	20.2	33.0	33.0	33.0	30000.0
2004-12-03	21.8	33.0	33.75	33.0	71000.0
2004-12-08	22.6	33.0	34.0	33.0	7100.0
2004-12-20	20.6	34.0	34.25	34.25	24500.0
2004-12-24	21.2	37.75	39.0	38.0	500.0
2005-01-12	19.0	36.5	37.75	37.75	1300.0
2005-01-14	18.6	38.0	38.0	38.0	19300.0
2005-01-17	18.4	37.0	38.25	37.0	100.0
2005-01-18	17.8	37.75	38.0	38.0	27100.0
2005-01-20	18.8	39.25	39.5	39.25	1400.0
2005-01-25	20.6	39.0	40.25	39.0	4600.0
2005-01-31	19.0	38.25	38.5	38.5	16800.0
2005-02-01	19.2	39.0	40.0	39.75	13900.0
2005-02-04	18.8	43.75	44.5	44.25	9400.0
2005-02-07	19.2	44.25	46.25	45.5	100.0
2005-02-08	19.1	45.5	45.75	45.75	4100.0
2005-02-11	19.0	43.0	44.5	43.0	20000.0
2005-02-15	20.0	43.5	46.0	45.25	14400.0
2005-02-16	20.8	45.0	45.25	45.0	4000.0
2005-02-28	20.2	44.5	44.75	44.5	28600.0
2005-03-03	22.8	43.5	43.5	43.5	15400.0
2005-03-07	22.8	42.0	42.5	42.0	35400.0
2005-03-18	20.4	40.0	40.0	40.0	18000.0
2005-03-21	20.8	40.25	40.25	40.25	50000.0
2005-03-23	20.2	40.0	40.0	40.0	20000.0
2005-04-07	20.4	38.5	40.0	40.0	21600.0
2005-04-12	19.5	40.0	40.0	40.0	33000.0
2005-04-18	19.9	40.0	40.0	40.0	27000.0
2005-04-19	20.2	39.0	40.0	39.0	31100.0
2005-04-20	20.4	39.0	40.0	39.25	18800.0
2005-04-22	22.0	36.0	39.25	39.25	100.0
2005-04-25	22.8	39.25	39.25	39.25	20000.0
2005-05-04	24.0	39.5	39.75	39.75	11200.0
2005-05-06	26.6	39.75	39.75	39.75	6000.0
2005-05-09	27.0	40.5	40.5	40.5	51700.0
2005-05-26	28.2	40.0	40.0	40.0	120000.0
2005-06-17	32.2	38.5	38.5	38.5	100.0
2005-06-24	28.0	37.5	39.25	39.25	7300.0
2005-07-06	29.8	36.75	36.75	36.75	20000.0
2005-07-07	30.0	36.75	37.5	36.75	22500.0
2005-07-27	30.6	32.0	34.0	34.0	25000.0
2005-07-28	29.8	33.75	34.0	33.75	10100.0
2005-07-29	28.8	33.5	34.0	33.5	100.0
2005-08-02	28.4	33.0	33.5	33.0	100.0
2005-08-04	32.2	33.25	33.75	33.5	500.0
2005-08-11	35.8	34.5	39.0	39.0	28100.0
2005-08-24	41.2	34.25	34.5	34.25	20000.0
2005-09-01	41.2	34.0	34.5	34.5	29800.0
2005-09-07	39.4	37.0	39.0	39.0	1000.0
2005-09-08	39.8	34.0	34.0	34.0	27700.0
2005-09-15	39.8	34.0	34.0	34.0	11000.0
2005-09-21	38.4	33.5	33.5	33.5	300.0
2005-09-22	39.2	33.5	35.0	34.0	50000.0
2005-09-26	39.8	34.0	35.0	34.25	11600.0
2005-09-29	38.8	32.75	34.0	33.0	2000.0
2005-10-03	38.8	32.0	32.5	32.0	26600.0
2005-10-04	38.6	32.5	32.75	32.5	10000.0
2005-10-14	40.0	32.5	32.5	32.5	25500.0
2005-10-19	38.6	32.25	33.0	32.25	26400.0
2005-10-20	38.2	32.0	33.0	33.0	20000.0
2005-10-25	37.0	31.75	32.0	32.0	17600.0
2005-11-01	37.8	32.5	32.75	32.75	4500.0
2005-11-03	38.4	32.0	32.0	32.0	46000.0
2005-11-08	38.0	32.25	33.0	33.0	28000.0
2005-11-18	33.4	32.25	32.5	32.5	3200.0
2005-11-28	36.2	32.0	32.0	32.0	60000.0
2005-12-01	34.8	31.75	31.75	31.75	22700.0
2005-12-02	34.2	31.75	32.0	31.75	14300.0
2005-12-07	35.2	32.5	32.5	32.5	19100.0
2005-12-20	35.2	32.5	32.5	32.5	36600.0
2005-12-21	34.8	32.5	32.5	32.5	34900.0
2005-12-23	35.4	32.5	32.5	32.5	40000.0
2005-12-28	36.0	32.75	33.25	33.25	11300.0
2005-12-30	34.4	33.75	33.75	33.75	300.0
2006-01-13	30.0	34.5	34.5	34.5	14000.0
2006-01-17	31.2	33.5	33.75	33.5	11400.0
2006-01-18	30.6	33.5	34.0	34.0	7000.0
2006-01-19	31.4	34.0	34.0	34.0	15000.0
2006-01-24	31.4	34.25	34.5	34.5	24000.0
2006-01-26	32.2	35.25	35.5	35.25	10000.0
2006-01-30	32.2	35.25	35.25	35.25	77000.0
2006-01-31	32.0	35.25	35.25	35.25	357500.0
2006-02-01	31.6	35.25	35.25	35.25	190800.0
2006-02-02	31.4	35.25	35.25	35.25	310600.0
2006-02-06	29.8	35.25	35.25	35.25	20600.0
2006-02-08	29.4	35.75	36.0	36.0	8300.0
2006-02-09	29.4	36.25	36.5	36.5	27000.0
2006-02-14	29.2	36.5	36.5	36.5	210000.0
2006-02-23	27.8	39.5	39.5	39.5	54000.0
2006-02-28	26.6	40.5	42.0	41.25	3000.0
2006-03-01	27.0	41.25	41.5	41.5	25000.0
2006-03-07	27.2	42.75	44.25	42.75	45000.0
2006-03-08	26.6	43.0	44.0	43.25	67000.0
2006-03-21	27.4	44.0	44.25	44.0	31400.0
2006-03-22	27.0	44.25	44.25	44.25	6000.0
2006-03-24	26.8	44.75	48.0	46.5	1600.0
2006-03-28	26.8	48.0	48.5	48.5	40000.0
2006-04-05	28.0	47.75	49.0	48.5	60000.0
2006-04-07	27.8	48.75	50.0	49.75	5600.0
2006-04-12	28.8	53.0	56.0	56.0	1511800.0
2006-04-17	28.2	56.0	56.5	56.5	610200.0
2006-04-18	28.2	55.0	55.0	55.0	2498300.0
2006-04-20	29.2	55.0	55.0	55.0	5168100.0
2006-04-21	29.2	50.0	53.5	51.5	2112700.0
2006-04-24	28.2	50.0	51.0	50.0	2158900.0
2006-04-25	27.8	49.75	50.0	49.75	1645700.0
2006-04-27	27.0	45.5	47.25	47.0	1247800.0
2006-04-28	27.0	46.5	47.0	46.75	644500.0
2006-05-02	27.8	47.0	47.5	47.5	2645700.0
2006-05-03	27.2	47.5	48.5	47.5	3926700.0
2006-05-04	26.4	47.5	48.0	48.0	2094500.0
2006-05-08	25.8	47.0	47.5	47.0	4142400.0
2006-05-09	26.0	46.5	47.0	47.0	1203700.0
2006-05-10	26.2	48.5	49.0	48.5	1994700.0
2006-05-11	25.8	48.5	49.0	49.0	815800.0
2006-05-15	26.0	49.5	49.75	49.5	3639300.0
2006-05-16	25.6	49.5	49.5	49.5	1146300.0
2006-05-17	25.8	50.0	50.0	50.0	5896800.0
2006-05-18	26.4	48.25	50.0	50.0	1238900.0
2006-05-19	27.0	48.5	50.0	49.75	1409800.0
2006-05-22	26.2	49.0	49.5	49.0	1298800.0
2006-05-24	26.2	48.0	48.25	48.25	2669800.0
2006-05-25	25.6	48.0	48.25	48.25	2119100.0
2006-05-29	25.8	47.75	47.75	47.75	65600.0
2006-05-30	26.4	47.0	47.0	47.0	1271100.0
2006-05-31	26.0	48.5	48.5	48.5	435200.0
2006-06-01	26.8	47.5	47.5	47.5	49600.0
2006-06-05	27.4	49.0	49.5	49.5	373300.0
2006-06-06	27.8	46.5	47.0	46.5	6000.0
2006-06-08	28.2	46.0	46.0	46.0	8300.0
