Date	Price Open	Price Low	Price High	Price Close	Volume
2002-04-17	3.0	3.0	3.0	3.0	999.0
2002-04-18	3.6	3.6	3.6	3.6	999.0
2002-05-14	4.0	4.0	4.5	4.5	2999.0
2002-05-15	4.9	4.8	4.9	4.8	39999.0
2002-05-16	5.0	5.0	5.0	5.0	999.0
2002-05-30	5.5	5.5	5.5	5.5	999.0
2003-05-07	6.55	6.55	6.55	6.55	200.0
2003-05-14	7.1	7.1	7.1	7.1	200.0
2003-07-15	8.0	8.0	8.0	8.0	400.0
2003-07-22	8.2	8.2	8.2	8.2	100.0
2003-07-29	8.5	8.5	8.5	8.5	100.0
2003-08-01	8.3	8.3	8.5	8.5	605000.0
2003-08-08	8.8	8.8	8.8	8.8	3200.0
2003-08-11	9.0	9.0	9.4	9.4	5200.0
2003-08-29	9.0	9.0	9.0	9.0	5000.0
2004-03-22	5.45	5.45	5.45	5.45	1105900.0
2004-03-23	5.35	5.35	5.35	5.35	207100.0
2004-03-24	5.35	5.35	5.35	5.35	279800.0
2004-12-22	6.05	6.05	6.05	6.05	198400.0
2005-01-13	6.9	6.9	6.9	6.9	1718700.0
2006-02-21	3.22	3.22	3.22	3.22	828600.0
2006-03-27	4.14	4.14	4.5	4.5	43560600.0
2006-12-20	3.64	3.64	4.0	4.0	134045904.0
2010-07-14	5.0	5.0	5.0	5.0	10000.0
2010-07-21	7.7	7.7	7.7	7.7	8000.0
2010-07-22	8.1	8.1	8.1	8.1	17000.0
2010-07-30	7.75	7.75	8.4	8.4	29500.0
2010-08-02	8.3	8.3	8.35	8.35	13400.0
2010-08-03	8.6	8.6	8.6	8.6	5000.0
2010-08-04	8.65	8.65	8.65	8.65	3500.0
2010-09-16	8.3	8.3	8.3	8.3	3000.0
2010-09-28	8.65	8.65	8.65	8.65	6000.0
2010-10-06	12.9	12.9	12.9	12.9	5000.0
2010-10-12	13.6	13.6	13.6	13.6	6000.0
2011-01-31	26.75	26.75	26.75	26.75	2000.0
2011-02-17	24.3	24.3	24.3	24.3	2000.0
2011-03-31	25.5	25.5	25.5	25.5	9200.0
2011-05-10	28.0	28.0	28.0	28.0	2000.0
2011-07-28	28.75	28.75	28.75	28.75	4000.0
2012-05-23	12.1	12.1	12.3	12.3	3000.0
2012-08-30	12.3	12.3	12.3	12.3	500.0
