Date	Price Open	Price Low	Price High	Price Close	Volume
2013-02-07	5.85	5.65	6.0	6.0	191002400
2013-02-08	6.5	6.35	7.7	7.05	449708100
2013-02-11	7.1	5.6	7.15	5.6	105144600
2013-02-12	5.6	5.6	6.4	5.8	51655400
2013-02-13	5.95	5.3	6.0	5.35	24566800
2013-02-14	5.45	5.05	5.7	5.05	23020200
2013-02-15	5.05	4.64	5.1	4.64	17967300
2013-02-18	4.32	3.94	4.34	4.04	9385200
2013-02-19	3.94	3.78	3.96	3.94	7962800
2013-02-20	3.92	3.92	4.12	4.04	6371600
2013-02-21	4.0	3.88	4.02	3.92	3943500
2013-02-22	3.94	3.9	3.96	3.94	1213500
2013-02-26	3.94	3.94	4.06	4.02	3760500
2013-02-27	4.04	4.02	4.14	4.1	3376400
2013-02-28	4.12	4.06	4.18	4.1	2398200
2013-03-01	4.12	4.08	4.26	4.22	3562000
2013-03-04	4.26	4.24	4.42	4.4	4837800
2013-03-05	4.42	4.3	4.42	4.38	1632100
2013-03-06	4.4	4.3	4.4	4.3	1616500
2013-03-07	4.34	4.22	4.36	4.22	2154900
2013-03-08	4.22	4.18	4.32	4.26	1566500
2013-03-11	4.28	3.94	4.28	3.96	20444800
2013-03-12	3.98	3.88	4.02	3.9	14180800
2013-03-13	3.92	3.84	4.0	3.88	14011600
2013-03-14	3.92	3.9	4.12	3.98	23666200
2013-03-15	3.98	3.9	4.02	3.92	5037300
2013-03-18	3.92	3.92	4.32	4.12	35026100
2013-03-19	4.2	3.98	4.24	4.06	14217900
2013-03-20	4.1	3.96	4.1	3.96	6751000
2013-03-21	4.04	3.88	4.04	3.88	5355800
2013-03-22	3.9	3.62	3.94	3.62	5778500
2013-03-25	3.64	3.64	3.8	3.8	1905100
2013-03-26	3.82	3.74	3.88	3.8	3081800
2013-03-27	3.86	3.86	4.1	3.98	8132100
2013-03-28	4.02	3.9	4.04	3.92	3757700
2013-03-29	3.94	3.94	4.04	3.94	3674100
2013-04-01	3.98	3.94	4.04	3.94	3084400
2013-04-02	3.98	3.92	3.98	3.96	2325900
2013-04-03	3.98	3.86	4.0	3.86	3225600
2013-04-04	3.8	3.74	3.84	3.82	2541300
2013-04-05	3.84	3.76	3.9	3.76	2322400
2013-04-09	3.76	3.76	3.8	3.76	310500
2013-04-10	3.74	3.74	3.8	3.78	652200
2013-04-11	3.84	3.8	3.88	3.8	1123700
2013-04-12	3.8	3.8	3.84	3.82	425300
2013-04-17	3.82	3.76	3.82	3.78	599500
2013-04-18	3.78	3.74	3.88	3.82	2148800
2013-04-19	3.82	3.82	3.9	3.84	2273100
2013-04-22	3.9	3.82	3.9	3.82	868800
2013-04-23	3.82	3.78	3.84	3.78	417600
2013-04-24	3.8	3.76	3.82	3.76	649200
