Date	Price Open	Price Low	Price High	Price Close	Volume
2016-07-04	7.642979	6.6089289	7.7778551	6.7887637	441230400
2016-07-05	6.8337224	6.8337224	7.9127312	7.9127312	397102900
2016-07-06	8.0026486	7.6879377	8.2274421	7.8677725	283705900
2016-07-07	7.9127312	7.5081029	8.0026486	7.5081029	87753500
2016-07-08	7.4631442	7.193392	7.6879377	7.193392	65725700
2016-07-11	7.3732268	7.193392	7.4631442	7.2383507	48042900
2016-07-12	7.2833094	6.7887637	7.3282681	6.7887637	37269500
2016-07-13	6.9236398	6.6089289	7.0585159	6.6988463	25660300
2016-07-14	6.743805	6.6089289	6.7887637	6.6089289	12949100
2016-07-15	6.6538876	6.6089289	7.1034746	6.9236398	40289200
2016-07-20	6.7887637	6.743805	7.2383507	7.2383507	14572500
2016-07-21	7.2383507	6.9685985	7.2383507	7.0135572	5788400
2016-07-22	7.0135572	6.8786811	7.1034746	6.9236398	2494800
2016-07-25	7.0585159	6.9236398	7.1484333	6.9685985	3764000
2016-07-26	7.0585159	6.8786811	7.0585159	6.9685985	3039900
2016-07-27	6.9236398	6.8786811	7.0135572	6.9236398	2029400
2016-07-28	6.9236398	6.9236398	7.193392	7.1484333	6710100
2016-07-29	7.1034746	7.1034746	7.5081029	7.4181855	17705200
2016-08-01	7.4631442	7.2833094	7.5980203	7.4181855	10662100
2016-08-02	7.4181855	7.3282681	7.5530616	7.3282681	7378600
2016-08-03	7.3282681	7.1484333	7.3732268	7.3282681	5706800
2016-08-04	7.3282681	7.1484333	7.3732268	7.193392	3540400
2016-08-05	7.2383507	7.1484333	7.3282681	7.2383507	2455200
2016-08-08	7.2833094	7.2833094	7.5980203	7.5980203	9059000
2016-08-09	7.642979	7.4181855	7.7328964	7.5081029	6843600
2016-08-10	7.5980203	7.4631442	7.5980203	7.5980203	3363000
2016-08-11	7.5980203	7.2833094	7.5980203	7.2833094	6305800
2016-08-15	7.193392	7.0135572	7.3732268	7.0585159	4380200
2016-08-16	6.9685985	6.8786811	7.1034746	6.9236398	5615500
2016-08-17	6.8786811	6.7887637	6.9685985	6.9685985	3627300
2016-08-18	7.1034746	7.0135572	7.1034746	7.1034746	5117100
2016-08-19	7.1034746	6.8786811	7.1484333	7.0135572	2663200
2016-08-22	7.0135572	6.8786811	7.0135572	6.9236398	2470100
2016-08-23	6.9685985	6.9236398	7.2383507	7.1034746	8513800
2016-08-24	7.1034746	7.1034746	7.4631442	7.3732268	23826200
