Date	Price Open	Price Low	Price High	Price Close	Volume
2001-03-16	17.777795556	17.777795556	17.777795556	17.777795556	22499.0
2001-05-17	20.00002	20.00002	20.00002	20.00002	8999.0
2001-05-22	20.00002	20.00002	20.00002	20.00002	8999.0
2001-05-28	20.00002	20.00002	20.00002	20.00002	4499.0
2001-06-04	22.666689333	22.666689333	22.666689333	22.666689333	22499.0
2001-06-11	22.222244444	22.222244444	22.222244444	22.222244444	44999.0
2001-06-19	22.222244444	22.222244444	22.222244444	22.222244444	44999.0
2001-07-12	22.222244444	22.222244444	22.222244444	22.222244444	4499.0
2001-07-18	22.222244444	22.222244444	22.222244444	22.222244444	8999.0
2001-07-19	22.222244444	22.222244444	22.222244444	22.222244444	31499.0
2001-07-24	22.222244444	22.222244444	22.222244444	22.222244444	89999.0
2001-07-25	22.222244444	22.222244444	22.222244444	22.222244444	22499.0
2001-08-07	23.333356667	23.333356667	23.333356667	23.333356667	22499.0
2001-09-05	24.000024	24.000024	24.000024	24.000024	4499.0
2001-10-18	24.666691333	24.666691333	24.666691333	24.666691333	17999.0
2001-12-07	25.333358667	25.333358667	25.333358667	25.333358667	60749.0
2001-12-24	27.777805556	27.777805556	27.777805556	27.777805556	8999.0
2002-01-03	27.777805556	27.777805556	27.777805556	27.777805556	4499.0
2002-01-08	28.222250444	28.222250444	28.222250444	28.222250444	23849.0
2002-01-30	28.888917778	28.888917778	28.888917778	28.888917778	4499.0
2002-02-28	33.333366667	33.333366667	33.333366667	33.333366667	4499.0
2002-04-19	37.777815556	37.777815556	37.777815556	37.777815556	2249.0
2002-08-26	40.666707333	40.444484889	40.666707333	40.444484889	67499.0
2002-08-27	40.444484889	40.444484889	40.444484889	40.444484889	526499.0
2002-08-28	40.00004	40.00004	40.00004	40.00004	44999.0
2002-08-29	39.777817556	39.777817556	39.777817556	39.777817556	44999.0
2002-08-30	39.777817556	39.777817556	39.777817556	39.777817556	134999.0
2002-09-04	38.888927778	38.888927778	39.333372667	38.888927778	180449.0
2002-09-13	38.666705333	38.666705333	38.666705333	38.666705333	89999.0
2002-09-18	38.444482889	38.222260444	38.444482889	38.222260444	89999.0
2002-09-19	37.777815556	37.777815556	37.777815556	37.777815556	89999.0
2002-11-25	41.111152222	41.111152222	41.111152222	41.111152222	22499.0
2003-01-10	44.222266444	44.222266444	44.444488889	44.444488889	22949.0
2003-02-06	43.333376667	43.333376667	43.333376667	43.333376667	40499.0
2003-02-07	42.444486889	42.222264444	42.444486889	42.222264444	26999.0
2003-02-20	44.444488889	44.444488889	44.444488889	44.444488889	22499.0
2019-04-23	176.0	176.0	176.0	176.0	440000.0
