Date	Price Open	Price Low	Price High	Price Close	Volume
2022-10-19	4.3	3.68	4.72	3.8	657691000
2022-10-20	3.76	3.46	3.92	3.52	128008300
2022-10-21	3.5	3.2	3.54	3.24	48804900
2022-10-25	3.28	3.16	3.32	3.18	28598200
2022-10-26	3.2	3.1	3.22	3.12	9533900
2022-10-27	3.18	3.12	3.28	3.22	24360800
2022-10-28	3.2	3.18	3.34	3.22	20858700
2022-10-31	3.28	3.16	3.4	3.18	25807700
2022-11-01	3.18	3.14	3.26	3.18	9168200
2022-11-02	3.18	3.18	3.24	3.18	5448200
2022-11-03	3.22	3.18	3.48	3.36	57817900
2022-11-04	3.4	3.34	3.48	3.36	22622800
2022-11-07	3.4	3.36	3.6	3.54	33982900
2022-11-08	3.5	3.42	3.56	3.46	17449500
2022-11-09	3.4	3.2	3.44	3.2	14692300
2022-11-10	3.22	3.14	3.26	3.18	5334100
2022-11-11	3.2	2.98	3.22	3.0	8850100
2022-11-14	3.0	2.9	3.0	2.92	3402200
2022-11-15	2.92	2.9	2.96	2.96	2403900
2022-11-16	2.96	2.94	3.08	2.96	8271200
2022-11-17	2.98	2.92	3.02	2.94	3083700
2022-11-18	2.94	2.86	2.94	2.88	2399900
2022-11-21	2.88	2.82	3.04	3.04	10395000
2022-11-22	3.02	2.9	3.02	2.9	4064000
2022-11-23	3.0	2.94	3.16	3.16	21745500
2022-11-24	3.1	3.06	3.18	3.06	11287800
2022-11-25	3.06	3.06	3.14	3.1	4808500
2022-11-28	3.08	3.02	3.1	3.02	3286700
2022-11-29	3.04	2.94	3.06	2.96	3817700
2022-11-30	2.96	2.96	3.08	2.96	4017900
2022-12-01	2.96	2.92	3.0	2.92	4072000
2022-12-02	2.94	2.88	2.96	2.9	3812400
2022-12-06	2.92	2.9	2.98	2.92	2093700
2022-12-07	2.92	2.88	2.94	2.9	1374800
2022-12-08	2.9	2.9	2.96	2.92	4542100
2022-12-09	2.92	2.92	3.0	2.96	2569500
2022-12-13	2.98	2.92	2.98	2.92	1935100
2022-12-14	2.92	2.92	3.02	2.96	5596200
2022-12-15	2.96	2.84	2.98	2.9	3147600
2022-12-16	2.88	2.86	2.9	2.9	1736800
2022-12-19	2.9	2.84	2.92	2.88	1926100
2022-12-20	2.88	2.68	2.88	2.68	4572300
2022-12-21	2.72	2.68	2.72	2.68	1142700
2022-12-22	2.7	2.66	2.74	2.66	1385600
2022-12-23	2.7	2.64	2.74	2.68	2116800
2022-12-26	2.7	2.68	2.8	2.7	3426000
2022-12-27	2.72	2.7	2.76	2.72	1910200
2022-12-28	2.74	2.7	2.8	2.72	2878400
2022-12-29	2.72	2.7	2.76	2.72	1096800
2022-12-30	2.74	2.72	2.84	2.78	5233000
