Date	Price Open	Price Low	Price High	Price Close	Volume
2013-08-09	3.92	2.66	3.96	2.88	507144900
2013-08-13	2.8	2.28	2.8	2.28	124383100
2013-08-14	2.28	2.08	2.36	2.14	51306500
2013-08-15	2.16	2.1	2.26	2.14	38304400
2013-08-16	2.12	2.12	2.34	2.28	71065000
2013-08-19	2.24	2.02	2.24	2.02	30897800
2013-08-20	1.99	1.91	1.99	1.95	14632600
2013-08-21	1.94	1.94	2.04	1.98	17470700
2013-08-22	1.96	1.93	1.98	1.95	10351300
2013-08-23	2.0	1.87	2.04	1.87	14486300
2013-08-26	1.9	1.63	1.92	1.64	42246500
2013-08-27	1.64	1.47	1.64	1.48	9388800
2013-08-28	1.43	1.39	1.48	1.45	7259000
2013-08-29	1.47	1.46	1.56	1.52	8614200
2013-08-30	1.53	1.49	1.53	1.5	2905900
2013-09-02	1.51	1.51	1.56	1.56	3473200
2013-09-03	1.56	1.48	1.6	1.48	5116300
2013-09-04	1.49	1.45	1.51	1.47	2476000
2013-09-05	1.49	1.49	1.53	1.49	4490000
2013-09-06	1.51	1.5	1.93	1.93	114804300
2013-09-09	1.98	1.97	2.3	2.08	158019900
2013-09-10	2.16	1.85	2.18	1.86	44697000
2013-09-11	1.91	1.86	1.96	1.9	16983600
2013-09-12	1.93	1.9	2.2	1.97	69342300
2013-09-13	2.0	1.95	2.02	1.97	12623400
2013-09-16	1.99	1.98	2.12	2.12	22155800
2013-09-17	2.08	2.02	2.14	2.04	19380000
2013-09-18	2.08	2.0	2.08	2.0	10599200
2013-09-19	2.06	2.0	2.06	2.02	10511600
2013-09-20	2.04	2.02	2.28	2.18	134697000
2013-09-23	2.14	1.9	2.16	1.91	40634800
2013-09-24	1.92	1.87	2.02	1.9	29133100
2013-09-25	1.93	1.9	1.96	1.93	9842800
2013-09-26	1.93	1.92	2.2	2.02	72322700
2013-09-27	2.08	1.98	2.18	2.02	43147600
2013-09-30	1.98	1.98	2.28	2.22	157415900
2013-10-01	2.24	2.24	2.6	2.34	277307500
2013-10-02	2.28	2.22	2.4	2.22	56738900
2013-10-03	2.24	2.2	2.28	2.22	22855900
2013-10-04	2.22	2.22	2.34	2.26	35636500
2013-10-07	2.26	2.26	2.44	2.28	55453300
2013-10-08	2.32	2.26	2.36	2.3	18785800
2013-10-09	2.3	2.22	2.32	2.22	9249700
2013-10-10	2.24	2.22	2.26	2.24	6452500
2013-10-11	2.26	2.22	2.3	2.22	4919200
2013-10-14	2.22	2.2	2.24	2.2	2034800
2013-10-15	2.2	2.2	2.26	2.2	6102100
2013-10-16	2.22	2.12	2.22	2.14	5959600
2013-10-17	2.16	2.14	2.24	2.18	6368800
2013-10-18	2.2	2.2	2.26	2.22	5765000
2013-10-21	2.22	2.14	2.22	2.14	4369400
2013-10-22	2.2	2.14	2.2	2.18	1588400
2013-10-24	2.18	2.14	2.22	2.22	4852800
2013-10-25	2.22	2.16	2.26	2.16	3863500
2013-10-28	2.18	2.14	2.2	2.16	1345100
2013-10-29	2.18	2.12	2.18	2.12	1766800
2013-10-30	2.12	2.02	2.12	2.06	3604500
2013-10-31	2.04	2.02	2.06	2.04	2052200
2013-11-01	2.04	2.02	2.08	2.04	3543200
2013-11-04	2.04	2.0	2.06	2.0	2804600
2013-11-05	2.0	2.0	2.08	2.04	3342700
2013-11-06	2.04	2.04	2.12	2.1	2333000
2013-11-07	2.08	2.04	2.14	2.04	3302600
2013-11-08	2.04	2.04	2.1	2.04	3474500
2013-11-11	2.02	2.02	2.06	2.04	679100
2013-11-12	2.06	2.06	2.22	2.12	5987600
2013-11-13	2.12	2.08	2.14	2.1	930100
2013-11-14	2.12	2.1	2.16	2.1	1419300
2013-11-15	2.12	2.06	2.12	2.08	940800
2013-11-18	2.1	2.06	2.14	2.1	3939800
2013-11-19	2.12	2.1	2.14	2.1	832700
2013-11-20	2.12	2.06	2.12	2.08	758100
2013-11-21	2.08	2.02	2.08	2.02	1176000
2013-11-22	2.02	1.98	2.02	2.0	1318100
2013-11-25	2.0	1.97	2.02	2.0	583800
2013-11-26	2.0	2.0	2.02	2.0	196800
2013-11-27	2.04	2.0	2.04	2.02	234700
2013-11-28	2.02	1.99	2.04	1.99	394200
2013-11-29	2.0	1.98	2.0	2.0	467300
2013-12-02	2.0	1.99	2.0	1.99	398300
2013-12-03	1.99	1.98	2.04	2.0	717200
2013-12-04	2.02	1.99	2.02	1.99	77900
2013-12-06	1.99	1.97	2.0	1.97	634000
2013-12-09	2.0	1.96	2.1	2.06	2454700
2013-12-11	2.04	2.04	2.08	2.06	1019800
2013-12-12	2.08	2.06	2.66	2.66	82098100
2013-12-13	2.84	2.42	2.88	2.48	62776500
2013-12-16	2.42	2.26	2.42	2.32	16467200
2013-12-17	2.4	2.26	2.62	2.34	65819100
2013-12-18	2.3	2.3	2.66	2.52	61368000
2013-12-19	2.52	2.38	2.64	2.4	22341400
2013-12-20	2.42	2.34	2.48	2.4	7978800
2013-12-23	2.44	2.36	2.46	2.42	8632500
2013-12-24	2.42	2.4	2.56	2.56	16468900
2013-12-25	2.6	2.56	2.8	2.72	45025900
2013-12-26	2.68	2.42	2.7	2.42	21804500
2013-12-27	2.46	2.32	2.48	2.36	8100200
2014-01-02	2.38	2.32	2.46	2.42	6972700
2014-01-03	2.4	2.38	2.54	2.44	15405700
2014-01-06	2.44	2.38	2.46	2.38	3852900
2014-01-07	2.4	2.4	2.48	2.44	6916900
2014-01-08	2.44	2.4	2.52	2.4	8194500
2014-01-09	2.44	2.38	2.46	2.4	3684000
2014-01-10	2.38	2.32	2.42	2.4	4203800
2014-01-13	2.42	2.38	2.44	2.44	1316300
2014-01-14	2.44	2.42	2.48	2.46	1590200
2014-01-15	2.46	2.44	2.6	2.52	8613900
2014-01-16	2.56	2.54	2.68	2.6	23553000
2014-01-17	2.62	2.54	2.68	2.66	11244200
2014-01-20	2.66	2.66	2.88	2.82	12654800
