Date	Price Open	Price Low	Price High	Price Close	Volume
2019-10-10	6.1	6.1	6.15	6.1	596200.0
2019-10-11	6.05	6.05	6.1	6.1	19000.0
2019-10-15	6.05	6.05	6.35	6.35	417000.0
2019-10-16	6.4	6.4	6.45	6.45	50100.0
2019-10-17	6.55	6.55	6.55	6.55	3600.0
2019-10-18	6.55	6.55	6.6	6.6	6000.0
2019-10-21	6.55	6.55	6.55	6.55	1500.0
2019-10-25	6.05	6.0	6.05	6.0	5000.0
2019-10-29	6.05	6.05	6.05	6.05	60600.0
2019-11-12	5.25	5.25	5.25	5.25	100.0
2019-11-18	5.6	5.6	5.6	5.6	6000.0
2019-12-26	5.75	5.75	5.75	5.75	500.0
2019-12-27	5.85	5.85	5.85	5.85	6500.0
2020-01-27	5.85	5.85	5.85	5.85	300000.0
2020-04-07	4.04	4.04	4.04	4.04	500.0
2020-05-11	5.05	5.05	5.15	5.15	62200.0
2020-05-12	5.15	5.15	5.15	5.15	201500.0
2020-06-23	3.0	3.0	3.8	3.8	3000.0
