Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	3.275	3.2	3.35	3.3	1582999.0
2000-01-05	3.0	3.0	3.275	3.125	1171999.0
2000-01-06	3.075	3.0	3.075	3.075	1066999.0
2000-01-07	3.15	2.9	3.15	3.05	1192999.0
2000-01-10	3.1	2.9	3.1	2.975	1036999.0
2000-01-11	3.05	2.9	3.05	3.025	1188999.0
2000-01-12	3.0	2.9	3.05	3.0	400999.0
2000-01-13	2.95	2.95	3.175	3.175	562999.0
2000-01-14	3.2	3.15	3.35	3.35	309999.0
2000-01-17	3.4	3.3	3.5	3.35	420999.0
2000-01-18	3.45	3.3	3.45	3.375	57999.0
2000-01-19	3.4	3.3	3.425	3.375	477999.0
2000-01-20	3.425	3.425	3.7	3.65	7253999.0
2000-01-21	3.5	3.5	3.75	3.625	1935999.0
2000-01-24	3.5	3.175	3.5	3.275	3315999.0
2000-01-25	3.2	3.1	3.3	3.25	6803999.0
2000-01-26	3.25	3.1	3.275	3.175	1316999.0
2000-01-27	3.15	3.05	3.2	3.05	2670999.0
2000-01-28	3.05	3.025	3.1	3.075	2923999.0
2000-01-31	3.05	3.05	3.125	3.125	669999.0
2000-02-01	3.125	3.075	3.15	3.1	573999.0
2000-02-02	3.075	3.05	3.1	3.1	615999.0
2000-02-03	3.05	2.975	3.05	2.975	758999.0
2000-02-04	2.95	2.875	2.95	2.875	275999.0
2000-02-07	2.8	2.725	2.85	2.8	2999999.0
2000-02-08	2.85	2.825	2.95	2.875	741999.0
2000-02-09	2.875	2.8	2.9	2.875	1261999.0
2000-02-10	2.85	2.775	2.875	2.85	4198999.0
2000-02-11	2.875	2.825	2.875	2.825	2840999.0
2000-02-14	2.825	2.8	2.875	2.85	2525999.0
2000-02-15	2.75	2.75	2.8	2.775	1304999.0
2000-02-16	2.775	2.675	2.8	2.7	2776999.0
2000-02-17	2.575	2.45	2.575	2.475	2613999.0
2000-02-18	2.45	2.3	2.45	2.425	3414999.0
2000-02-22	2.3	2.075	2.3	2.1	6125999.0
2000-02-23	2.2	2.15	2.25	2.2	1653999.0
2000-02-24	2.25	1.9	2.25	1.95	22993999.0
2000-02-25	1.95	1.95	2.125	2.125	7524999.0
2000-02-28	2.05	2.0	2.1	2.05	2840999.0
2000-02-29	2.05	1.95	2.075	1.975	2617999.0
2000-03-01	2.0	1.85	2.0	1.9	5713999.0
2000-03-02	1.9	1.9	2.075	2.075	2071999.0
2000-03-03	2.05	2.05	2.175	2.15	3881999.0
2000-03-06	2.15	2.075	2.175	2.1	2143999.0
2000-03-07	2.125	2.075	2.15	2.1	2237999.0
2000-03-08	2.2	2.05	2.2	2.1	281999.0
2000-03-09	2.125	2.05	2.225	2.125	7003999.0
2000-03-10	2.15	2.0	2.15	2.05	4248999.0
2000-03-13	2.05	1.975	2.125	2.025	8512999.0
2000-03-14	2.05	2.025	2.15	2.15	3797999.0
2000-03-15	2.125	2.125	2.25	2.125	5295999.0
2000-03-16	2.125	2.075	2.125	2.075	254999.0
2000-03-17	2.1	2.1	2.2	2.15	3745999.0
2000-03-20	2.225	2.2	2.325	2.275	12260999.0
2000-03-21	2.325	2.175	2.325	2.275	8044999.0
2000-03-22	2.2	2.15	2.275	2.275	3676999.0
2000-03-23	2.325	2.325	2.5	2.425	5466999.0
2000-03-24	2.45	2.45	2.575	2.475	3654999.0
2000-03-27	2.5	2.425	2.5	2.45	1179999.0
2000-03-28	2.475	2.45	2.525	2.45	1481999.0
2000-03-29	2.4	2.4	2.5	2.5	1596999.0
2000-03-30	2.5	2.325	2.5	2.325	5145999.0
2000-03-31	2.3	2.3	2.425	2.425	719999.0
2000-04-03	2.425	2.275	2.425	2.35	79999.0
2000-04-04	2.3	2.3	2.375	2.35	509999.0
2000-04-05	2.35	2.25	2.4	2.4	82999.0
2000-04-07	2.3	2.3	2.35	2.3	379999.0
2000-04-10	2.35	2.3	2.35	2.3	119999.0
2000-04-11	2.35	2.3	2.4	2.325	2083999.0
2000-04-12	2.375	2.375	2.5	2.5	5226999.0
2000-04-17	2.3	2.25	2.375	2.375	1086999.0
2000-04-18	2.45	2.325	2.475	2.325	1151999.0
2000-04-19	2.3	2.3	2.35	2.35	269999.0
2000-04-20	2.375	2.35	2.375	2.35	597999.0
2000-04-21	2.35	2.35	2.5	2.5	513999.0
2000-04-24	2.525	2.475	2.55	2.5	376999.0
2000-04-25	2.525	2.475	2.625	2.5	2574999.0
2000-04-26	2.55	2.475	2.575	2.475	892999.0
2000-04-27	2.4	2.4	2.5	2.475	199999.0
2000-04-28	2.475	2.425	2.5	2.5	882999.0
2000-05-02	2.425	2.325	2.425	2.325	3212999.0
2000-05-03	2.3	2.275	2.375	2.375	1539999.0
2000-05-04	2.35	2.35	2.425	2.375	239999.0
2000-05-08	2.375	2.325	2.375	2.375	1521999.0
2000-05-09	2.35	2.275	2.35	2.3	490999.0
2000-05-10	2.25	2.025	2.25	2.2	995999.0
2000-05-11	2.0	1.95	2.025	1.95	7349999.0
2000-05-12	2.0	2.0	2.1	2.1	1440999.0
2000-05-15	2.1	2.0	2.1	2.05	1074999.0
2000-05-16	2.05	2.025	2.075	2.05	1253999.0
2000-05-18	2.0	1.975	2.025	2.025	170999.0
2000-05-19	2.025	1.95	2.05	2.0	2249999.0
2000-05-22	1.925	1.9	1.95	1.9	349999.0
2000-05-23	1.9	1.8	1.9	1.85	353999.0
2000-05-24	1.775	1.625	1.775	1.675	10103999.0
2000-05-25	1.7	1.6	1.7	1.6	2045999.0
2000-05-26	1.475	1.475	1.575	1.575	4062999.0
2000-05-29	1.6	1.575	1.675	1.6	1742999.0
2000-05-30	1.6	1.575	1.625	1.575	2109999.0
2000-05-31	1.625	1.625	1.7	1.7	2196999.0
