Date	Price Open	Price Low	Price High	Price Close	Volume
2018-09-28	21.8	21.8	21.8	21.8	1300.0
2019-06-04	17.5	17.5	17.6	17.6	15100.0
2021-06-11	14.1	14.1	14.1	14.1	2018000.0
2021-06-14	14.2	14.1	14.2	14.1	2141000.0
2021-06-15	14.1	14.0	14.1	14.1	3070000.0
2021-06-16	14.0	14.0	14.0	14.0	1250000.0
2021-06-21	13.7	13.7	13.7	13.7	2000000.0
2021-06-22	13.6	13.6	13.6	13.6	900000.0
2021-06-23	13.4	13.4	13.4	13.4	2000000.0
2021-06-24	13.3	13.3	13.3	13.3	1000000.0
2021-06-30	13.3	13.3	13.3	13.3	1000.0
2021-07-02	13.6	13.6	13.6	13.6	1000.0
2022-01-12	12.1	12.1	12.1	12.1	100.0
2022-06-02	11.6	11.6	11.6	11.6	48400.0
2022-06-21	11.2	11.2	11.2	11.2	100.0
2022-09-22	10.3	10.3	10.3	10.3	150000.0
2022-09-23	10.0	10.0	10.0	10.0	100.0
2022-09-26	9.7	9.65	9.7	9.65	151100.0
2022-10-07	9.3	9.3	9.3	9.3	200.0
