Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	27.0	27.0	29.0	29.0	129999.0
2000-01-05	27.0	26.6	27.0	26.8	714999.0
2000-01-06	26.4	25.4	26.4	25.4	1279999.0
2000-01-07	25.2	25.0	25.2	25.0	619999.0
2000-01-10	26.0	26.0	26.2	26.2	99999.0
2000-01-11	29.2	28.4	30.0	28.4	968999.0
2000-01-19	29.8	29.8	30.4	30.0	1019999.0
2000-01-20	31.4	31.4	31.4	31.4	73999.0
2000-01-21	31.4	31.2	31.4	31.2	344999.0
2000-01-26	30.0	29.6	30.0	29.6	101999.0
2000-01-27	31.2	30.6	31.2	30.6	913999.0
2000-01-28	30.4	30.0	31.8	31.8	164999.0
2000-02-03	32.8	32.8	34.0	34.0	79999.0
2000-02-08	32.0	32.0	32.0	32.0	19999.0
2000-02-09	31.6	31.4	31.6	31.4	16999.0
2000-02-10	32.0	32.0	32.0	32.0	109999.0
2000-02-18	30.0	29.4	30.0	29.8	93999.0
2000-02-23	27.4	27.4	27.8	27.8	19999.0
2000-02-24	28.2	27.8	28.4	28.2	600999.0
2000-02-25	28.0	28.0	29.8	29.8	564999.0
2000-02-28	29.6	29.2	29.8	29.6	1163999.0
2000-02-29	28.8	28.6	28.8	28.6	79999.0
2000-03-01	26.8	26.8	26.8	26.8	29999.0
2000-03-03	28.4	28.4	28.4	28.4	9999.0
2000-03-06	29.0	29.0	29.0	29.0	19999.0
2000-03-07	29.0	29.0	29.0	29.0	60999.0
2000-03-09	29.2	28.8	29.2	28.8	5999.0
2000-03-10	29.2	28.8	29.2	28.8	106999.0
2000-03-14	28.8	27.6	28.8	27.6	2999.0
2000-03-21	27.8	27.8	28.2	28.2	20999.0
2000-03-28	28.2	28.2	28.2	28.2	9999.0
2000-04-11	27.2	27.0	27.2	27.0	40999.0
2000-04-12	27.8	27.8	27.8	27.8	199999.0
2000-04-18	26.0	26.0	26.0	26.0	45999.0
2000-04-19	25.8	25.8	26.0	26.0	468999.0
2000-04-27	25.2	25.2	25.2	25.2	9999.0
2000-05-08	23.0	21.4	23.0	21.4	323999.0
2000-05-09	22.2	22.2	22.2	22.2	999.0
2000-05-12	23.0	23.0	23.0	23.0	9999.0
2000-05-16	23.0	23.0	23.2	23.2	1999.0
2000-05-18	24.0	24.0	25.2	25.2	62999.0
2000-05-19	24.2	23.8	24.2	23.8	19999.0
2000-05-25	21.6	21.6	21.6	21.6	999.0
2000-05-31	24.0	24.0	24.0	24.0	39999.0
2000-06-02	23.8	23.8	23.8	23.8	59999.0
2000-06-05	25.0	25.0	25.0	25.0	3999.0
2000-06-15	23.6	23.6	26.4	26.4	51999.0
2000-06-16	26.0	26.0	26.0	26.0	77999.0
2000-06-19	24.2	24.0	24.2	24.0	109999.0
2000-06-21	23.0	23.0	23.0	23.0	49999.0
2000-06-29	23.4	23.2	23.6	23.4	115999.0
2000-07-05	24.4	24.4	24.4	24.4	582999.0
