Date	Price Open	Price Low	Price High	Price Close	Volume
2007-01-30	36.0	36.0	36.0	36.0	4000.0
2007-02-06	37.25	37.25	37.25	37.25	256200.0
2007-02-08	37.5	37.5	37.5	37.5	2000.0
2007-02-12	37.0	37.0	37.5	37.5	15000.0
2007-02-14	37.25	37.25	38.0	38.0	29800.0
2007-02-23	37.25	37.25	37.5	37.5	30900.0
2007-02-28	36.75	36.75	37.0	37.0	47000.0
2007-03-09	37.0	37.0	38.0	38.0	11500.0
2007-03-12	37.25	37.25	37.5	37.5	20000.0
2007-03-13	37.25	37.25	37.25	37.25	10000.0
2007-03-14	37.5	37.5	37.5	37.5	10000.0
2007-03-15	37.75	37.75	38.5	38.5	16000.0
2007-03-20	39.5	39.5	40.0	40.0	9000.0
2007-03-23	40.0	40.0	40.0	40.0	19300.0
2007-03-27	40.0	40.0	40.0	40.0	24700.0
2007-03-28	41.0	41.0	43.5	43.5	14000.0
2007-04-03	42.0	42.0	42.0	42.0	94900.0
2007-04-04	42.0	42.0	42.0	42.0	108300.0
2007-04-12	41.0	41.0	41.0	41.0	343400.0
2007-04-17	41.0	41.0	41.0	41.0	1100.0
2007-04-24	42.5	42.5	42.5	42.5	20000.0
2007-04-25	46.0	46.0	46.0	46.0	2000.0
2007-04-30	47.0	47.0	48.0	48.0	7000.0
2007-05-04	50.0	50.0	51.0	51.0	16800.0
2007-05-08	52.5	52.5	53.0	53.0	15500.0
2007-05-09	52.0	52.0	52.0	52.0	30000.0
2007-05-11	49.0	49.0	49.0	49.0	299300.0
2007-05-15	49.0	49.0	49.0	49.0	16000.0
2007-05-16	48.5	48.5	49.0	49.0	492700.0
2007-05-17	49.25	49.25	49.5	49.25	203500.0
2007-05-18	50.5	49.75	50.5	49.75	76000.0
2007-05-23	49.0	49.0	49.0	49.0	2500.0
2007-06-05	47.0	47.0	47.0	47.0	38400.0
2007-06-19	48.5	48.5	48.5	48.5	10000.0
2007-06-21	49.0	48.75	49.0	48.75	1240300.0
2007-07-02	48.0	48.0	48.0	48.0	10000.0
2007-08-02	46.5	46.5	46.5	46.5	700.0
2007-08-23	43.0	43.0	43.0	43.0	275300.0
2007-10-22	44.75	44.75	44.75	44.75	400.0
2007-12-19	39.25	39.25	39.25	39.25	700.0
2008-05-06	34.0	34.0	34.0	34.0	2000.0
2008-05-30	35.0	35.0	35.0	35.0	500.0
2008-06-23	35.0	35.0	35.0	35.0	500.0
2008-11-11	21.6	21.0	21.6	21.1	113700.0
2008-11-14	22.0	22.0	22.0	22.0	2000.0
2008-12-25	24.0	24.0	24.0	24.0	1000.0
2009-01-28	23.0	23.0	23.0	23.0	100.0
2009-01-29	21.0	21.0	21.0	21.0	1000.0
2009-02-11	23.0	23.0	23.0	23.0	100.0
2009-03-20	18.1	18.1	18.1	18.1	1000.0
2009-03-27	18.0	18.0	18.0	18.0	1000.0
2009-04-16	19.0	19.0	19.0	19.0	33000.0
2009-06-25	26.0	26.0	26.0	26.0	1000.0
2009-09-29	28.5	28.5	28.5	28.5	1000.0
2009-09-30	29.5	29.5	29.5	29.5	1000.0
2009-10-02	29.5	29.5	30.0	30.0	7000.0
2009-10-05	30.0	30.0	30.5	30.5	20000.0
2010-06-22	30.5	30.5	30.5	30.5	2000.0
2011-01-26	33.0	33.0	33.0	33.0	2000.0
2011-09-16	40.0	40.0	40.0	40.0	1000.0
2011-11-17	43.0	43.0	43.0	43.0	1000.0
2013-07-15	75.0	75.0	75.0	75.0	15500.0
2015-03-12	147.5	147.5	147.5	147.5	500.0
2015-03-17	144.0	144.0	144.0	144.0	500.0
2015-05-07	179.0	179.0	179.0	179.0	1000.0
2015-08-06	208.0	208.0	208.0	208.0	1000.0
2017-05-19	178.5	178.5	178.5	178.5	100.0
2017-10-16	226.0	226.0	226.0	226.0	5000.0
2017-10-27	226.0	226.0	226.0	226.0	100.0
2018-02-28	214.0	214.0	214.0	214.0	3500.0
2018-03-08	214.0	214.0	218.0	218.0	5500.0
2018-03-30	212.0	212.0	212.0	212.0	200.0
2018-05-15	190.0	190.0	190.0	190.0	2000.0
2018-06-04	196.0	196.0	196.0	196.0	1000.0
2018-07-03	168.0	168.0	168.5	168.5	2900.0
2018-08-15	178.0	178.0	178.0	178.0	100.0
2018-08-17	174.5	174.5	174.5	174.5	500.0
2018-10-01	188.0	188.0	188.0	188.0	2100.0
2018-10-16	189.0	189.0	189.0	189.0	2000.0
2019-02-26	188.0	188.0	188.5	188.5	1000.0
2019-04-12	177.5	177.5	178.0	178.0	400.0
2019-04-18	80.0	80.0	80.0	80.0	500.0
2019-04-30	177.0	177.0	177.5	177.0	3400.0
2019-06-05	266.0	266.0	266.0	266.0	300.0
2020-04-14	125.0	125.0	125.0	125.0	1000.0
2021-01-19	125.0	125.0	125.0	125.0	100.0
2021-05-07	125.0	125.0	125.0	125.0	300.0
2021-08-23	131.0	131.0	131.0	131.0	300.0
2022-05-12	164.0	164.0	165.5	165.5	400.0
2022-05-19	171.5	171.5	174.0	172.5	40600.0
2022-06-16	170.0	170.0	170.0	170.0	4300.0
2022-06-17	172.0	172.0	174.5	174.5	4500.0
2022-06-27	178.0	178.0	179.5	178.0	7400.0
2022-08-19	190.5	190.5	192.5	192.0	1800.0
2022-08-23	206.0	206.0	209.0	209.0	18600.0
2022-08-24	206.0	206.0	213.0	210.0	31900.0
2022-09-01	214.0	214.0	214.0	214.0	2000.0
2022-09-14	226.0	226.0	226.0	226.0	200.0
2022-09-16	218.0	218.0	218.0	218.0	100.0
2022-12-09	211.0	209.0	211.0	209.0	19700.0
2022-12-13	204.0	204.0	205.0	205.0	6300.0
2022-12-14	211.0	211.0	211.0	211.0	800.0
2022-12-15	208.0	208.0	208.0	208.0	100.0
