Date	Price Open	Price Low	Price High	Price Close	Volume
2018-01-18	10.567388805	10.567388805	10.931781523	10.931781523	31500.0
2018-03-14	10.840683343	10.840683343	10.840683343	10.840683343	49800.0
2018-04-09	10.749585164	10.749585164	10.749585164	10.749585164	5000.0
2018-05-17	11.29617424	11.29617424	11.29617424	11.29617424	3800.0
2018-05-21	11.29617424	11.29617424	11.387272419	11.387272419	26000.0
2018-08-30	11.113977881	11.113977881	11.113977881	11.113977881	400.0
2018-09-19	11.205076061	11.205076061	11.205076061	11.205076061	100.0
2018-09-20	11.205076061	11.205076061	11.205076061	11.205076061	2600.0
2018-10-19	10.840683343	10.840683343	10.840683343	10.840683343	100.0
2018-10-25	10.749585164	10.749585164	10.749585164	10.749585164	10000.0
2018-11-08	10.658486984	10.658486984	10.658486984	10.658486984	20000.0
2018-11-29	10.840683343	10.749585164	10.840683343	10.749585164	8100.0
2018-12-19	10.658486984	10.658486984	10.658486984	10.658486984	1000.0
2018-12-27	11.29617424	10.749585164	11.29617424	10.749585164	1800.0
2019-01-02	10.749585164	10.749585164	10.749585164	10.749585164	500.0
2019-01-04	10.749585164	10.749585164	10.749585164	10.749585164	200.0
2019-01-09	10.749585164	10.749585164	10.749585164	10.749585164	3000.0
2019-02-20	10.931781523	10.931781523	10.931781523	10.931781523	100.0
2019-03-05	10.840683343	10.840683343	10.840683343	10.840683343	1000.0
2019-03-18	10.840683343	10.840683343	10.840683343	10.840683343	1000.0
2019-03-26	10.931781523	10.931781523	10.931781523	10.931781523	38900.0
2019-04-24	11.29617424	11.29617424	11.29617424	11.29617424	3000.0
2019-05-13	11.29617424	11.29617424	11.29617424	11.29617424	38400.0
2019-05-16	11.29617424	11.29617424	11.29617424	11.29617424	4000.0
2019-05-17	11.29617424	11.29617424	11.29617424	11.29617424	5900.0
2019-05-21	11.29617424	11.29617424	11.29617424	11.29617424	15000.0
2019-05-22	11.29617424	11.29617424	11.29617424	11.29617424	4000.0
2019-05-28	10.749585164	9.83860337	10.749585164	10.385192446	121600.0
2019-05-31	9.474210653	9.474210653	9.565308832	9.565308832	1500.0
2019-06-19	10.092134454	10.092134454	10.092134454	10.092134454	5000.0
2019-06-20	10.184722843	10.184722843	10.184722843	10.184722843	400.0
2019-07-03	10.092134454	10.092134454	10.092134454	10.092134454	1100.0
2019-07-04	9.444015727	9.444015727	10.092134454	9.999546064	44900.0
2019-07-11	10.555076401	10.555076401	10.555076401	10.555076401	4000.0
2019-07-18	10.369899622	10.369899622	10.369899622	10.369899622	13600.0
2019-08-05	10.184722843	10.184722843	10.184722843	10.184722843	14000.0
2019-08-29	10.282829527	10.282829527	10.282829527	10.282829527	2000.0
2019-10-04	10.471505298	10.471505298	10.471505298	10.471505298	10000.0
2019-12-23	9.339450672	9.339450672	9.339450672	9.339450672	7000.0
2019-12-24	9.292281729	9.292281729	9.292281729	9.292281729	6000.0
2020-01-02	9.386619614	9.386619614	9.386619614	9.386619614	23800.0
2020-01-20	8.584747587	8.584747587	9.386619614	9.386619614	13000.0
2020-02-24	3.735780269	3.735780269	3.735780269	3.735780269	4700.0
2020-02-27	7.89785549	7.89785549	8.754249458	8.754249458	10000.0
2020-03-02	10.467037396	10.467037396	10.467037396	10.467037396	300.0
2020-03-26	6.660841979	6.660841979	6.660841979	6.660841979	36400.0
2020-05-19	7.041461521	7.041461521	7.041461521	7.041461521	20000.0
2020-05-21	9.230023885	9.230023885	9.230023885	9.230023885	1000.0
2020-05-26	7.041461521	7.041461521	7.041461521	7.041461521	10000.0
2020-06-04	7.041461521	7.041461521	9.087291557	9.087291557	13400.0
2020-06-10	7.089038964	7.089038964	7.089038964	7.089038964	20000.0
2020-06-25	6.82756035	6.82756035	6.82756035	6.82756035	10000.0
2020-07-20	6.779137936	6.779137936	6.924405178	6.924405178	2000.0
2020-08-04	6.633870695	6.633870695	6.682293109	6.682293109	44700.0
2020-08-19	5.955956901	5.907534487	5.955956901	5.907534487	21000.0
2020-09-02	5.955956901	5.955956901	5.955956901	5.955956901	2000.0
2020-11-11	4.454862072	4.454862072	5.132775866	5.084353452	120100.0
2020-11-20	5.713844832	5.713844832	5.713844832	5.713844832	3000.0
2020-11-24	5.907534487	5.907534487	5.907534487	5.907534487	100.0
2020-12-08	5.74316	5.74316	5.74316	5.74316	12500.0
2020-12-22	7.9216	7.9216	7.9216	7.9216	100.0
2021-04-05	7.9216	7.9216	7.9216	7.9216	500.0
2021-05-14	4.25786	4.25786	4.951	4.951	78400.0
2021-07-13	4.16	4.16	4.6	4.6	26000.0
2021-08-20	4.6	4.6	4.6	4.6	1000.0
2021-09-27	4.6	4.6	4.6	4.6	3500.0
2021-10-27	4.54	4.54	4.54	4.54	17000.0
2022-01-26	3.98	3.98	3.98	3.98	9200.0
2022-02-28	3.94	3.94	3.94	3.94	300.0
2022-03-17	3.94	3.94	3.94	3.94	4000.0
2022-06-09	3.9	3.9	4.12	4.12	9900.0
