Date	Price Open	Price Low	Price High	Price Close	Volume
2018-01-09	8.45	8.45	8.45	8.45	312800.0
2018-02-01	8.0	8.0	8.0	8.0	500.0
2018-02-06	7.95	7.0	7.95	7.0	400.0
2018-02-20	8.1	8.1	8.1	8.1	4000.0
2018-05-18	9.3	9.3	9.3	9.3	16000.0
2018-05-23	9.4	9.4	9.4	9.4	13000.0
2018-05-25	9.4	9.4	9.4	9.4	4000.0
2018-05-28	9.4	9.4	9.45	9.4	22300.0
2018-05-30	9.4	9.4	9.4	9.4	1800.0
2018-06-01	9.5	9.5	9.5	9.5	2000.0
2018-06-05	9.7	9.7	9.7	9.7	50000.0
2018-07-10	9.05	9.05	9.05	9.05	1000.0
2018-07-23	9.35	9.35	9.35	9.35	1100.0
2018-08-17	9.2	9.2	9.25	9.25	342900.0
2018-09-18	9.4	9.4	9.4	9.4	21100.0
2018-11-05	9.2	9.2	9.2	9.2	300.0
2018-11-07	9.2	9.2	9.2	9.2	10000.0
2018-11-08	9.25	9.25	9.25	9.25	6700.0
2018-11-30	9.25	9.25	9.4	9.4	1700.0
2019-01-17	9.5	9.5	9.5	9.5	27500.0
2019-01-24	9.5	9.5	9.85	9.85	2000.0
2019-03-11	10.7	10.7	10.7	10.7	191300.0
2019-03-12	10.9	10.8	10.9	10.8	183900.0
2019-03-14	10.9	10.8	10.9	10.8	74800.0
2019-03-15	10.8	10.7	10.8	10.7	224100.0
2019-03-19	10.7	10.7	10.7	10.7	500000.0
2019-03-29	11.0	11.0	11.0	11.0	14200.0
2019-04-01	11.1	11.1	11.1	11.1	77700.0
2019-05-10	11.5	11.5	11.5	11.5	13400.0
2019-05-13	11.5	11.5	11.5	11.5	76800.0
2019-05-14	11.4	11.4	11.4	11.4	51100.0
2019-05-21	11.4	11.4	11.5	11.4	22200.0
2019-05-22	11.5	11.4	11.5	11.4	91700.0
2019-06-04	11.4	11.4	11.4	11.4	200.0
2019-06-11	11.6	11.6	11.6	11.6	82800.0
2019-07-05	12.5	12.5	12.5	12.5	200000.0
2019-07-23	12.7	12.7	12.7	12.7	1000.0
2019-08-19	12.8	12.8	12.8	12.8	8500.0
2019-08-23	13.2	13.2	13.2	13.2	2000.0
2019-09-13	13.2	13.2	13.2	13.2	8800.0
2019-09-16	13.2	13.2	13.3	13.3	125200.0
2019-09-20	13.5	13.4	13.5	13.4	143400.0
2019-10-07	13.1	13.1	13.1	13.1	17300.0
2019-10-09	13.2	13.2	13.2	13.2	152400.0
2019-10-15	13.4	13.3	13.4	13.3	105400.0
2019-11-13	13.7	13.6	13.8	13.7	105900.0
2019-11-20	14.1	14.1	14.1	14.1	1000.0
2019-11-29	13.6	13.6	13.6	13.6	359200.0
2020-01-28	13.0	13.0	13.0	13.0	15500.0
2020-01-31	12.5	12.5	12.5	12.5	19000.0
2020-02-12	12.8	12.8	12.9	12.9	10800.0
2020-02-14	12.7	12.7	12.7	12.7	512100.0
2020-02-28	12.5	12.5	12.5	12.5	100.0
2020-03-17	8.0	8.0	8.0	8.0	125000.0
2020-03-19	8.0	8.0	8.65	8.65	10600.0
2020-04-07	10.0	10.0	10.0	10.0	6700.0
2020-05-05	11.4	11.3	11.4	11.3	387600.0
2020-05-13	11.8	11.8	11.8	11.8	187500.0
2020-05-15	11.5	11.5	11.5	11.5	50300.0
2020-05-26	12.0	12.0	12.0	12.0	100.0
2020-06-01	12.1	12.1	12.1	12.1	68000.0
2020-06-02	11.9	11.9	11.9	11.9	72500.0
2020-06-10	11.8	11.8	11.8	11.8	72000.0
2020-06-17	11.5	11.5	11.5	11.5	2300.0
2020-06-18	11.7	11.7	11.7	11.7	50000.0
2020-06-25	11.2	11.2	11.2	11.2	4000.0
2020-06-30	11.3	11.3	11.3	11.3	100.0
2020-07-07	11.4	11.4	11.4	11.4	60000.0
2020-07-13	11.2	11.2	11.2	11.2	88100.0
2020-07-23	10.8	10.7	10.8	10.7	30600.0
2020-07-29	10.5	10.5	10.5	10.5	300.0
2020-08-03	10.3	10.3	10.3	10.3	156800.0
2020-08-05	10.4	10.3	10.4	10.3	655300.0
2020-08-11	10.4	10.4	10.4	10.4	300.0
2020-08-18	10.5	10.5	10.5	10.5	200.0
2020-08-19	10.5	10.5	10.5	10.5	600.0
2020-08-21	10.3	10.3	10.4	10.3	17300.0
2020-08-24	10.3	10.3	10.4	10.4	26600.0
2020-08-25	10.4	10.4	10.4	10.4	10300.0
2020-08-26	10.5	10.5	10.5	10.5	1000.0
2020-09-01	10.3	10.3	10.3	10.3	22400.0
2020-09-02	10.2	10.2	10.3	10.3	478300.0
2020-09-03	10.4	10.2	10.4	10.3	457000.0
2020-09-08	10.2	10.1	10.2	10.1	329600.0
2020-09-10	10.0	10.0	10.0	10.0	8300.0
2020-09-17	10.0	10.0	10.0	10.0	300000.0
2020-09-21	10.0	10.0	10.0	10.0	200.0
2020-09-25	10.0	10.0	10.0	10.0	100.0
2020-10-09	9.7	9.7	9.7	9.7	9600.0
