Date	Price Open	Price Low	Price High	Price Close	Volume
2022-07-22	1.35	1.35	1.39	1.38	16379210
2022-07-25	1.35	1.34	1.38	1.36	5778472
2022-07-26	1.38	1.36	1.39	1.38	5235675
2022-07-27	1.38	1.36	1.38	1.38	4263093
2022-08-01	1.39	1.39	1.41	1.4	6218915
2022-08-02	1.39	1.33	1.39	1.36	8903465
2022-08-03	1.37	1.35	1.37	1.36	3919844
2022-08-04	1.38	1.37	1.39	1.39	3392806
2022-08-05	1.38	1.35	1.38	1.37	17487151
2022-08-08	1.36	1.34	1.37	1.36	2494226
2022-08-09	1.36	1.34	1.37	1.35	5467370
2022-08-10	1.32	1.27	1.32	1.3	13651667
2022-08-11	1.31	1.29	1.32	1.31	3488839
2022-08-15	1.31	1.3	1.33	1.31	2418984
2022-08-16	1.32	1.3	1.33	1.31	879874
2022-08-17	1.32	1.31	1.33	1.33	802943
2022-08-18	1.32	1.31	1.33	1.32	1435054
2022-08-19	1.3	1.29	1.31	1.3	5085454
2022-08-22	1.3	1.29	1.31	1.3	787926
2022-08-23	1.3	1.28	1.3	1.3	2743224
2022-08-24	1.29	1.21	1.29	1.23	15807522
2022-08-25	1.23	1.2	1.26	1.23	15602860
2022-08-26	1.23	1.22	1.24	1.23	4799017
2022-08-29	1.22	1.21	1.25	1.25	3141882
2022-08-30	1.28	1.23	1.28	1.25	17126480
2022-08-31	1.16	1.11	1.16	1.15	38939580
2022-09-01	1.12	1.1	1.13	1.11	30523743
2022-09-02	1.1	1.07	1.1	1.08	21769158
2022-09-05	1.03	1.02	1.05	1.04	21035189
2022-09-06	1.04	1.03	1.05	1.03	10000403
2022-09-07	1.05	1.04	1.08	1.07	4780627
2022-09-08	1.05	1.01	1.05	1.02	25786755
2022-09-09	1.03	1.02	1.06	1.06	10462098
2022-09-12	1.05	1.05	1.09	1.09	7229102
2022-09-13	1.09	1.06	1.11	1.07	12771381
2022-09-14	1.04	1.03	1.05	1.05	21984177
2022-09-15	1.05	1.02	1.05	1.03	17784643
2022-09-16	1.03	1.02	1.04	1.04	5865197
2022-09-19	1.04	1.02	1.04	1.03	3868844
2022-09-20	1.05	1.03	1.06	1.03	8770630
2022-09-21	1.03	1.02	1.03	1.03	3366903
2022-09-22	1.02	1.02	1.04	1.03	3378985
2022-09-23	1.03	1.0	1.03	1.01	14930268
2022-09-26	1.02	1.01	1.03	1.03	2234099
2022-09-27	1.02	1.01	1.03	1.02	4651105
2022-09-28	1.01	0.99	1.01	1.0	6247174
2022-09-29	1.01	0.99	1.02	1.0	3026939
2022-09-30	0.98	0.94	0.98	0.97	10523269
2022-10-03	0.95	0.93	0.96	0.94	5194836
2022-10-04	0.94	0.94	0.97	0.97	2108868
2022-10-05	1.01	0.99	1.01	1.0	4373238
2022-10-06	0.99	0.98	1.0	0.99	2160919
2022-10-07	0.95	0.94	0.96	0.95	5261892
2022-10-10	0.92	0.91	0.93	0.92	4502023
2022-10-11	0.92	0.91	0.95	0.92	3935650
2022-10-12	0.91	0.91	0.96	0.95	3540362
2022-10-17	0.94	0.92	0.95	0.95	2428884
2022-10-18	0.96	0.96	0.99	0.99	3993980
2022-10-19	0.99	0.97	0.99	0.97	2082085
2022-10-20	0.95	0.94	0.97	0.96	1713905
2022-10-21	0.96	0.94	0.97	0.95	1632096
2022-10-25	0.89	0.88	0.93	0.91	6524232
2022-10-26	0.93	0.9	0.95	0.92	5642181
2022-10-27	0.93	0.89	0.94	0.9	8393645
2022-10-28	0.88	0.8	0.89	0.82	33773179
2022-10-31	0.84	0.84	0.86	0.85	3902896
2022-11-01	0.86	0.86	0.9	0.9	8801853
2022-11-02	0.88	0.88	0.92	0.92	5505439
2022-11-03	0.92	0.89	0.92	0.91	3145617
2022-11-04	0.94	0.93	0.98	0.96	10553236
2022-11-07	0.96	0.93	0.97	0.96	12800135
2022-11-08	0.94	0.93	0.95	0.95	2742031
2022-11-09	0.93	0.87	0.93	0.89	18436346
2022-11-10	0.88	0.84	0.89	0.85	16849968
2022-11-11	0.87	0.87	0.91	0.9	4776919
2022-11-14	0.9	0.88	0.91	0.89	2945414
2022-11-15	0.89	0.89	0.92	0.91	9711737
2022-11-16	0.91	0.88	0.91	0.89	5047895
2022-11-17	0.87	0.85	0.88	0.87	12160454
2022-11-18	0.88	0.85	0.88	0.87	14537736
2022-11-21	0.86	0.84	0.87	0.87	4061347
2022-11-22	0.86	0.83	0.87	0.84	16552726
2022-11-23	0.83	0.81	0.83	0.83	17174310
2022-11-24	0.83	0.82	0.84	0.83	5414776
2022-11-25	0.81	0.8	0.82	0.81	21345696
2022-11-28	0.8	0.78	0.81	0.81	11883372
2022-11-29	0.82	0.81	0.84	0.84	5156269
2022-11-30	0.85	0.83	0.87	0.86	5635397
2022-12-01	0.88	0.86	0.88	0.87	8842733
2022-12-02	0.86	0.84	0.86	0.85	4446456
2022-12-06	0.87	0.87	0.89	0.89	9815017
2022-12-07	0.92	0.87	0.94	0.89	24193402
2022-12-08	0.92	0.91	0.94	0.93	18497466
2022-12-09	0.95	0.94	0.96	0.95	9473728
2022-12-13	0.95	0.94	0.96	0.95	3942342
2022-12-14	0.93	0.91	0.93	0.93	6495656
2022-12-15	0.91	0.91	0.93	0.92	6684667
2022-12-16	0.92	0.91	0.94	0.92	7477025
2022-12-19	0.91	0.91	0.93	0.91	2537892
2022-12-20	0.9	0.88	0.9	0.9	5051280
2022-12-21	0.88	0.88	0.9	0.89	1093984
2022-12-22	0.91	0.9	0.91	0.91	2487806
2022-12-23	0.88	0.86	0.88	0.88	8002546
2022-12-26	0.88	0.87	0.89	0.88	1218524
2022-12-27	0.89	0.89	0.92	0.92	4264681
2022-12-28	0.88	0.87	0.9	0.89	22041440
2022-12-29	0.88	0.86	0.88	0.87	12701146
2022-12-30	0.88	0.87	0.89	0.87	4811278
