Date	Price Open	Price Low	Price High	Price Close	Volume
2013-07-18	3.19099592	2.88527176	3.2483192	3.0572416	1644194295
2013-07-19	3.0572416	2.92348728	3.0572416	2.94259504	361246948
2013-07-23	2.98081056	2.88527176	3.0572416	2.90437952	411613920
2013-07-24	2.92348728	2.866164	2.94259504	2.866164	113772100
2013-07-25	2.866164	2.82794848	2.90437952	2.866164	129677680
2013-07-26	2.866164	2.78973296	2.90437952	2.90437952	69924993
2013-07-29	2.82794848	2.75151744	2.866164	2.866164	14261744
2013-07-30	2.82794848	2.78973296	2.84705624	2.84705624	18841036
2013-07-31	2.80884072	2.71330192	2.82794848	2.80884072	22664613
2013-08-01	2.78973296	2.75151744	2.84705624	2.82794848	15075027
2013-08-02	2.78973296	2.73240968	2.80884072	2.78973296	20725610
2013-08-05	2.7706252	2.71330192	2.7706252	2.75151744	6264993
2013-08-06	2.69419416	2.6750864	2.75151744	2.73240968	10134625
2013-08-07	2.71330192	2.61776312	2.71330192	2.61776312	7969536
2013-08-08	2.63687088	2.63687088	2.69419416	2.6750864	11320531
2013-08-09	2.69419416	2.63687088	2.69419416	2.6750864	6510443
2013-08-13	2.6750864	2.63687088	2.71330192	2.65597864	3767579
2013-08-14	2.65597864	2.5795476	2.65597864	2.63687088	8388738
2013-08-15	2.63687088	2.59865536	2.65597864	2.63687088	6507827
2013-08-16	2.59865536	2.59865536	2.63687088	2.61776312	4364195
2013-08-19	2.61776312	2.56043984	2.6750864	2.59865536	7494337
2013-08-20	2.56043984	2.46490104	2.56043984	2.4840088	14502484
2013-08-21	2.4840088	2.4840088	2.56043984	2.4840088	5694021
2013-08-22	2.46490104	2.42668552	2.52222432	2.46490104	6549171
2013-08-23	2.4840088	2.40757776	2.4840088	2.44579328	4468341
2013-08-26	2.44579328	2.35025448	2.44579328	2.42668552	5466888
2013-08-27	2.36936224	2.31203896	2.40757776	2.35025448	8811603
2013-08-28	2.25471568	2.1018536	2.25471568	2.23560792	7075659
2013-08-29	2.1973924	2.1973924	2.27382344	2.21650016	2919756
2013-08-30	2.21650016	2.17828464	2.23560792	2.21650016	1461186
2013-09-02	2.17828464	2.17828464	2.25471568	2.25471568	2699950
2013-09-03	2.25471568	2.1973924	2.33114672	2.1973924	3993142
2013-09-04	2.17828464	2.17828464	2.27382344	2.23560792	3773336
2013-09-05	2.21650016	2.21650016	2.2929312	2.25471568	2434089
2013-09-06	2.25471568	2.25471568	2.31203896	2.2929312	5099498
2013-09-09	2.36936224	2.35025448	2.4840088	2.38847	64571671
2013-09-10	2.42668552	2.40757776	2.52222432	2.40757776	48812629
2013-09-11	2.44579328	2.36936224	2.44579328	2.40757776	8776015
2013-09-12	2.42668552	2.36936224	2.42668552	2.36936224	7553999
2013-09-13	2.36936224	2.35025448	2.44579328	2.38847	5402517
2013-09-16	2.42668552	2.40757776	2.56043984	2.46490104	28012179
2013-09-17	2.46490104	2.42668552	2.4840088	2.42668552	6991923
2013-09-18	2.46490104	2.42668552	2.46490104	2.42668552	2928653
2013-09-19	2.50311656	2.46490104	2.54133208	2.46490104	32015265
2013-09-20	2.4840088	2.46490104	2.63687088	2.61776312	77861036
2013-09-23	2.59865536	2.4840088	2.59865536	2.4840088	26189359
2013-09-24	2.4840088	2.44579328	2.54133208	2.46490104	15369148
2013-09-25	2.50311656	2.46490104	2.50311656	2.4840088	4528526
2013-09-26	2.4840088	2.44579328	2.52222432	2.44579328	12173588
2013-09-27	2.44579328	2.42668552	2.4840088	2.44579328	5504046
2013-09-30	2.38847	2.38847	2.40757776	2.38847	4131305
2013-10-01	2.38847	2.38847	2.42668552	2.42668552	3235334
2013-10-02	2.44579328	2.40757776	2.44579328	2.40757776	1822296
2013-10-03	2.40757776	2.40757776	2.4840088	2.42668552	7665995
2013-10-04	2.42668552	2.42668552	2.46490104	2.42668552	2232600
2013-10-07	2.42668552	2.38847	2.44579328	2.38847	4271562
2013-10-08	2.42668552	2.40757776	2.42668552	2.40757776	1862070
2013-10-09	2.42668552	2.38847	2.42668552	2.38847	4565160
2013-10-10	2.42668552	2.40757776	2.50311656	2.44579328	15867898
2013-10-11	2.4840088	2.40757776	2.4840088	2.42668552	8033385
2013-10-14	2.42668552	2.40757776	2.42668552	2.40757776	2387511
2013-10-15	2.40757776	2.40757776	2.44579328	2.40757776	2378614
2013-10-16	2.42668552	2.40757776	2.42668552	2.40757776	5220392
2013-10-17	2.44579328	2.40757776	2.46490104	2.42668552	6666401
2013-10-18	2.44579328	2.42668552	2.46490104	2.44579328	3970638
2013-10-21	2.46490104	2.44579328	2.54133208	2.50311656	41530247
2013-10-22	2.4840088	2.44579328	2.4840088	2.46490104	13164808
2013-10-24	2.46490104	2.42668552	2.4840088	2.46490104	4415483
2013-10-25	2.46490104	2.44579328	2.50311656	2.44579328	11659660
2013-10-28	2.46490104	2.40757776	2.4840088	2.40757776	11397986
2013-10-29	2.42668552	2.42668552	2.44579328	2.42668552	2629298
2013-10-30	2.44579328	2.36936224	2.44579328	2.36936224	12522660
2013-10-31	2.35025448	2.33114672	2.36936224	2.35025448	4531666
2013-11-01	2.33114672	2.33114672	2.35025448	2.35025448	1606677
2013-11-04	2.35025448	2.23560792	2.35025448	2.23560792	5763103
2013-11-05	2.27382344	2.25471568	2.2929312	2.27382344	1543352
2013-11-06	2.27382344	2.27382344	2.31203896	2.2929312	2747051
2013-11-07	2.2929312	2.27382344	2.31203896	2.27382344	2326280
2013-11-08	2.27382344	2.23560792	2.27382344	2.23560792	3965404
2013-11-11	2.21650016	2.21650016	2.2929312	2.27382344	3004538
2013-11-12	2.36936224	2.2929312	2.36936224	2.31203896	2425716
2013-11-13	2.33114672	2.31203896	2.46490104	2.44579328	14575230
2013-11-14	2.46490104	2.46490104	2.54133208	2.4840088	40223971
2013-11-15	2.4840088	2.44579328	2.52222432	2.4840088	12430551
2013-11-18	2.50311656	2.46490104	2.50311656	2.46490104	7109676
2013-11-19	2.46490104	2.46490104	2.5795476	2.4840088	61580739
2013-11-20	2.4840088	2.42668552	2.4840088	2.42668552	17427997
2013-11-21	2.40757776	2.35025448	2.46490104	2.35025448	10636516
2013-11-22	2.38847	2.33114672	2.44579328	2.35025448	8122354
2013-11-25	2.31203896	2.2929312	2.36936224	2.2929312	5728039
2013-11-26	2.2929312	2.2929312	2.44579328	2.35025448	8592320
2013-11-27	2.36936224	2.35025448	2.40757776	2.38847	3806830
2013-11-28	2.40757776	2.38847	2.46490104	2.38847	5701871
2013-11-29	2.38847	2.38847	2.44579328	2.38847	6194865
2013-12-02	2.35025448	2.35025448	2.38847	2.36936224	1245567
2013-12-03	2.36936224	2.36936224	2.46490104	2.38847	7370827
2013-12-04	2.40757776	2.36936224	2.40757776	2.36936224	3999422
2013-12-06	2.36936224	2.33114672	2.40757776	2.35025448	4100428
2013-12-09	2.35025448	2.33114672	2.40757776	2.33114672	3887425
2013-12-11	2.36936224	2.31203896	2.36936224	2.35025448	3296566
2013-12-12	2.33114672	2.31203896	2.36936224	2.33114672	4352681
2013-12-13	2.31203896	2.31203896	2.36936224	2.33114672	4412343
2013-12-16	2.2929312	2.27382344	2.40757776	2.33114672	6111653
2013-12-17	2.33114672	2.33114672	2.38847	2.33114672	4360008
2013-12-18	2.35025448	2.35025448	2.42668552	2.36936224	13333849
2013-12-19	2.40757776	2.35025448	2.40757776	2.36936224	3292379
2013-12-20	2.35025448	2.33114672	2.36936224	2.35025448	3133805
2013-12-23	2.33114672	2.2929312	2.35025448	2.2929312	1793512
2013-12-24	2.33114672	2.31203896	2.35025448	2.33114672	899111
2013-12-25	2.31203896	2.31203896	2.35025448	2.33114672	701809
2013-12-26	2.33114672	2.25471568	2.33114672	2.27382344	3565043
2013-12-27	2.27382344	2.23560792	2.2929312	2.2929312	3711057
2014-01-02	2.27382344	2.14006912	2.27382344	2.14006912	6477996
2014-01-03	2.1018536	1.98720704	2.14006912	2.0063148	13538478
2014-01-06	2.02542256	1.90122212	2.02542256	1.90122212	13871851
2014-01-07	1.94899152	1.910776	2.0063148	1.96809928	8555686
2014-01-08	1.96809928	1.92988376	1.98720704	1.94899152	3809447
2014-01-09	1.94899152	1.92988376	1.96809928	1.92988376	2960577
2014-01-10	1.92988376	1.90122212	1.94899152	1.92988376	2410015
2014-01-13	1.94899152	1.92988376	1.98720704	1.96809928	3262548
2014-01-14	1.94899152	1.94899152	2.02542256	2.02542256	8131774
2014-01-15	2.02542256	2.0063148	2.06363808	2.02542256	6686288
2014-01-16	2.02542256	2.02542256	2.04453032	2.04453032	2393791
2014-01-17	2.04453032	2.0063148	2.06363808	2.0063148	1853697
2014-01-20	2.0063148	2.0063148	2.06363808	2.04453032	841019
2014-01-21	2.04453032	2.0063148	2.06363808	2.02542256	1866257
2014-01-22	2.0063148	2.0063148	2.04453032	2.02542256	1418795
2014-01-23	2.08274584	2.02542256	2.08274584	2.04453032	1627610
2014-01-24	2.06363808	2.04453032	2.08274584	2.04453032	2459733
2014-01-27	2.04453032	2.0063148	2.06363808	2.04453032	1402571
2014-01-28	2.0063148	2.0063148	2.04453032	2.0063148	1149271
2014-01-29	2.02542256	2.0063148	2.04453032	2.0063148	1155028
2014-01-30	2.0063148	1.94899152	2.0063148	1.94899152	5075424
2014-01-31	1.94899152	1.94899152	1.96809928	1.94899152	6100139
2014-02-03	1.96809928	1.96809928	2.0063148	2.0063148	1683609
2014-02-04	1.98720704	1.96809928	2.0063148	1.96809928	730593
2014-02-05	2.0063148	1.98720704	2.0063148	1.98720704	1575799
2014-02-06	2.0063148	2.0063148	2.04453032	2.02542256	3583884
2014-02-07	2.04453032	2.02542256	2.06363808	2.02542256	2413155
2014-02-10	2.02542256	1.98720704	2.04453032	1.98720704	2067746
2014-02-11	2.0063148	1.98720704	2.0063148	2.0063148	719602
2014-02-12	2.0063148	2.0063148	2.02542256	2.02542256	1910742
2014-02-13	2.02542256	2.02542256	2.04453032	2.04453032	4201434
2014-02-17	2.06363808	2.06363808	2.14006912	2.12096136	9052343
2014-02-18	2.12096136	2.08274584	2.15917688	2.15917688	7127470
2014-02-19	2.15917688	2.12096136	2.17828464	2.12096136	5415077
2014-02-20	2.1018536	2.1018536	2.1973924	2.12096136	11440901
