Date	Price Open	Price Low	Price High	Price Close	Volume
2011-06-28	4.95	20.0	20.0	20.0	10000.0
2011-07-28	4.95	22.125	23.625	23.625	20000.0
2011-08-08	4.95	23.625	23.875	23.875	18000.0
2011-11-11	4.95	23.125	23.5	23.375	50000.0
2012-03-08	5.6	30.0	30.0	30.0	20000.0
2012-04-27	5.6	37.0	37.0	37.0	2000.0
2012-04-30	5.6	38.125	38.125	38.125	2000.0
2012-05-23	5.6	33.5	33.5	33.5	20000.0
2012-07-26	5.1	33.5	33.5	33.5	1000.0
2012-12-25	5.85	44.0	44.25	44.25	28000.0
2013-04-24	6.3	38.0	40.25	39.0	7409100.0
2013-04-25	6.3	39.25	41.75	40.75	289100.0
2013-04-26	6.3	41.75	42.75	42.75	148900.0
2013-04-29	6.3	43.5	44.0	43.5	533100.0
2013-04-30	6.3	42.25	43.5	42.5	518100.0
2013-05-02	6.3	41.75	42.0	41.75	769000.0
2013-05-03	6.3	41.25	41.75	41.5	77800.0
2013-05-07	6.3	41.5	42.0	41.75	195100.0
2013-05-08	6.3	41.75	42.0	41.75	379000.0
2013-05-13	6.3	41.5	42.0	42.0	250400.0
2013-05-22	6.3	43.75	44.0	43.75	1600.0
2013-05-23	6.3	42.5	42.5	42.5	4000.0
2013-06-07	6.3	40.0	40.0	40.0	1000.0
2013-06-11	6.3	39.5	40.0	39.5	2000.0
2013-06-12	6.3	41.25	41.25	41.25	1000.0
2013-06-14	6.3	40.25	40.25	40.25	100.0
2013-06-21	6.1	30.0	30.0	30.0	3000.0
2013-06-27	6.1	35.5	38.25	38.25	6000.0
2013-07-03	6.1	38.25	38.25	38.25	300.0
2013-07-09	6.1	35.0	35.75	35.0	600.0
2013-07-10	6.1	35.0	35.0	35.0	500.0
2013-07-31	6.1	35.75	35.75	35.75	1000.0
2013-09-19	9.75	38.0	38.0	38.0	50000.0
2013-11-26	9.75	36.0	36.0	36.0	96700.0
2013-11-27	9.75	41.25	41.5	41.5	10200.0
2014-02-24	11.85	40.0	40.0	40.0	3000.0
