Date	Price Open	Price Low	Price High	Price Close	Volume
2010-09-21	3.16	2.78	2.78	2.78	10000.0
2010-09-22	3.86	2.78	2.8	2.78	12000.0
2010-09-27	4.22	2.7	2.7	2.7	68000.0
2010-09-28	4.54	2.66	2.7	2.7	10100.0
2010-09-29	4.44	2.54	2.7	2.7	40000.0
2010-09-30	4.88	2.64	2.96	2.9	10900.0
2010-10-01	4.74	2.7	2.7	2.7	50100.0
2010-10-07	4.26	2.68	2.68	2.68	100.0
2010-10-08	4.72	2.66	2.66	2.66	20000.0
2010-10-11	4.7	2.66	2.66	2.66	5000.0
2010-10-12	4.78	2.66	2.66	2.66	60000.0
2010-10-13	4.8	2.66	2.68	2.68	184000.0
2010-10-14	4.86	2.68	2.88	2.88	70100.0
2010-10-15	4.8	2.72	2.86	2.84	32700.0
2010-10-18	4.7	2.78	2.78	2.78	48300.0
2010-10-19	5.1	2.5	2.78	2.78	15000.0
2010-10-21	5.65	2.68	2.68	2.68	500.0
2010-10-22	5.5	2.72	2.76	2.76	700.0
2010-10-27	5.5	2.62	2.9	2.7	91300.0
2010-10-28	5.6	2.8	2.8	2.8	400.0
2010-10-29	5.6	2.7	2.84	2.82	30500.0
2010-11-01	6.05	2.72	2.88	2.82	37000.0
2010-11-02	6.0	2.8	3.06	2.8	246700.0
2010-11-03	6.3	2.82	2.9	2.82	11000.0
2010-11-04	5.25	2.74	2.88	2.74	443000.0
2010-11-05	5.4	2.84	2.84	2.84	100.0
2010-11-10	5.15	2.68	2.82	2.82	5100.0
2010-11-11	5.2	2.68	2.86	2.86	1100.0
2010-11-12	4.68	2.4	2.7	2.56	117800.0
2010-11-15	4.62	2.66	2.66	2.66	10000.0
2010-11-16	4.6	2.6	2.82	2.6	10200.0
2010-11-17	4.6	2.2	2.6	2.5	161500.0
2010-11-18	4.44	2.5	2.64	2.64	42200.0
2010-11-19	4.56	2.54	2.78	2.68	5200.0
2010-11-22	4.52	2.58	2.82	2.64	8000.0
2010-11-23	4.58	2.58	2.58	2.58	7000.0
2010-11-24	4.44	2.52	2.64	2.64	1200.0
2010-11-25	4.48	2.5	2.64	2.54	20100.0
2010-11-26	4.4	2.48	2.56	2.56	12500.0
2010-11-30	4.54	2.6	2.6	2.6	100.0
2010-12-01	4.56	2.56	2.6	2.6	13700.0
2010-12-02	4.92	2.6	2.78	2.6	10000.0
2010-12-03	4.72	2.7	2.7	2.7	100.0
2010-12-07	4.66	2.66	2.7	2.66	6100.0
2010-12-08	4.7	2.52	2.6	2.52	41100.0
2010-12-09	4.7	2.5	2.62	2.62	36600.0
2010-12-13	4.58	2.56	2.56	2.56	15200.0
2010-12-14	4.6	2.56	2.56	2.56	5000.0
2010-12-15	4.56	2.5	2.62	2.62	25100.0
2010-12-16	4.56	2.52	2.54	2.54	500.0
2010-12-17	4.56	2.54	2.64	2.6	4300.0
2010-12-20	4.52	2.5	2.52	2.5	10900.0
2010-12-21	4.6	2.5	2.6	2.6	11300.0
2010-12-23	4.34	2.5	2.62	2.5	463900.0
2010-12-24	4.42	2.5	2.74	2.7	299500.0
2010-12-27	4.36	2.7	2.76	2.74	124600.0
2010-12-28	4.3	2.7	2.78	2.78	21300.0
2010-12-30	4.58	2.68	2.68	2.68	100.0
2011-01-04	4.7	2.5	2.72	2.7	103800.0
2011-01-05	4.72	2.66	2.66	2.66	45000.0
2011-01-06	4.7	2.56	2.68	2.68	1400.0
2011-01-11	4.72	2.74	2.74	2.74	300.0
2011-01-18	4.76	2.52	2.58	2.52	26800.0
2011-01-19	5.65	2.68	2.68	2.68	2600.0
2011-01-20	5.75	2.04	2.74	2.74	5200.0
2011-01-21	5.95	2.72	2.72	2.72	5000.0
2011-01-24	5.0	2.16	2.5	2.32	21000.0
2011-01-25	4.66	2.32	2.6	2.6	11100.0
2011-01-26	4.64	2.5	2.5	2.5	1000.0
2011-01-28	4.48	2.58	2.58	2.58	100.0
2011-02-01	4.5	2.3	2.56	2.3	41200.0
2011-02-03	4.26	2.56	2.56	2.56	300.0
2011-02-04	4.22	2.56	2.6	2.6	22700.0
2011-02-08	4.3	2.6	2.6	2.6	16400.0
2011-02-10	4.08	2.5	2.74	2.5	671600.0
2011-02-11	4.06	2.46	2.56	2.56	64700.0
2011-02-14	4.02	2.22	2.58	2.22	684900.0
2011-02-15	4.08	2.38	2.54	2.38	326100.0
2011-02-16	4.06	2.42	2.46	2.42	35000.0
2011-02-17	4.06	2.38	2.46	2.46	48900.0
2011-02-21	4.1	2.34	2.5	2.42	202100.0
2011-02-22	4.04	2.4	2.44	2.4	46300.0
2011-02-24	4.0	2.38	2.42	2.4	48300.0
2011-02-25	4.0	2.36	2.36	2.36	1000.0
2011-02-28	4.0	2.36	2.38	2.36	1100.0
2011-03-01	4.02	2.24	2.38	2.38	500.0
2011-03-02	4.02	2.1	2.36	2.36	12100.0
2011-03-03	4.02	2.26	2.26	2.26	7200.0
2011-03-04	4.08	2.26	2.3	2.3	1100.0
2011-03-07	3.6	2.34	2.56	2.38	216200.0
2011-03-08	3.42	2.36	2.4	2.36	20500.0
2011-03-09	3.28	2.38	2.48	2.38	29000.0
2011-03-10	3.26	2.38	2.5	2.5	40200.0
2011-03-11	3.6	2.36	2.64	2.36	279500.0
2011-03-14	3.46	2.36	2.68	2.5	1167300.0
2011-03-15	3.42	2.48	2.98	2.58	3636100.0
2011-03-16	3.36	2.58	2.78	2.58	631200.0
2011-03-17	3.32	2.56	2.94	2.62	2706000.0
2011-03-18	3.32	2.64	2.8	2.64	1511000.0
2011-03-21	3.4	2.6	2.78	2.66	1759500.0
2011-03-22	3.4	2.6	2.68	2.6	232000.0
2011-03-23	3.34	2.58	2.64	2.58	111800.0
2011-03-24	3.36	2.6	2.76	2.6	2512700.0
2011-03-25	3.36	2.6	2.66	2.6	319500.0
2011-03-28	3.26	2.52	2.62	2.54	157200.0
2011-03-29	3.26	2.54	2.58	2.54	49900.0
2011-03-30	3.26	2.5	2.58	2.5	59700.0
2011-03-31	3.22	2.5	2.58	2.5	210200.0
2011-04-01	3.2	2.52	2.6	2.52	530800.0
2011-04-04	3.22	2.54	2.62	2.54	155100.0
2011-04-05	3.16	2.54	2.62	2.56	201600.0
2011-04-07	3.16	2.52	2.58	2.52	60400.0
2011-04-08	3.12	2.54	2.62	2.54	433600.0
