Date	Price Open	Price Low	Price High	Price Close	Volume
2017-12-20	2.34	2.08	2.38	2.08	331869200
2017-12-21	2.18	2.1	2.2	2.12	56005100
2017-12-22	2.16	2.16	2.24	2.18	69539600
2017-12-25	2.22	2.2	2.26	2.26	54984200
2017-12-26	2.32	2.3	2.4	2.32	138387200
2017-12-27	2.32	2.24	2.36	2.24	77159800
2017-12-28	2.22	2.18	2.26	2.18	26305800
2017-12-29	2.22	2.2	2.24	2.22	5392700
2018-01-03	2.22	2.14	2.24	2.18	17774400
2018-01-04	2.18	2.16	2.22	2.18	8095500
2018-01-05	2.2	2.18	2.24	2.18	18570200
2018-01-08	2.2	2.16	2.22	2.16	11026800
2018-01-09	2.18	2.16	2.2	2.18	8083600
2018-01-10	2.2	2.2	2.28	2.24	23959800
2018-01-11	2.3	2.24	2.3	2.26	27555600
2018-01-12	2.26	2.22	2.26	2.24	6185000
2018-01-15	2.26	2.24	2.28	2.28	11973300
2018-01-16	2.28	2.26	2.36	2.26	51929400
2018-01-17	2.28	2.22	2.28	2.26	13169400
2018-01-18	2.26	2.22	2.26	2.22	5640300
2018-01-19	2.22	2.22	2.26	2.24	2978600
2018-01-22	2.24	2.22	2.26	2.26	2312800
2018-01-23	2.26	2.24	2.3	2.26	11923100
2018-01-24	2.28	2.24	2.28	2.24	4260000
2018-01-25	2.26	2.24	2.26	2.24	4068600
2018-01-26	2.24	2.2	2.24	2.2	4961800
2018-01-29	2.22	2.2	2.24	2.22	2397400
2018-01-30	2.22	2.2	2.22	2.2	1255900
2018-01-31	2.22	2.2	2.24	2.24	3053200
2018-02-01	2.22	2.2	2.24	2.2	2401300
2018-02-02	2.2	2.2	2.28	2.22	10181000
2018-02-05	2.18	2.16	2.22	2.2	6953900
2018-02-06	2.18	2.14	2.2	2.16	8224600
2018-02-07	2.18	2.16	2.2	2.16	3303300
2018-02-08	2.18	2.18	2.22	2.22	2058300
2018-02-09	2.18	2.18	2.24	2.24	4177900
2018-02-12	2.22	2.2	2.22	2.22	2578800
2018-02-13	2.22	2.2	2.24	2.22	1685400
2018-02-14	2.22	2.22	2.28	2.22	12801200
2018-02-15	2.24	2.22	2.26	2.26	3544800
2018-02-16	2.24	2.2	2.28	2.22	8412600
2018-02-19	2.22	2.2	2.24	2.22	2073500
2018-02-20	2.3	2.28	2.34	2.3	43353200
2018-02-21	2.32	2.28	2.34	2.32	16129600
2018-02-22	2.32	2.24	2.32	2.26	13817900
2018-02-23	2.28	2.26	2.32	2.3	9443100
2018-02-26	2.3	2.28	2.36	2.32	28368000
2018-02-27	2.32	2.28	2.32	2.32	5512500
2018-02-28	2.32	2.28	2.32	2.3	6374500
