Date	Price Open	Price Low	Price High	Price Close	Volume
2020-02-20	42.25	41.5	42.25	42.0	57100.0
2020-02-21	41.5	41.25	42.0	41.25	1800.0
2020-02-25	37.5	37.5	38.0	38.0	4000.0
2020-02-26	36.25	32.5	36.75	32.5	776400.0
2020-02-27	32.25	31.25	33.75	33.75	51700.0
2020-03-03	34.75	34.75	35.25	35.25	11700.0
2020-03-04	35.25	35.25	35.25	35.25	1000.0
2020-03-05	38.0	36.75	38.0	36.75	756200.0
2020-03-18	25.5	25.5	25.5	25.5	400.0
2020-04-20	35.0	35.0	35.0	35.0	100.0
2020-05-28	37.5	37.5	37.5	37.5	7300.0
2020-06-01	38.25	38.0	38.25	38.0	991800.0
2020-06-02	38.0	38.0	38.25	38.0	133000.0
2020-06-05	37.0	37.0	37.0	37.0	18700.0
2020-06-15	34.0	34.0	34.0	34.0	10000.0
2020-06-18	34.0	34.0	34.0	34.0	10000.0
2020-06-24	34.0	33.75	34.0	33.75	6200.0
2020-06-30	32.5	32.5	32.5	32.5	1700.0
2020-08-03	29.0	29.0	29.0	29.0	1700.0
2020-08-19	30.25	30.0	30.25	30.0	300.0
2020-09-29	26.5	26.5	26.5	26.5	500.0
2020-10-06	26.25	26.25	26.25	26.25	300.0
2020-10-08	28.0	28.0	28.25	28.25	200.0
2020-10-16	24.0	24.0	24.0	24.0	100.0
2020-11-10	31.5	31.5	32.0	32.0	1300.0
2020-12-04	33.0	33.0	33.0	33.0	1400.0
2021-06-11	37.25	37.25	37.25	37.25	94300.0
2021-10-07	34.5	34.5	34.5	34.5	3000.0
2022-02-23	37.5	37.5	37.5	37.5	2300.0
2022-03-30	40.5	40.5	40.5	40.5	50000.0
2022-08-24	40.25	40.25	40.25	40.25	20000.0
2022-10-05	39.5	39.5	39.5	39.5	4000.0
2022-10-06	39.75	39.75	39.75	39.75	5100.0
2022-10-17	39.25	39.25	39.25	39.25	5500.0
