Date	Price Open	Price Low	Price High	Price Close	Volume
2012-02-13	1.4	6.1	6.15	6.1	118900.0
2012-02-14	1.27	6.0	6.15	6.0	597800.0
2012-02-15	1.26	6.05	6.1	6.05	232800.0
2012-02-16	1.21	6.0	6.05	6.05	267200.0
2012-02-17	1.2	6.0	6.1	6.0	403500.0
2012-02-20	1.25	6.0	6.1	6.0	256800.0
2012-02-21	1.29	6.0	6.05	6.0	437100.0
2012-02-22	1.27	6.0	6.05	6.05	402300.0
2012-02-23	1.26	5.95	6.05	5.95	497900.0
2012-02-24	1.22	6.0	6.0	6.0	198300.0
2012-02-27	1.22	5.95	6.05	5.95	318800.0
2012-02-28	1.21	6.0	6.1	6.1	378700.0
2012-02-29	1.22	6.05	6.15	6.1	324700.0
2012-03-01	1.21	6.05	6.15	6.1	500800.0
2012-03-02	1.23	6.05	6.1	6.05	419600.0
2012-03-05	1.22	6.05	6.1	6.05	213400.0
2012-03-06	1.2	6.05	6.15	6.1	379000.0
2012-03-08	1.21	6.05	6.15	6.15	681200.0
2012-03-09	1.18	5.85	5.95	5.9	478700.0
2012-03-12	1.18	5.8	5.9	5.9	251400.0
2012-03-13	1.22	5.8	5.9	5.85	181400.0
2012-03-14	1.22	5.85	5.85	5.85	7200.0
2012-03-15	1.22	5.85	5.95	5.9	184500.0
2012-03-16	1.2	5.9	5.95	5.9	178900.0
2012-03-19	1.2	5.9	5.95	5.95	172100.0
2012-03-20	1.19	5.9	6.0	5.95	232400.0
2012-03-21	1.2	5.9	6.0	6.0	218700.0
2012-03-22	1.2	5.95	6.0	5.95	157100.0
2012-03-23	1.23	5.9	5.95	5.95	169500.0
2012-03-26	1.23	5.9	6.0	5.9	254500.0
2012-03-27	1.24	5.85	5.95	5.9	221400.0
2012-03-28	1.23	5.85	5.9	5.85	126500.0
2012-03-29	1.23	5.85	5.9	5.85	81600.0
2012-03-30	1.24	5.85	5.9	5.85	89100.0
2012-04-02	1.26	5.85	5.9	5.9	117500.0
2012-04-03	1.23	5.85	5.9	5.85	212000.0
2012-04-04	1.24	5.85	5.95	5.9	151200.0
2012-04-05	1.23	5.9	6.0	6.0	913900.0
2012-04-10	1.25	5.9	6.0	6.0	1037700.0
2012-04-11	1.26	5.9	5.95	5.9	158400.0
2012-04-12	1.26	5.85	5.95	5.9	282100.0
2012-04-17	1.24	5.85	5.9	5.9	711800.0
2012-04-18	1.25	5.9	5.95	5.9	300300.0
2012-04-19	1.25	5.85	5.95	5.85	164900.0
2012-04-20	1.24	5.85	6.15	6.1	1342300.0
2012-04-23	1.24	6.15	6.75	6.65	15960500.0
2012-04-24	1.22	6.45	6.7	6.55	4094700.0
2012-04-25	1.22	6.3	6.55	6.5	2578100.0
2012-04-26	1.21	6.45	6.7	6.45	3091600.0
2012-04-27	1.21	6.45	6.7	6.45	2407700.0
2012-04-30	1.2	6.45	6.7	6.5	1602500.0
2012-05-02	1.21	6.4	6.7	6.5	2986300.0
2012-05-03	1.23	6.4	6.55	6.45	839200.0
2012-05-04	1.24	6.35	6.55	6.5	868200.0
2012-05-08	1.24	6.4	6.55	6.4	1057200.0
2012-05-09	1.25	6.4	6.6	6.4	2602000.0
2012-05-10	1.23	6.35	6.45	6.4	641500.0
2012-05-11	1.23	6.3	6.4	6.35	433500.0
2012-05-14	1.23	6.2	6.6	6.25	1993900.0
2012-05-15	1.22	6.2	6.4	6.4	967200.0
2012-05-16	1.22	6.2	6.4	6.35	509500.0
2012-05-17	1.22	6.25	6.4	6.35	289000.0
2012-05-18	1.22	6.2	6.3	6.3	378000.0
2012-05-21	1.25	6.0	6.3	6.1	3119500.0
2012-05-22	1.24	6.0	6.15	6.05	613400.0
2012-05-23	1.25	6.05	6.1	6.05	261500.0
2012-05-24	1.24	5.95	6.1	6.05	624700.0
2012-05-25	1.24	6.05	6.1	6.1	53700.0
2012-05-28	1.24	6.05	6.15	6.1	467500.0
2012-05-29	1.23	6.1	6.3	6.2	2613600.0
2012-05-30	1.24	6.05	6.25	6.2	1044500.0
2012-05-31	1.24	6.05	6.15	6.1	373300.0
2012-06-01	1.24	6.0	6.2	6.1	1002900.0
2012-06-05	1.25	6.05	6.15	6.05	170100.0
2012-06-06	1.24	6.0	6.15	6.05	134600.0
2012-06-07	1.26	6.05	6.2	6.05	495200.0
2012-06-08	1.26	6.05	6.15	6.15	106400.0
2012-06-11	1.3	6.15	6.2	6.2	226500.0
2012-06-12	1.28	6.2	6.4	6.35	1760700.0
2012-06-13	1.28	6.3	6.4	6.4	391800.0
2012-06-14	1.27	6.25	6.4	6.35	428800.0
2012-06-15	1.29	6.25	6.35	6.3	574700.0
2012-06-18	1.31	6.25	6.35	6.35	255300.0
2012-06-19	1.31	6.25	6.35	6.35	175500.0
2012-06-20	1.32	6.3	6.35	6.3	129200.0
2012-06-21	1.32	6.25	6.35	6.3	142500.0
2012-06-22	1.32	6.15	6.35	6.3	226200.0
2012-06-25	1.22	6.25	6.35	6.3	320900.0
2012-06-26	1.24	6.2	6.3	6.3	237500.0
2012-06-27	1.26	6.25	6.35	6.3	291800.0
2012-06-28	1.23	6.2	6.3	6.25	207500.0
2012-06-29	1.25	6.2	6.3	6.2	696000.0
2012-07-02	1.24	6.25	6.35	6.25	627400.0
2012-07-03	1.24	6.25	6.35	6.3	435000.0
2012-07-04	1.25	6.25	6.35	6.35	127000.0
2012-07-05	1.24	6.3	6.35	6.35	136200.0
2012-07-06	1.24	6.3	6.35	6.35	121500.0
2012-07-09	1.23	6.3	6.35	6.3	250400.0
2012-07-10	1.22	6.3	6.45	6.3	1146400.0
2012-07-11	1.22	6.3	6.45	6.3	1592300.0
2012-07-12	1.21	6.25	6.3	6.25	393400.0
2012-07-13	1.22	6.25	6.35	6.35	951700.0
2012-07-16	1.21	6.25	6.35	6.3	827800.0
2012-07-17	1.22	6.25	6.35	6.3	331800.0
2012-07-18	1.2	6.3	6.35	6.3	331500.0
2012-07-19	1.22	6.3	6.4	6.3	1128400.0
2012-07-20	1.22	6.3	6.4	6.3	833900.0
2012-07-23	1.22	6.3	6.6	6.5	3804000.0
2012-07-24	1.21	6.55	6.7	6.55	6424100.0
2012-07-25	1.22	6.5	6.65	6.5	1298900.0
2012-07-26	1.28	6.4	6.55	6.55	1291200.0
2012-07-27	1.28	6.45	6.55	6.55	525500.0
2012-07-30	1.25	6.5	6.6	6.55	146900.0
2012-07-31	1.25	6.5	6.6	6.55	286000.0
2012-08-01	1.25	6.5	6.6	6.6	188800.0
2012-08-03	1.25	6.5	6.6	6.55	586100.0
2012-08-06	1.26	6.55	6.6	6.6	576400.0
2012-08-07	1.26	6.55	6.9	6.75	7807100.0
2012-08-08	1.27	6.7	6.9	6.8	1825400.0
2012-08-09	1.28	6.45	6.85	6.5	4711900.0
2012-08-10	1.3	6.5	6.6	6.55	309600.0
2012-08-14	1.27	6.5	6.65	6.65	975900.0
2012-08-15	1.25	6.6	6.7	6.65	1030800.0
2012-08-16	1.25	6.6	6.7	6.7	717300.0
2012-08-17	1.24	6.65	6.7	6.65	393100.0
2012-08-20	1.24	6.65	6.75	6.75	813700.0
2012-08-21	1.24	6.7	6.8	6.8	759700.0
2012-08-22	1.22	6.75	7.05	7.05	5172100.0
2012-08-23	1.21	6.9	7.05	6.95	1113600.0
2012-08-24	1.19	6.9	7.0	6.95	563000.0
2012-08-27	1.22	6.9	7.05	7.05	1127900.0
2012-08-28	1.21	6.95	7.0	6.95	1281100.0
2012-08-29	1.19	6.85	7.0	6.85	684100.0
2012-08-30	1.19	6.8	6.9	6.85	1083600.0
2012-08-31	1.21	6.85	7.0	6.9	485700.0
2012-09-03	1.2	6.9	7.0	6.95	612500.0
2012-09-04	1.21	6.9	7.0	6.95	698400.0
2012-09-05	1.22	6.9	6.95	6.9	1123100.0
2012-09-06	1.21	6.9	7.05	7.05	2943800.0
2012-09-07	1.21	6.8	6.95	6.9	1976100.0
2012-09-10	1.22	6.8	6.9	6.8	618300.0
2012-09-11	1.22	6.75	6.9	6.75	641100.0
2012-09-12	1.21	6.75	6.9	6.9	1020600.0
2012-09-13	1.21	6.8	6.95	6.85	477200.0
2012-09-14	1.21	6.8	6.95	6.8	493500.0
2012-09-17	1.21	6.8	7.05	7.0	1997200.0
2012-09-18	1.22	6.9	7.0	6.95	1406400.0
2012-09-19	1.21	6.95	7.05	7.0	727300.0
