Date	Price Open	Price Low	Price High	Price Close	Volume
2013-01-30	4.1083322	4.0738084	5.5583318	5.2476176	2934314588
2013-01-31	5.6619032	5.2476176	5.7309508	5.2476176	865597790
2013-02-01	5.3166652	5.0749986	5.4892842	5.1095224	386567527
2013-02-04	5.17857	5.1095224	5.3166652	5.2130938	245546260
2013-02-05	5.1095224	4.9369034	5.2130938	5.005951	172962130
2013-02-06	5.005951	4.7988082	5.0404748	4.833332	152065531
2013-02-07	4.833332	4.660713	4.9023796	4.660713	93311136
2013-02-08	4.7297606	4.6261892	4.833332	4.6261892	95672840
2013-02-11	4.6261892	4.315475	4.6261892	4.3499988	38686355
2013-02-12	4.3499988	4.2809512	4.6952368	4.660713	56000787
2013-02-13	4.660713	4.4190464	4.7297606	4.4535702	22043199
2013-02-14	4.488094	4.4535702	4.5571416	4.488094	11652685
2013-02-15	4.4535702	4.3845226	4.5226178	4.4190464	7203581
2013-02-18	4.4535702	4.3499988	4.488094	4.3845226	11682810
2013-02-19	4.3845226	4.315475	4.4190464	4.3845226	10644685
2013-02-20	4.4190464	4.3845226	4.4535702	4.4535702	6930001
2013-02-21	4.4190464	4.3499988	4.488094	4.3499988	20118874
2013-02-22	4.3845226	4.3499988	4.488094	4.4535702	18540687
2013-02-26	4.4535702	4.4535702	4.9714272	4.9023796	84013781
2013-02-27	4.9369034	4.6952368	4.9714272	4.7297606	41156535
2013-02-28	4.7642844	4.6261892	4.833332	4.7642844	20817667
2013-03-01	4.833332	4.6952368	5.005951	4.9714272	59850740
2013-03-04	5.0404748	4.7988082	5.1095224	4.7988082	140685411
2013-03-05	4.9023796	4.7988082	4.9023796	4.833332	47246826
2013-03-06	4.8678558	4.7297606	4.9369034	4.7642844	52404138
2013-03-07	4.7642844	4.7642844	4.8678558	4.7642844	23595316
2013-03-08	4.7988082	4.7642844	4.9714272	4.9023796	93445391
2013-03-11	5.005951	4.9369034	5.1095224	5.1095224	130839305
2013-03-12	5.2476176	5.17857	5.4202366	5.2476176	296960647
2013-03-13	5.3166652	5.2476176	5.4202366	5.2821414	195701371
2013-03-14	5.3857128	5.3166652	5.7654746	5.6619032	523724792
2013-03-15	5.7999984	5.7999984	6.2488078	6.041665	440375190
2013-03-18	6.1452364	6.1107126	6.8011886	6.5249982	450965565
2013-03-19	6.7666648	5.6273794	6.7666648	5.7999984	577213690
2013-03-20	5.7999984	5.4892842	5.8345222	5.5928556	271828274
2013-03-21	5.5583318	5.2821414	5.7309508	5.5928556	134649140
2013-03-22	5.4892842	5.0404748	5.5928556	5.17857	172733157
2013-03-25	5.005951	4.8678558	5.2130938	5.2130938	30093297
2013-03-26	5.17857	5.1095224	5.351189	5.2821414	23747820
2013-03-27	5.3857128	5.351189	5.6619032	5.5583318	53444435
2013-03-28	5.4892842	5.1440462	5.5928556	5.4202366	29654470
2013-03-29	5.4892842	5.4892842	5.6619032	5.5583318	31938981
2013-04-01	5.5928556	5.4202366	5.6273794	5.4202366	16981763
2013-04-02	5.4202366	5.2821414	5.4547604	5.351189	11246734
2013-04-03	5.3166652	5.0749986	5.3857128	5.0749986	23277420
2013-04-04	4.7642844	4.7642844	5.2821414	5.2821414	16633308
2013-04-05	5.17857	5.1095224	5.2130938	5.1095224	6206587
2013-04-09	5.1095224	5.005951	5.1440462	5.005951	5355146
2013-04-10	5.005951	4.9369034	5.1440462	5.0404748	3687745
2013-04-11	5.1095224	5.0749986	5.2476176	5.2476176	5399029
2013-04-12	5.2821414	5.2476176	5.4202366	5.3857128	7823443
2013-04-17	5.2821414	5.17857	5.351189	5.2476176	9211181
2013-04-18	5.2130938	5.0404748	5.2130938	5.2130938	6622967
2013-04-19	5.17857	5.17857	5.351189	5.3166652	5992387
2013-04-22	5.4202366	5.4202366	5.696427	5.6619032	44547384
2013-04-23	5.5928556	5.3857128	5.6273794	5.4892842	16388694
2013-04-24	5.5583318	5.351189	5.5583318	5.4547604	13524438
2013-04-25	5.4892842	5.4202366	5.5928556	5.5583318	12418534
2013-04-26	5.5583318	5.4202366	5.5583318	5.4547604	12518755
2013-04-29	5.4892842	5.4547604	5.6273794	5.6273794	21448971
2013-04-30	5.6619032	5.6273794	5.9035698	5.9035698	53396497
2013-05-02	5.9035698	5.7654746	5.9035698	5.7999984	30245511
2013-05-03	5.869046	5.7654746	5.869046	5.8345222	19747391
2013-05-07	5.9380936	5.6619032	5.9380936	5.7309508	29520504
2013-05-08	5.8345222	5.7309508	5.8345222	5.7999984	17886646
2013-05-09	5.8345222	5.7309508	5.8345222	5.7309508	14805293
2013-05-10	5.7309508	5.4892842	5.7309508	5.4892842	23784316
2013-05-13	5.523808	5.4547604	5.7309508	5.6619032	22513020
2013-05-14	5.7309508	5.5583318	5.7309508	5.6619032	13557893
2013-05-15	5.696427	5.5928556	5.696427	5.5928556	8549754
2013-05-16	5.6619032	5.6273794	5.7999984	5.696427	32108719
2013-05-17	5.696427	5.6273794	5.7309508	5.6273794	10626437
2013-05-20	5.6619032	5.523808	5.696427	5.523808	15337535
2013-05-21	5.5583318	5.523808	5.5928556	5.5583318	8370602
2013-05-22	5.5928556	5.5583318	5.7654746	5.6619032	38518645
2013-05-23	5.6619032	5.4547604	5.696427	5.5583318	46995406
2013-05-27	5.523808	5.523808	5.5928556	5.5583318	5550663
2013-05-28	5.6273794	5.5583318	5.6273794	5.5928556	8816092
2013-05-29	5.6273794	5.523808	5.6273794	5.5583318	15631969
2013-05-30	5.5583318	5.4892842	5.5583318	5.4892842	10415278
2013-05-31	5.523808	5.4547604	5.5583318	5.4547604	16878066
2013-06-03	5.4547604	5.3857128	5.4892842	5.3857128	13029996
2013-06-04	5.4202366	5.2821414	5.4547604	5.3857128	11162734
2013-06-05	5.3166652	5.2821414	5.3857128	5.2821414	7816057
2013-06-06	5.2476176	5.0749986	5.2476176	5.1095224	12109327
2013-06-07	5.0749986	5.0749986	5.2821414	5.2130938	7406919
2013-06-10	5.2476176	5.2130938	5.351189	5.2130938	5785139
2013-06-11	5.17857	4.9714272	5.17857	4.9714272	10493485
2013-06-12	4.8678558	4.7642844	4.9714272	4.833332	12312375
2013-06-13	4.6952368	4.488094	4.7297606	4.660713	17052149
2013-06-14	4.833332	4.7642844	5.3166652	5.3166652	18030025
2013-06-17	5.2130938	5.005951	5.2476176	5.17857	7049629
2013-06-18	5.17857	4.833332	5.2476176	4.9369034	9394243
2013-06-19	4.9714272	4.833332	5.0404748	4.8678558	4725146
2013-06-20	4.660713	4.6261892	4.833332	4.660713	8348009
2013-06-21	4.5226178	4.4535702	4.660713	4.660713	9208285
2013-06-24	4.488094	4.488094	4.6952368	4.5226178	2104490
2013-06-25	4.5226178	4.3499988	4.5916654	4.5571416	7565505
2013-06-26	4.660713	4.5226178	4.660713	4.5916654	6050463
2013-06-27	4.6952368	4.5916654	4.7297606	4.6952368	9587878
2013-06-28	4.7297606	4.660713	4.7642844	4.660713	2552152
2013-07-02	4.6952368	4.660713	4.7297606	4.6952368	2243379
2013-07-03	4.6952368	4.660713	4.833332	4.660713	7572602
2013-07-04	4.7297606	4.6261892	4.7297606	4.660713	2449324
2013-07-05	4.6952368	4.5916654	4.7297606	4.660713	3538863
2013-07-08	4.660713	4.5916654	4.7642844	4.6261892	1877545
2013-07-09	4.6261892	4.5916654	4.6952368	4.6261892	1426117
2013-07-10	4.5916654	4.315475	4.6261892	4.4190464	7379836
2013-07-11	4.4535702	4.4535702	4.5571416	4.5226178	5682746
2013-07-12	4.5571416	4.488094	4.6261892	4.5571416	6516519
2013-07-15	4.5916654	4.5571416	4.7642844	4.6952368	9384250
2013-07-16	4.7297606	4.6261892	4.9023796	4.833332	14123010
2013-07-17	4.9369034	4.9023796	5.1095224	4.9369034	48468882
2013-07-18	5.005951	4.9714272	5.0404748	5.005951	5896077
2013-07-19	5.0749986	5.005951	5.1095224	5.0404748	6981995
2013-07-23	5.0749986	4.9714272	5.1095224	4.9714272	5219008
2013-07-24	4.9714272	4.9369034	5.0749986	4.9369034	6755050
2013-07-25	4.9369034	4.7297606	4.9714272	4.7297606	7918450
2013-07-26	4.7988082	4.6952368	4.833332	4.7988082	1902890
2013-07-29	4.7297606	4.6952368	4.7642844	4.7297606	1092145
2013-07-30	4.7297606	4.660713	4.7988082	4.660713	1536041
2013-07-31	4.660713	4.5916654	4.7642844	4.6261892	2873814
2013-08-01	4.660713	4.6261892	4.6952368	4.6261892	1853648
2013-08-02	4.6952368	4.5571416	4.6952368	4.5916654	3239504
2013-08-05	4.5916654	4.488094	4.6261892	4.5226178	3439366
2013-08-06	4.5571416	4.488094	4.5916654	4.488094	4818415
2013-08-07	4.4535702	4.4535702	4.5571416	4.5571416	1982400
2013-08-08	4.5571416	4.5571416	4.6952368	4.6261892	4008539
2013-08-09	4.660713	4.5571416	4.660713	4.6261892	998586
2013-08-13	4.6261892	4.6261892	4.7297606	4.6952368	2544331
2013-08-14	4.7642844	4.6952368	4.7642844	4.6952368	2223973
2013-08-15	4.7642844	4.6952368	4.7988082	4.7642844	2020924
2013-08-16	4.7297606	4.7297606	4.9369034	4.9023796	9059402
2013-08-19	4.8678558	4.660713	4.8678558	4.7297606	7005601
2013-08-20	4.5916654	4.488094	4.6261892	4.5571416	7573905
2013-08-21	4.5226178	4.488094	4.5571416	4.488094	4342077
2013-08-22	4.4535702	4.3499988	4.4535702	4.4535702	3958283
2013-08-23	4.488094	4.4190464	4.5226178	4.4535702	2104924
