Date	Price Open	Price Low	Price High	Price Close	Volume
2013-07-17	9.2	8.9	9.5	9.0	7455209.0
2013-07-18	9.1	8.9	9.2	9.0	4513409.0
2013-07-19	9.1	8.8	9.1	9.1	4572339.0
2013-07-23	9.1	9.0	9.5	9.3	10416249.0
2013-07-24	9.2	8.7	9.3	9.1	8641739.0
2013-07-25	9.0	8.7	9.0	8.7	5681749.0
2013-07-26	8.6	8.3	8.8	8.7	5494959.0
2013-07-29	8.5	8.4	8.6	8.5	3837639.0
2013-07-30	8.5	7.9	8.5	7.9	7821069.0
2013-07-31	7.9	7.9	8.5	8.5	10649249.0
2013-08-01	8.5	8.5	9.5	9.4	20190169.0
2013-08-02	9.4	8.8	9.5	9.0	20588299.0
2013-08-05	8.9	8.8	9.0	8.9	4344879.0
2013-08-06	8.8	8.8	9.2	9.0	5531629.0
2013-08-07	9.0	8.9	9.3	9.3	5801249.0
2013-08-08	9.4	9.3	9.7	9.5	23116569.0
2013-08-09	9.5	8.8	9.6	8.8	19636269.0
2013-08-13	8.3	7.3	8.4	7.6	23042699.0
2013-08-14	7.4	7.4	9.7	9.2	50773039.0
2013-08-15	9.1	8.8	9.9	9.8	38363859.0
2013-08-16	7.5	7.5	8.4	8.3	45164349.0
2013-08-19	8.3	7.6	8.4	7.8	20481779.0
2013-08-20	7.6	5.5	7.7	7.2	58086119.0
2013-08-21	7.0	6.4	7.3	6.7	20532949.0
2013-08-22	6.5	5.3	6.8	6.1	41493179.0
2013-08-23	6.2	5.5	6.4	5.7	20220999.0
2013-08-26	5.8	4.8	5.8	5.1	16129979.0
2013-08-27	4.8	4.6	5.4	5.0	13893669.0
2013-08-28	5.0	5.0	6.0	6.0	25415239.0
2013-08-29	6.2	6.0	6.5	6.5	18672619.0
2013-08-30	6.5	6.0	6.5	6.4	14941869.0
2013-09-02	6.4	6.3	6.6	6.4	6244279.0
2013-09-03	6.5	6.1	6.5	6.1	7129019.0
2013-09-04	5.9	5.9	6.1	5.9	4826299.0
2013-09-05	5.7	5.2	5.8	5.4	18222389.0
2013-09-06	5.4	5.4	6.4	6.3	20132569.0
2013-09-09	6.5	6.0	6.6	6.0	34824169.0
2013-09-10	6.2	6.1	6.4	6.2	15483119.0
2013-09-11	6.3	6.1	6.3	6.3	7551129.0
2013-09-12	6.3	6.2	7.0	6.9	52240989.0
2013-09-13	6.9	6.6	7.2	6.8	31513699.0
2013-09-16	6.8	6.6	7.1	7.0	15009229.0
2013-09-17	7.0	6.9	7.3	7.3	12359259.0
2013-09-18	7.4	7.0	7.6	7.2	21170239.0
2013-09-19	7.4	6.6	7.5	7.1	38813089.0
2013-09-20	7.0	6.9	7.1	7.0	4200179.0
2013-09-23	6.9	6.8	7.1	6.8	6585379.0
2013-09-24	6.8	6.7	7.0	6.9	5460159.0
2013-09-25	6.9	6.8	7.0	6.9	2242299.0
2013-09-26	6.8	5.6	6.8	5.9	20338859.0
2013-09-27	5.6	5.0	5.9	5.9	33325499.0
2013-09-30	5.7	5.6	5.9	5.8	3246239.0
2013-10-01	5.8	5.7	6.1	6.1	11414599.0
2013-10-02	6.1	6.0	6.2	6.1	4013989.0
2013-10-03	6.0	6.0	6.3	6.2	7376499.0
2013-10-04	6.2	6.0	6.3	6.3	7303469.0
2013-10-07	6.3	6.2	6.3	6.3	3889979.0
2013-10-08	6.3	6.1	6.3	6.3	2512249.0
2013-10-09	6.2	6.2	6.3	6.2	4126309.0
2013-10-10	6.2	6.2	6.6	6.6	15648959.0
2013-10-11	6.6	6.5	6.8	6.7	9336929.0
2013-10-14	6.7	6.6	6.8	6.8	6200979.0
2013-10-15	6.8	6.7	6.9	6.8	7958939.0
2013-10-16	6.8	6.7	7.0	6.9	10139859.0
2013-10-17	6.9	6.8	7.0	7.0	6442399.0
2013-10-18	7.1	7.0	7.3	7.2	20886569.0
2013-10-21	7.2	6.5	7.3	6.6	17428989.0
2013-10-22	6.6	6.2	6.7	6.5	9794389.0
2013-10-24	6.5	6.4	6.6	6.6	5440079.0
2013-10-25	6.6	6.5	6.8	6.7	4451309.0
2013-10-28	6.8	6.6	6.9	6.6	12927179.0
2013-10-29	6.6	6.4	6.7	6.5	6995419.0
2013-10-30	6.5	6.1	6.5	6.2	12244829.0
2013-10-31	6.1	6.1	6.5	6.4	6753299.0
2013-11-01	6.3	6.1	6.4	6.2	5864299.0
2013-11-04	6.1	5.8	6.1	5.8	5557299.0
2013-11-05	5.8	5.8	6.2	6.2	4667409.0
2013-11-06	6.3	6.1	6.3	6.2	4280479.0
2013-11-07	6.2	6.0	6.3	6.1	3430529.0
2013-11-08	6.1	5.9	6.1	6.0	2318639.0
2013-11-11	5.9	5.8	6.1	6.0	4089869.0
2013-11-12	6.1	6.0	6.2	6.0	2938169.0
2013-11-13	6.1	5.9	6.2	6.0	4885119.0
2013-11-14	6.0	6.0	6.1	6.0	2434329.0
2013-11-15	6.1	5.8	6.1	5.9	2845359.0
2013-11-18	5.9	5.5	6.0	5.6	13110949.0
2013-11-19	5.6	5.5	5.7	5.6	2385929.0
2013-11-20	5.6	5.6	5.8	5.7	2894499.0
2013-11-21	5.6	5.4	5.6	5.4	2687739.0
2013-11-22	5.4	5.2	5.5	5.4	3676629.0
2013-11-25	5.2	5.2	5.4	5.3	2269079.0
2013-11-26	5.3	5.3	5.5	5.4	1861419.0
2013-11-27	5.4	5.4	5.9	5.7	8482809.0
2013-11-28	5.8	5.7	6.0	5.7	7918289.0
2013-11-29	5.8	5.7	5.9	5.9	3322389.0
2013-12-02	5.9	5.7	5.9	5.9	3015039.0
2013-12-03	6.0	5.9	6.3	6.2	9947009.0
2013-12-04	6.3	6.1	6.3	6.2	4255989.0
2013-12-06	6.2	6.1	6.3	6.1	3342229.0
2013-12-09	6.1	5.9	6.1	6.0	1651999.0
2013-12-11	6.0	6.0	6.1	6.1	2302739.0
2013-12-12	6.1	6.0	6.1	6.0	1697719.0
2013-12-13	5.9	5.8	6.1	6.0	1239919.0
2013-12-16	5.9	5.8	6.0	5.8	1899639.0
2013-12-17	5.9	5.8	6.0	5.9	2871179.0
2013-12-18	6.0	5.9	6.0	5.9	1965919.0
2013-12-19	6.0	5.8	6.0	5.8	3701139.0
2013-12-20	5.9	5.8	6.1	6.0	8446259.0
2013-12-23	5.9	5.9	6.1	5.9	7385679.0
2013-12-24	6.0	6.0	6.2	6.1	10518639.0
2013-12-25	6.2	6.1	6.5	6.1	23932669.0
2013-12-26	6.2	5.9	6.2	5.9	5603699.0
2013-12-27	5.9	5.8	6.0	5.9	2725079.0
2014-01-02	5.9	5.5	5.9	5.5	7684659.0
2014-01-03	5.5	5.4	5.7	5.5	8083819.0
2014-01-06	5.3	5.2	5.5	5.3	6325449.0
2014-01-07	5.4	5.4	5.5	5.5	2547389.0
2014-01-08	5.5	5.4	5.5	5.4	1104249.0
2014-01-09	5.4	5.3	5.5	5.3	1229059.0
2014-01-10	5.2	5.1	5.3	5.1	3923549.0
2014-01-13	5.0	4.8	5.1	5.0	4873559.0
2014-01-14	5.0	5.0	5.2	5.2	1697269.0
2014-01-15	5.2	5.1	5.3	5.1	1694589.0
2014-01-16	5.2	5.2	5.4	5.3	2287319.0
2014-01-17	5.3	5.1	5.7	5.4	15270959.0
2014-01-20	5.3	5.3	5.5	5.4	3221629.0
2014-01-21	5.5	5.3	5.6	5.3	6999429.0
2014-01-22	5.3	5.2	5.4	5.3	1718799.0
2014-01-23	5.3	5.3	5.4	5.3	1028499.0
2014-01-24	5.3	5.3	5.5	5.4	11033869.0
2014-01-27	5.4	5.4	5.5	5.4	2160179.0
2014-01-28	5.5	5.3	5.5	5.5	5360699.0
2014-01-29	5.5	5.5	5.7	5.6	8398979.0
2014-01-30	5.6	5.6	6.0	5.9	11742299.0
2014-01-31	6.1	5.9	6.2	5.9	8303809.0
2014-02-03	6.0	6.0	6.1	6.1	4224569.0
2014-02-04	6.1	6.0	6.1	6.0	5417489.0
2014-02-05	6.1	6.0	6.1	6.0	2568109.0
2014-02-06	6.0	6.0	6.1	6.0	1371569.0
2014-02-07	6.1	6.0	6.1	6.0	3432029.0
2014-02-10	6.1	6.1	6.3	6.2	11595269.0
2014-02-11	6.3	6.1	6.3	6.1	3957809.0
2014-02-12	6.1	6.0	6.2	6.1	6885369.0
2014-02-13	6.2	6.1	6.3	6.1	6614419.0
2014-02-17	6.2	6.1	6.2	6.2	2777549.0
2014-02-18	6.2	6.0	6.2	6.1	4399599.0
2014-02-19	6.2	6.1	6.7	6.6	21180879.0
2014-02-20	6.6	6.4	6.7	6.4	18318579.0
2014-02-21	6.5	6.4	6.6	6.6	5981239.0
2014-02-24	6.5	6.5	6.9	6.9	16356259.0
2014-02-25	7.0	6.9	7.2	6.9	19500519.0
2014-02-26	7.0	6.8	7.1	6.9	9956389.0
2014-02-27	6.9	6.2	7.1	6.5	23884649.0
2014-02-28	6.6	6.4	6.8	6.7	11798939.0
2014-03-03	6.7	6.7	6.9	6.7	10954139.0
2014-03-04	6.8	6.7	6.9	6.7	2655409.0
2014-03-05	6.7	6.6	6.8	6.8	7907469.0
2014-03-06	6.8	6.6	6.9	6.7	9782129.0
2014-03-07	6.7	6.7	6.9	6.7	6082299.0
2014-03-10	6.7	6.7	6.9	6.7	5108799.0
2014-03-11	6.8	6.7	6.9	6.9	4857689.0
2014-03-12	6.9	6.9	7.3	7.1	40861129.0
2014-03-13	7.1	6.8	7.2	6.9	25766919.0
2014-03-14	7.0	6.8	7.0	6.9	6368709.0
2014-03-17	7.0	6.9	7.1	6.9	4159849.0
2014-03-18	7.0	6.9	7.1	6.9	11507429.0
2014-03-19	6.9	6.7	7.0	6.8	8439459.0
2014-03-20	6.8	6.7	6.8	6.8	1944009.0
2014-03-21	6.8	6.7	7.0	6.8	11501589.0
2014-03-24	6.8	6.6	6.8	6.6	4968629.0
2014-03-25	6.7	6.5	6.7	6.6	3500289.0
2014-03-26	6.7	6.6	6.8	6.7	1695799.0
2014-03-27	6.7	6.6	6.8	6.6	1281729.0
2014-03-28	6.7	6.6	6.7	6.7	5870819.0
2014-03-31	6.7	6.6	6.8	6.7	3627349.0
2014-04-01	6.7	6.7	7.0	7.0	16389339.0
2014-04-02	7.1	6.9	7.2	7.0	9551729.0
2014-04-03	7.0	6.9	7.1	6.9	4784379.0
2014-04-04	6.9	6.8	7.0	6.9	5220479.0
2014-04-08	6.8	6.8	7.0	6.8	6206139.0
2014-04-09	6.9	6.8	6.9	6.8	2571839.0
2014-04-10	6.9	6.8	7.0	7.0	4062339.0
2014-04-11	7.0	7.0	7.2	7.1	14666649.0
2014-04-16	7.1	7.1	7.3	7.2	15472989.0
2014-04-17	7.2	7.0	7.3	7.1	16828449.0
2014-04-18	7.1	7.1	7.3	7.3	12234839.0
2014-04-21	7.3	7.2	7.4	7.3	11369149.0
2014-04-22	7.3	7.2	7.4	7.3	17227489.0
2014-04-23	7.4	7.3	7.4	7.3	13723169.0
2014-04-24	7.4	7.3	7.7	7.4	38316039.0
2014-04-25	7.5	7.2	7.6	7.3	20995919.0
2014-04-28	7.2	7.1	7.3	7.2	2043879.0
2014-04-29	7.2	7.2	7.4	7.3	3523689.0
2014-04-30	7.3	7.2	7.4	7.3	1619279.0
2014-05-02	7.3	7.2	7.4	7.4	2559909.0
2014-05-06	7.4	7.2	7.5	7.3	5391989.0
2014-05-07	7.2	7.1	7.4	7.4	4863339.0
2014-05-08	7.4	7.2	7.4	7.2	5796749.0
2014-05-09	7.3	7.2	7.3	7.3	2686329.0
2014-05-12	7.3	7.1	7.3	7.2	1577679.0
2014-05-14	7.2	7.1	7.2	7.2	2071759.0
2014-05-15	7.1	6.7	7.2	6.8	8983309.0
2014-05-16	6.8	6.8	7.2	7.1	4440429.0
2014-05-19	7.0	7.0	7.1	7.0	970429.0
2014-05-20	6.7	6.7	7.0	6.9	2638499.0
2014-05-21	6.9	6.8	7.0	7.0	1746159.0
2014-05-22	7.0	6.9	7.1	7.0	874689.0
2014-05-23	6.8	6.7	7.0	7.0	4557569.0
2014-05-26	6.9	6.9	7.1	7.0	4177089.0
2014-05-27	7.0	6.9	7.0	7.0	2209779.0
2014-05-28	7.1	7.0	7.1	7.1	1640999.0
2014-05-29	7.1	7.0	7.1	7.1	2278369.0
2014-05-30	7.1	7.1	7.3	7.3	4317339.0
2014-06-02	7.3	7.3	7.8	7.8	22564049.0
2014-06-03	7.9	7.6	7.9	7.7	8945559.0
2014-06-04	7.7	7.7	8.1	7.9	12421759.0
2014-06-05	8.0	7.9	8.1	8.1	5975979.0
2014-06-06	8.2	8.0	8.4	8.1	11709779.0
2014-06-09	8.2	7.9	8.3	8.0	17007609.0
2014-06-10	8.0	7.9	8.2	8.1	14189589.0
2014-06-11	8.1	8.0	8.2	8.0	18929749.0
2014-06-12	8.1	8.0	8.2	8.2	16026089.0
2014-06-13	8.3	8.1	8.4	8.2	17457249.0
2014-06-16	8.2	8.2	8.4	8.3	9170429.0
2014-06-17	8.3	8.3	8.8	8.7	36514709.0
2014-06-18	8.9	8.8	9.6	9.0	125513739.0
2014-06-19	9.1	9.0	9.3	9.3	34141189.0
2014-06-20	9.3	9.2	10.0	10.0	85498989.0
2014-06-23	10.3	10.2	11.0	10.6	111125439.0
2014-06-24	10.7	9.9	10.8	10.1	60456329.0
2014-06-25	10.2	10.0	10.5	10.0	24393089.0
2014-06-26	10.3	9.6	10.3	10.1	43937099.0
2014-06-27	10.1	10.0	10.6	10.4	53558039.0
2014-06-30	10.4	10.4	10.7	10.6	12769549.0
2014-07-02	10.6	10.6	11.9	11.9	55080999.0
2014-07-03	11.8	11.6	11.9	11.9	17360389.0
2014-07-04	12.2	11.3	12.4	12.1	35550889.0
2014-07-07	12.2	11.7	12.2	12.0	8499219.0
2014-07-08	11.9	11.9	12.2	12.0	6745549.0
2014-07-09	11.9	11.8	12.0	11.9	4799409.0
2014-07-10	11.9	11.4	12.0	11.6	13637489.0
2014-07-14	11.6	11.1	11.8	11.4	10638889.0
2014-07-15	11.4	11.0	11.4	11.2	8012939.0
2014-07-16	11.2	11.2	12.1	12.1	22782149.0
2014-07-17	12.0	11.9	12.3	12.1	13497189.0
2014-07-18	12.0	11.8	12.9	12.9	18773119.0
2014-07-21	13.0	12.8	13.5	13.3	15189969.0
2014-07-22	13.4	12.8	13.7	13.5	22743059.0
2014-07-23	13.5	13.5	14.9	14.5	32338439.0
2014-07-24	14.4	14.0	15.1	14.9	25083379.0
2014-07-25	14.9	14.7	15.1	15.0	12906719.0
2014-07-28	15.1	14.7	15.8	15.7	18892659.0
2014-07-29	15.8	15.8	17.3	17.2	33322549.0
2014-07-30	17.2	14.8	17.6	16.0	58178169.0
2014-07-31	15.6	11.2	15.7	11.7	88038899.0
2014-08-01	12.3	11.0	14.9	14.9	106396269.0
2014-08-04	15.0	12.5	16.2	14.2	86760279.0
2014-08-05	14.0	13.4	14.4	14.2	12421069.0
2014-08-06	13.9	13.7	14.7	14.4	17085409.0
2014-08-07	14.5	14.2	14.7	14.4	6344079.0
2014-08-08	14.1	13.9	15.0	15.0	16165999.0
2014-08-13	15.5	15.0	15.6	15.0	31975819.0
2014-08-14	15.2	14.7	15.2	14.9	14872369.0
2014-08-15	15.0	14.8	15.2	15.0	9398429.0
2014-08-18	15.1	14.9	15.2	14.9	9360719.0
2014-08-19	15.0	14.8	15.1	14.8	6368529.0
2014-08-20	14.9	14.8	16.1	15.9	73768159.0
2014-08-21	16.1	15.9	16.5	16.0	50036609.0
2014-08-22	16.1	15.8	16.3	16.0	16595699.0
2014-08-25	16.0	15.9	16.6	16.3	41720969.0
2014-08-26	16.4	15.9	16.5	16.0	18008669.0
2014-08-27	16.1	15.6	16.2	15.8	16321859.0
2014-08-28	15.8	15.5	15.9	15.6	9700109.0
2014-08-29	15.6	15.5	16.1	15.8	14566829.0
2014-09-01	16.0	15.9	16.4	16.1	27081669.0
2014-09-02	16.3	16.0	16.4	16.2	13429119.0
2014-09-03	16.2	16.0	16.3	16.0	7221249.0
2014-09-04	16.2	16.0	18.0	18.0	114091709.0
2014-09-05	18.5	18.5	19.6	18.9	185651749.0
2014-09-08	19.4	18.5	19.5	18.5	57808289.0
2014-09-09	18.4	18.3	19.0	18.6	54947899.0
2014-09-10	18.5	18.5	19.1	18.7	48454589.0
2014-09-11	18.8	18.6	19.8	18.6	126485519.0
2014-09-12	18.9	18.7	19.1	18.8	29797509.0
2014-09-15	19.4	19.0	19.8	19.3	87772359.0
2014-09-16	19.5	18.3	19.7	18.6	52013119.0
2014-09-17	19.0	18.1	19.0	18.4	31069409.0
2014-09-18	18.3	17.1	18.3	17.5	36536059.0
2014-09-19	17.5	16.2	17.5	16.6	50934379.0
2014-09-22	16.4	16.2	17.4	17.1	37626229.0
2014-09-23	17.2	16.6	17.3	16.7	10626269.0
2014-09-24	17.0	16.9	17.3	17.2	13822969.0
2014-09-25	17.3	16.9	17.3	16.9	8105039.0
2014-09-26	16.9	16.6	17.0	16.9	6476529.0
2014-09-29	16.8	16.2	16.8	16.3	12297349.0
2014-09-30	16.2	15.7	16.3	15.8	10475029.0
2014-10-01	15.8	15.8	17.4	17.4	46293349.0
2014-10-03	16.7	16.6	17.1	16.9	12798699.0
2014-10-06	16.9	16.2	17.0	16.2	14641059.0
2014-10-07	16.3	15.8	16.5	16.1	10491979.0
2014-10-08	16.0	15.9	16.8	16.6	12359309.0
2014-10-09	16.8	16.5	16.8	16.6	7611089.0
2014-10-10	16.3	16.3	16.9	16.7	8409659.0
2014-10-13	16.7	16.5	16.8	16.5	7874209.0
2014-10-14	16.6	16.5	17.7	17.7	50275079.0
2014-10-15	17.8	17.3	18.4	17.3	65302439.0
2014-10-16	17.1	16.5	17.4	16.7	21421879.0
2014-10-17	17.0	16.6	17.1	16.9	17273769.0
2014-10-20	17.1	16.7	17.2	16.7	7895029.0
2014-10-21	16.8	16.5	16.9	16.7	6763409.0
2014-10-22	16.8	16.5	16.9	16.7	4649659.0
2014-10-24	16.8	16.4	16.9	16.5	9002729.0
2014-10-27	16.5	16.3	16.8	16.5	11102129.0
2014-10-28	16.5	16.5	17.1	16.8	24705049.0
2014-10-29	17.0	16.8	17.3	17.0	25572879.0
2014-10-30	17.1	16.7	17.1	16.7	8581429.0
2014-10-31	16.8	16.5	16.9	16.5	7672799.0
2014-11-03	16.6	16.5	17.0	16.6	15907219.0
2014-11-04	16.6	16.4	16.7	16.5	6426029.0
2014-11-05	16.5	16.4	16.9	16.5	8938119.0
2014-11-06	16.6	16.5	17.0	16.8	14896209.0
2014-11-07	17.5	17.0	17.5	17.1	45354379.0
2014-11-10	17.2	16.7	17.3	16.7	14558769.0
2014-11-11	16.9	16.5	16.9	16.5	13605569.0
2014-11-12	16.7	16.4	16.9	16.5	13511769.0
2014-11-13	16.5	16.4	16.7	16.5	6462489.0
2014-11-14	16.5	16.4	16.7	16.6	6822499.0
2014-11-17	16.7	16.7	18.4	18.4	114403289.0
2014-11-18	18.6	17.6	19.0	17.6	126907719.0
2014-11-19	17.7	17.1	17.9	17.1	25124989.0
2014-11-20	17.3	17.3	18.1	17.5	46033159.0
2014-11-21	17.6	17.3	17.7	17.3	12200709.0
2014-11-24	17.5	17.3	17.7	17.4	9344769.0
2014-11-25	17.5	17.0	17.6	17.4	15056109.0
2014-11-26	17.4	16.8	17.4	16.8	10699079.0
2014-11-27	16.8	16.7	17.1	16.9	6464679.0
2014-11-28	16.9	16.8	17.3	17.0	13313539.0
2014-12-01	17.3	17.1	17.7	17.4	18323189.0
2014-12-02	17.4	17.1	17.5	17.1	7003829.0
2014-12-03	17.2	17.1	17.5	17.3	8043369.0
2014-12-04	17.4	17.1	17.5	17.1	4492219.0
2014-12-08	17.2	16.8	17.2	16.8	8985699.0
2014-12-09	16.8	16.6	17.0	16.7	5061709.0
2014-12-11	16.7	15.6	16.7	15.9	13612559.0
