Date	Price Open	Price Low	Price High	Price Close	Volume
2019-05-17	12.0	12.0	12.0	12.0	5000.0
2019-05-21	12.2	10.6	12.2	12.2	54800.0
2019-05-28	12.8	12.8	12.8	12.8	4000.0
2019-06-05	12.4	12.4	12.4	12.4	1700.0
2019-07-09	12.8	12.8	12.8	12.8	8200.0
2019-07-30	13.0	13.0	13.0	13.0	8200.0
2019-11-05	13.2	13.2	13.2	13.2	6000.0
2019-12-17	11.8	11.8	11.8	11.8	6000.0
2019-12-24	12.2	12.2	12.2	12.2	4000.0
2020-01-03	12.7	12.7	12.7	12.7	2000.0
2020-01-14	12.8	12.8	12.8	12.8	4000.0
2020-01-15	12.8	12.8	12.8	12.8	3000.0
2020-02-14	12.9	12.9	12.9	12.9	8000.0
2020-02-18	12.9	12.9	12.9	12.9	4800.0
2020-04-02	11.0	11.0	11.0	11.0	5000.0
2020-05-12	11.9	11.9	11.9	11.9	5000.0
2020-05-20	11.9	11.9	11.9	11.9	4000.0
2020-05-21	12.0	12.0	12.0	12.0	4000.0
2020-05-25	12.0	12.0	12.0	12.0	6000.0
2020-06-05	11.8	11.8	11.8	11.8	4000.0
2020-06-10	11.9	11.9	11.9	11.9	5000.0
2020-06-11	11.9	11.9	11.9	11.9	5000.0
2020-06-18	11.9	11.9	11.9	11.9	2000.0
2020-06-19	11.9	11.9	11.9	11.9	3000.0
2020-11-20	11.9	11.9	11.9	11.9	1200.0
2022-01-10	10.9	10.9	10.9	10.9	500.0
2022-01-20	11.9	11.9	11.9	11.9	700.0
2022-02-14	11.9	11.9	12.2	12.1	10000.0
2022-02-15	11.7	11.7	11.7	11.7	16000.0
