Date	Price Open	Price Low	Price High	Price Close	Volume
2017-11-01	5.2245	3.4344	5.9535	3.5154	390823209
2017-11-02	3.564	3.0456	3.5964	3.1104	66830123
2017-11-03	3.0942	3.0618	3.2562	3.1428	54988888
2017-11-06	3.2076	3.1914	3.4668	3.2886	96211975
2017-11-07	3.321	3.1914	3.3372	3.1914	20104197
2017-11-08	3.1914	3.1104	3.2724	3.1104	12519506
2017-11-09	3.1266	3.0456	3.159	3.0456	9424197
2017-11-10	3.0456	2.8836	3.0456	2.8836	6190864
2017-11-13	2.916	2.8674	2.9484	2.8674	3461358
2017-11-14	2.8674	2.7054	2.8998	2.7054	4744074
2017-11-15	2.7054	2.511	2.7054	2.511	7230370
2017-11-16	2.5596	2.511	2.673	2.592	8429629
2017-11-17	2.592	2.5596	2.6568	2.5596	6152222
2017-11-20	2.592	2.5272	2.6082	2.5272	1498395
2017-11-21	2.5434	2.5272	2.592	2.5272	1795432
2017-11-22	2.5434	2.4948	2.5596	2.4948	1077407
2017-11-23	2.5272	2.3814	2.5272	2.3814	4433827
2017-11-24	2.3976	2.3166	2.4786	2.3166	3592098
2017-11-27	2.3328	2.2194	2.3328	2.2356	1373950
2017-11-28	2.2194	2.2194	2.3328	2.2356	2186666
2017-11-29	2.268	2.2194	2.3004	2.2194	1784567
2017-11-30	2.2194	2.1222	2.2356	2.1546	1893086
2017-12-01	2.1708	2.1384	2.1708	2.1708	928148
2017-12-04	2.187	2.0412	2.187	2.1222	1326790
2017-12-06	2.1222	2.0736	2.1222	2.0898	909135
2017-12-07	2.0898	2.0736	2.1546	2.0736	1057654
2017-12-08	2.106	2.025	2.106	2.0736	834444
2017-12-12	2.0736	2.025	2.0898	2.025	953456
2017-12-13	2.025	1.9278	2.0736	1.9278	974444
2017-12-14	1.944	1.8468	1.944	1.8468	1487777
2017-12-15	1.8468	1.7658	1.863	1.7658	1452962
2017-12-18	1.782	1.782	1.8954	1.863	3489259
2017-12-19	1.8792	1.8792	2.0412	1.944	8176790
2017-12-20	1.9764	1.9602	2.0736	1.9764	5381234
2017-12-21	1.9764	1.8792	1.9764	1.8954	1984444
2017-12-22	1.8954	1.8954	1.9602	1.9116	847530
2017-12-25	1.9116	1.8792	1.9278	1.8954	549876
2017-12-26	1.9116	1.863	1.9116	1.8792	512469
2017-12-27	1.8792	1.8792	1.9116	1.8792	378024
2017-12-28	1.9116	1.8792	1.9116	1.8792	252592
2017-12-29	1.9116	1.8792	1.9764	1.8954	1532839
2018-01-03	1.9116	1.8954	1.944	1.9116	943086
2018-01-04	1.944	1.9116	1.9764	1.944	1857160
2018-01-05	1.9764	1.9602	2.0088	1.9764	1693703
2018-01-08	1.9926	1.944	2.0088	1.944	941728
2018-01-09	1.9278	1.8792	1.944	1.8792	642469
2018-01-10	1.9116	1.8468	1.9116	1.8468	637777
2018-01-11	1.8468	1.8306	1.8792	1.8792	400246
2018-01-12	1.863	1.8468	1.8792	1.8792	343950
2018-01-15	1.863	1.8468	1.9116	1.8468	230123
2018-01-16	1.8468	1.7658	1.8792	1.782	1218148
2018-01-17	1.782	1.782	1.9602	1.8468	3452098
2018-01-18	1.8468	1.782	1.863	1.782	744197
2018-01-19	1.8144	1.8144	2.3166	2.3166	67803580
