Date	Price Open	Price Low	Price High	Price Close	Volume
2011-03-09	2.6	4.02	4.04	4.04	51100.0
2011-03-10	2.575	4.02	4.04	4.04	19400.0
2011-03-11	2.55	4.0	4.04	4.04	147200.0
2011-03-14	2.55	4.0	4.04	4.04	29600.0
2011-03-15	2.675	3.98	4.02	4.0	359000.0
2011-03-16	2.7	3.96	4.02	4.0	338600.0
2011-03-17	2.7	3.96	4.0	4.0	46000.0
2011-03-18	2.775	3.98	4.02	4.0	114700.0
2011-03-21	2.75	3.98	4.0	4.0	90200.0
2011-03-22	2.825	4.0	4.14	4.04	1637500.0
2011-03-23	2.95	4.02	4.06	4.04	196100.0
2011-03-24	2.95	4.02	4.04	4.04	119400.0
2011-03-25	2.9	4.02	4.06	4.04	111600.0
2011-03-28	3.025	4.02	4.06	4.02	135900.0
2011-03-29	3.05	4.02	4.04	4.04	85800.0
2011-03-30	3.125	4.0	4.04	4.02	626300.0
2011-03-31	3.225	4.0	4.04	4.02	128500.0
2011-04-01	3.15	4.0	4.06	4.04	560100.0
2011-04-04	3.15	4.02	4.06	4.04	360800.0
2011-04-05	3.2	4.04	4.08	4.08	274100.0
2011-04-07	3.325	4.08	4.1	4.08	343000.0
2011-04-08	3.225	4.08	4.22	4.08	1335900.0
2011-04-11	3.275	4.12	4.14	4.12	789500.0
2011-04-12	3.175	4.12	4.16	4.14	359500.0
2011-04-18	3.175	4.12	4.18	4.14	1124300.0
2011-04-19	3.225	4.0	4.06	4.02	631200.0
2011-04-20	3.25	3.98	4.04	3.98	656400.0
2011-04-21	3.3	3.98	4.0	4.0	436900.0
2011-04-22	3.625	3.96	4.0	4.0	378000.0
2011-04-25	3.75	3.96	3.98	3.96	507500.0
2011-04-26	3.75	3.96	3.98	3.98	282000.0
2011-04-27	3.775	3.96	4.0	3.98	427100.0
2011-04-28	3.8	3.96	4.0	3.98	355000.0
2011-04-29	3.775	3.94	4.0	3.98	257400.0
2011-05-03	3.825	3.84	3.98	3.9	501700.0
2011-05-04	3.875	3.88	3.9	3.9	157800.0
2011-05-06	3.975	3.8	3.9	3.86	229900.0
2011-05-09	3.95	3.88	3.9	3.88	287200.0
2011-05-10	3.975	3.9	3.92	3.92	156700.0
2011-05-11	4.1	3.9	3.92	3.92	233900.0
2011-05-12	4.1	3.88	3.92	3.9	377800.0
2011-05-13	4.4	3.9	4.06	3.98	1304800.0
2011-05-18	4.35	3.84	3.88	3.86	635800.0
2011-05-19	4.5	3.84	3.9	3.88	780200.0
2011-05-20	4.5	3.82	3.9	3.9	992600.0
2011-05-23	4.425	3.8	3.84	3.8	405000.0
2011-05-24	4.425	3.78	3.84	3.8	339100.0
2011-05-25	4.375	3.8	3.8	3.8	78000.0
2011-05-26	4.3	3.8	3.86	3.8	337400.0
2011-05-27	4.35	3.78	3.84	3.8	255700.0
2011-05-30	4.35	3.78	3.8	3.8	145000.0
2011-05-31	4.325	3.76	3.8	3.8	141200.0
2011-06-01	4.35	3.74	3.8	3.76	221400.0
2011-06-02	4.325	3.7	3.8	3.8	23000.0
2011-06-03	4.35	3.76	3.8	3.8	32100.0
2011-06-06	4.325	3.76	3.8	3.78	142000.0
2011-06-07	4.375	3.76	3.78	3.76	100100.0
2011-06-08	4.425	3.68	3.76	3.7	320000.0
2011-06-09	4.5	3.56	3.7	3.7	662300.0
2011-06-10	4.5	3.68	3.74	3.7	453400.0
2011-06-13	4.425	3.68	3.7	3.7	26700.0
2011-06-14	4.35	3.68	3.72	3.7	959900.0
2011-06-15	4.25	3.68	3.72	3.7	182100.0
2011-06-16	4.3	3.68	3.72	3.72	105400.0
2011-06-17	4.3	3.7	3.72	3.72	191500.0
2011-06-20	4.3	3.68	3.72	3.7	276000.0
2011-06-21	4.3	3.7	3.72	3.7	11600.0
2011-06-22	4.3	3.68	3.72	3.72	14100.0
2011-06-24	4.05	3.7	3.72	3.72	11000.0
2011-06-27	4.05	3.68	3.72	3.72	28000.0
2011-06-29	4.0	3.68	3.74	3.72	603400.0
