Date	Price Open	Price Low	Price High	Price Close	Volume
2009-02-23	3.9	0.46	0.56	0.53	127406500.0
2009-02-24	3.3	0.5	0.53	0.5	71812300.0
2009-02-25	3.36	0.43	0.52	0.45	45665100.0
2009-02-26	3.12	0.38	0.46	0.39	12698500.0
2009-02-27	3.22	0.36	0.42	0.38	22489900.0
2009-03-02	3.4	0.33	0.4	0.33	10741900.0
2009-03-03	3.36	0.32	0.36	0.34	14352100.0
2009-03-04	3.5	0.34	0.38	0.37	27762500.0
2009-03-05	3.78	0.34	0.38	0.34	22950000.0
2009-03-06	3.74	0.34	0.35	0.35	3003800.0
2009-03-09	3.6	0.35	0.38	0.35	14604000.0
2009-03-10	3.62	0.34	0.36	0.35	5022400.0
2009-03-11	3.58	0.35	0.36	0.35	5915400.0
2009-03-12	3.56	0.34	0.35	0.35	1478700.0
2009-03-13	3.56	0.35	0.45	0.41	95676800.0
2009-03-16	3.7	0.38	0.41	0.4	23576100.0
2009-03-17	3.56	0.38	0.42	0.38	21313500.0
2009-03-18	3.52	0.39	0.41	0.39	15434200.0
2009-03-19	3.44	0.38	0.43	0.38	33891100.0
2009-03-20	3.48	0.38	0.41	0.39	11793800.0
2009-03-23	3.46	0.39	0.41	0.4	11375400.0
2009-03-24	3.46	0.4	0.42	0.4	28834100.0
2009-03-25	3.46	0.39	0.41	0.39	4650400.0
2009-03-26	3.36	0.38	0.4	0.38	2603300.0
2009-03-27	3.04	0.38	0.39	0.38	4515100.0
2009-03-30	2.94	0.36	0.38	0.36	3780500.0
2009-03-31	3.1	0.36	0.37	0.37	1576100.0
2009-04-01	3.08	0.36	0.37	0.37	3763500.0
2009-04-02	3.02	0.37	0.4	0.38	38772400.0
2009-04-03	3.38	0.38	0.42	0.4	33010900.0
2009-04-07	3.54	0.38	0.4	0.38	8213300.0
2009-04-08	3.48	0.37	0.38	0.37	2711600.0
2009-04-09	3.44	0.37	0.39	0.38	5067800.0
2009-04-10	3.48	0.38	0.39	0.39	5032900.0
2009-04-16	3.4	0.38	0.41	0.4	12091900.0
2009-04-17	3.38	0.4	0.47	0.43	109724600.0
2009-04-20	3.4	0.43	0.46	0.43	26484300.0
2009-04-21	3.38	0.42	0.48	0.45	95732900.0
2009-04-22	3.46	0.43	0.46	0.43	17194900.0
2009-04-23	3.42	0.43	0.45	0.43	5150100.0
2009-04-24	3.46	0.44	0.48	0.45	67770300.0
2009-04-27	3.48	0.44	0.46	0.44	11723500.0
2009-04-28	3.68	0.42	0.45	0.44	10121900.0
2009-04-29	3.62	0.43	0.46	0.45	13973300.0
2009-04-30	3.62	0.45	0.48	0.47	26223500.0
2009-05-04	3.52	0.47	0.5	0.48	90471200.0
2009-05-06	3.54	0.48	0.52	0.52	54239000.0
2009-05-07	3.72	0.54	0.6	0.58	97812000.0
2009-05-11	3.72	0.56	0.59	0.56	30355800.0
2009-05-12	3.88	0.55	0.59	0.58	34728800.0
2009-05-13	3.96	0.59	0.62	0.59	48530000.0
2009-05-14	4.26	0.53	0.6	0.53	29948800.0
2009-05-15	4.02	0.5	0.55	0.53	21222300.0
2009-05-18	4.06	0.52	0.55	0.54	10318200.0
2009-05-19	4.2	0.56	0.58	0.58	26793400.0
2009-05-20	4.26	0.6	0.65	0.61	106117900.0
2009-05-21	4.36	0.57	0.62	0.57	21209800.0
2009-05-22	4.26	0.56	0.59	0.59	9731000.0
2009-05-25	4.18	0.58	0.6	0.59	10075900.0
2009-05-26	4.1	0.57	0.62	0.58	28521700.0
2009-05-27	4.16	0.59	0.62	0.59	35271500.0
2009-05-28	4.16	0.59	0.68	0.63	140460400.0
2009-05-29	4.1	0.62	0.65	0.62	49666000.0
2009-06-01	4.1	0.62	0.65	0.63	25340800.0
2009-06-02	4.16	0.6	0.65	0.61	28180300.0
2009-06-03	4.26	0.61	0.64	0.62	33573500.0
