Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	28.16	26.4	29.04	26.4	525999.0
2000-01-05	25.52	23.76	26.4	23.76	163965.0
2000-01-06	24.64	23.76	25.52	23.76	126556.0
2000-01-07	24.64	23.76	25.52	23.76	201488.0
2000-01-10	24.64	22.88	24.64	22.88	90284.0
2000-01-11	23.76	20.24	23.76	20.24	112034.0
2000-01-12	20.24	16.72	22.0	18.48	598761.0
2000-01-13	18.48	16.72	19.36	19.36	263397.0
2000-01-14	19.36	18.48	19.36	18.48	97454.0
2000-01-17	18.48	18.48	22.0	20.24	668113.0
2000-01-18	21.12	20.24	22.0	20.24	349965.0
2000-01-19	21.12	20.24	22.0	22.0	208409.0
2000-01-20	22.88	22.88	28.16	28.16	1322261.0
2000-01-21	30.8	28.16	33.44	30.8	2874386.0
2000-01-24	31.68	28.16	31.68	29.04	982852.0
2000-01-25	28.16	28.16	32.56	31.68	1689090.0
2000-01-26	31.68	28.16	31.68	28.16	1643056.0
2000-01-27	29.04	28.16	29.92	29.92	1330488.0
2000-01-28	29.92	29.92	32.56	30.8	2218454.0
2000-01-31	30.8	30.8	35.2	33.44	3154647.0
2000-02-01	33.44	32.56	36.08	32.56	2759647.0
2000-02-02	33.44	29.92	34.32	30.8	1011613.0
2000-02-03	30.8	29.04	31.68	29.92	412852.0
2000-02-04	30.8	29.04	30.8	29.92	138238.0
2000-02-07	29.92	29.92	32.56	29.92	447806.0
2000-02-08	30.8	29.92	30.8	29.92	274897.0
2000-02-09	30.8	26.4	30.8	27.28	631454.0
2000-02-10	26.4	25.52	27.28	26.4	361624.0
2000-02-11	26.4	26.4	34.32	33.44	3813829.0
2000-02-14	33.44	24.64	34.32	26.4	4090340.0
2000-02-15	27.28	26.4	28.16	27.28	1335499.0
2000-02-16	28.16	25.52	28.16	26.4	589011.0
2000-02-17	27.28	27.28	29.92	29.04	1942136.0
2000-02-18	29.04	25.52	29.92	26.4	2149806.0
2000-02-22	27.28	24.64	28.16	24.64	1011386.0
2000-02-23	24.64	22.88	24.64	22.88	1168499.0
2000-02-24	22.88	22.88	24.64	22.88	1238249.0
2000-02-25	23.76	22.88	28.16	26.4	2877840.0
2000-02-28	26.4	22.88	26.4	22.88	740511.0
2000-02-29	24.64	22.88	24.64	22.88	631431.0
2000-03-01	22.88	21.12	23.76	22.88	663772.0
2000-03-02	22.0	22.0	24.64	24.64	845988.0
2000-03-03	25.52	22.88	25.52	22.88	777909.0
2000-04-05	11.44	10.56	14.96	11.44	2648920.0
2000-04-07	13.2	11.44	13.2	11.44	559761.0
2000-04-10	11.44	10.56	12.32	10.56	375511.0
2000-04-11	10.56	9.68	11.44	10.56	473670.0
2000-04-12	10.56	10.56	13.2	13.2	723011.0
2000-04-17	11.44	11.44	13.2	12.32	492920.0
2000-04-18	12.32	11.44	13.2	11.44	521863.0
2000-04-19	11.44	11.44	12.32	12.32	184329.0
2000-04-20	12.32	12.32	12.32	12.32	649931.0
2000-04-21	13.2	11.44	13.2	12.32	110795.0
2000-04-24	12.32	11.44	12.32	12.32	15579.0
2000-04-25	11.44	9.68	12.32	10.56	642840.0
2000-04-26	10.56	8.8	10.56	8.8	482238.0
2000-04-27	8.8	7.92	9.68	7.92	191886.0
2000-04-28	7.92	7.92	11.44	10.56	844124.0
2000-05-02	10.56	9.68	10.56	9.68	116249.0
2000-05-03	9.68	9.68	11.44	10.56	527602.0
2000-05-04	10.56	10.56	13.2	12.32	1424329.0
2004-08-02	13.2	13.2	13.816	13.816	8544.0
2004-08-12	13.024	11.88	13.024	11.968	14414.0
2006-12-26	3.08	3.08	3.168	3.08	5778079.0
2006-12-27	3.168	3.08	3.168	3.08	1483965.0
2006-12-28	3.168	2.992	3.168	2.992	4598272.0
2006-12-29	2.992	2.904	3.08	2.992	2410647.0
2007-01-03	2.816	2.816	2.904	2.816	4173193.0
2007-01-04	2.904	2.728	2.904	2.728	1893761.0
2007-01-05	2.728	2.552	2.728	2.64	5666738.0
2007-01-08	2.728	2.728	2.904	2.816	7147420.0
2007-01-09	2.816	2.728	2.904	2.816	10858238.0
2007-01-10	2.816	2.728	2.904	2.816	2597954.0
2007-01-11	2.904	2.904	2.992	2.904	4293397.0
2007-01-12	2.992	2.904	2.992	2.904	1830863.0
2007-01-15	2.992	2.992	3.08	2.992	3119204.0
2007-01-16	2.992	2.992	3.08	3.08	2581931.0
2007-01-17	3.08	3.08	3.168	3.08	5086068.0
2007-01-18	3.168	3.08	3.168	3.08	4244295.0
2007-01-19	3.08	3.08	3.168	3.08	751159.0
2007-01-22	3.08	3.08	3.168	3.08	2512352.0
2007-01-23	3.08	3.08	3.168	3.08	1472227.0
2007-01-24	3.08	2.992	3.168	3.08	1343034.0
2007-01-25	3.08	3.08	3.168	3.08	1509090.0
2007-01-26	3.08	3.08	3.256	3.256	3638124.0
2007-01-29	3.168	2.992	3.168	2.992	2755522.0
2007-01-30	3.08	2.992	3.08	3.08	1136329.0
2007-01-31	3.08	2.992	3.08	2.992	869488.0
2007-02-01	2.992	2.992	3.168	3.168	879545.0
2007-02-02	3.168	3.08	3.256	3.168	2887886.0
2007-02-05	3.168	3.168	3.256	3.256	2693295.0
2007-02-06	3.168	3.168	3.256	3.168	1048613.0
2007-02-07	3.256	3.168	3.256	3.168	827318.0
2007-02-08	3.168	3.168	3.344	3.256	3896954.0
2007-02-09	3.256	3.168	3.344	3.344	1371534.0
2007-02-12	3.256	3.256	3.344	3.344	651511.0
2007-02-13	3.344	3.168	3.344	3.256	3442181.0
2007-02-14	3.256	3.168	3.344	3.256	3017511.0
2007-02-15	3.256	3.168	3.344	3.168	3214045.0
2007-02-16	3.168	3.168	3.256	3.168	513749.0
2007-02-19	3.168	3.08	3.256	3.08	1776147.0
2007-02-20	3.168	3.08	3.168	3.168	196159.0
2007-02-21	3.168	2.992	3.168	3.08	3225238.0
2007-02-22	3.168	3.08	3.168	3.08	1389727.0
2007-02-23	3.08	2.992	3.168	2.992	1829579.0
2007-02-26	3.08	2.992	3.08	2.992	486931.0
2007-02-27	2.992	2.904	2.992	2.904	3213624.0
2007-02-28	2.728	2.728	2.904	2.816	3869897.0
2007-03-01	2.816	2.816	2.904	2.816	689761.0
2007-03-02	2.904	2.816	2.904	2.904	1294943.0
2007-03-06	2.904	2.728	2.904	2.728	766295.0
2007-03-07	2.816	2.816	2.904	2.816	581704.0
2007-03-08	2.816	2.816	2.904	2.816	1100272.0
2007-03-09	2.816	2.728	2.816	2.728	1661011.0
2007-03-12	2.728	2.728	2.816	2.816	851863.0
2007-03-13	2.816	2.816	2.816	2.816	1084227.0
2007-03-14	2.816	2.728	2.904	2.816	911363.0
2007-03-15	2.816	2.728	2.816	2.816	337602.0
2007-03-16	2.816	2.728	2.816	2.728	2135874.0
2007-03-19	2.728	2.728	2.816	2.728	206181.0
2007-03-20	2.728	2.728	2.816	2.728	521647.0
2007-03-21	2.728	2.64	2.728	2.728	2131181.0
2007-03-22	2.728	2.728	2.816	2.728	148352.0
2007-03-23	2.728	2.728	2.728	2.728	1125465.0
2007-03-26	2.728	2.728	2.728	2.728	167499.0
2007-03-27	2.728	2.64	2.816	2.64	1048647.0
2007-03-28	2.728	2.64	2.728	2.64	938443.0
2007-03-29	2.64	2.552	2.728	2.64	842624.0
2007-03-30	2.64	2.64	2.64	2.64	255738.0
2007-04-02	2.728	2.64	2.728	2.728	404090.0
2007-04-03	2.64	2.64	2.816	2.728	1839488.0
2007-04-04	2.728	2.728	2.816	2.816	1564784.0
2007-04-05	2.728	2.728	2.728	2.728	812954.0
2007-04-09	2.728	2.64	2.728	2.728	271215.0
2007-04-10	2.728	2.728	2.816	2.728	144738.0
2007-04-11	2.728	2.728	2.728	2.728	236534.0
2007-04-12	2.728	2.64	2.728	2.64	68204.0
