Date	Price Open	Price Low	Price High	Price Close	Volume
2021-10-25	3.9772207	3.27182684	6.2284777	5.7031844	1093459600
2021-10-26	5.59062155	4.23986735	5.9283101	4.23986735	351193100
2021-10-27	4.2773883	4.16482545	4.7276397	4.3524302	233344100
2021-10-28	4.38995115	3.70706986	4.502514	3.78961595	54763700
2021-10-29	3.752095	3.40690226	3.752095	3.42191064	29070300
2021-11-01	3.4519274	3.39189388	3.55698606	3.39189388	17938100
2021-11-02	3.42191064	3.21179332	3.43691902	3.21179332	9786400
2021-11-03	3.25681846	3.18177656	3.5269693	3.3018436	50788700
2021-11-04	3.27182684	3.2268017	3.34686874	3.2268017	9289600
2021-11-05	3.24181008	3.12174304	3.28683522	3.12174304	4922800
2021-11-08	3.03169276	2.91162572	3.06170952	2.94164248	3449000
2021-11-09	2.80656706	2.79155868	2.9266341	2.8515922	2025400
2021-11-10	2.88160896	2.80656706	2.89661734	2.83658382	1297000
2021-11-11	2.8515922	2.83658382	2.95665086	2.88160896	1519900
2021-11-12	2.88160896	2.83658382	2.89661734	2.88160896	783800
2021-11-15	2.88160896	2.86660058	3.13675142	3.09172628	8683300
2021-11-16	3.0767179	2.97165924	3.09172628	3.03169276	1736200
2021-11-17	3.03169276	3.01668438	3.27182684	3.24181008	9442300
2021-11-18	3.19678494	3.12174304	3.2268017	3.19678494	4208800
2021-11-19	3.16676818	3.1517598	3.24181008	3.18177656	1861400
2021-11-22	3.16676818	3.13675142	3.33186036	3.31685198	6245000
2021-11-23	3.31685198	3.25681846	3.42191064	3.3768855	4624700
2021-11-24	3.3768855	3.27182684	3.3768855	3.28683522	3256300
2021-11-25	3.28683522	3.19678494	3.28683522	3.21179332	1819500
2021-11-26	3.2268017	3.09172628	3.24181008	3.12174304	1853300
2021-11-29	3.0767179	3.01668438	3.13675142	3.10673466	588400
2021-11-30	3.12174304	3.04670114	3.16676818	3.04670114	686800
2021-12-01	3.04670114	3.03169276	3.13675142	3.09172628	377800
2021-12-02	3.09172628	3.0767179	3.1517598	3.10673466	603800
2021-12-03	3.10673466	3.0767179	3.12174304	3.09172628	665300
2021-12-07	3.09172628	3.09172628	3.16676818	3.13675142	893600
2021-12-08	3.13675142	3.13675142	3.27182684	3.21179332	2654800
2021-12-09	3.21179332	3.18177656	3.27182684	3.24181008	1594400
2021-12-13	3.24181008	3.19678494	3.33186036	3.27182684	1961700
2021-12-14	3.28683522	3.25681846	3.33186036	3.33186036	1330100
2021-12-15	3.33186036	3.27182684	3.40690226	3.3018436	4378800
2021-12-16	3.31685198	3.18177656	3.31685198	3.2268017	1049400
2021-12-17	3.2268017	3.19678494	3.3018436	3.27182684	2678900
2021-12-20	3.27182684	3.04670114	3.27182684	3.0767179	3198900
