Date	Price Open	Price Low	Price High	Price Close	Volume
2021-07-21	10.1	10.0	10.2	10.0	1151300.0
2021-07-22	10.1	10.0	10.1	10.1	431500.0
2021-07-23	10.0	10.0	10.1	10.0	228300.0
2021-07-27	10.1	10.0	10.1	10.0	77200.0
2021-07-29	10.0	9.95	10.0	10.0	527600.0
2021-07-30	9.95	9.95	10.0	10.0	80000.0
2021-08-02	10.0	9.95	10.0	10.0	16600.0
2021-08-03	9.95	9.95	10.0	10.0	55900.0
2021-08-04	9.95	9.95	10.0	10.0	101100.0
2021-08-05	10.0	9.95	10.0	10.0	103800.0
2021-08-06	10.0	9.95	10.0	10.0	23200.0
2021-08-09	10.0	10.0	10.0	10.0	40500.0
2021-08-10	10.0	10.0	10.0	10.0	75800.0
2021-08-11	10.0	10.0	10.0	10.0	117000.0
2021-08-13	10.1	9.95	10.1	10.0	190400.0
2021-08-16	10.0	9.95	10.0	10.0	1200.0
2021-08-17	10.0	9.95	10.0	10.0	172000.0
2021-08-18	10.0	10.0	10.0	10.0	57000.0
2021-08-19	10.0	10.0	10.0	10.0	59200.0
2021-08-20	10.0	10.0	10.0	10.0	86400.0
2021-08-23	10.0	9.95	10.0	10.0	123900.0
2021-08-24	10.0	10.0	10.0	10.0	4500.0
2021-08-25	10.0	9.95	10.0	9.95	34100.0
2021-08-26	10.0	9.95	10.0	9.95	150600.0
2021-08-27	10.0	10.0	10.0	10.0	72100.0
2021-08-30	10.0	9.95	10.0	10.0	24200.0
2021-08-31	10.0	10.0	10.0	10.0	45300.0
2021-09-01	10.0	9.95	10.0	9.95	296700.0
2021-09-02	10.0	9.95	10.0	10.0	5600.0
2021-09-03	9.95	9.95	10.0	10.0	4700.0
2021-09-06	10.0	9.95	10.0	10.0	112300.0
2021-09-07	10.0	9.95	10.0	10.0	43400.0
2021-09-08	10.0	10.0	10.0	10.0	300.0
2021-09-09	9.95	9.95	10.0	10.0	70300.0
2021-09-10	10.0	10.0	10.0	10.0	61000.0
2021-09-13	10.0	9.95	10.0	10.0	63600.0
2021-09-14	9.95	9.95	10.0	10.0	27800.0
2021-09-15	10.0	10.0	10.0	10.0	68000.0
2021-09-16	10.0	10.0	10.0	10.0	7000.0
2021-09-17	10.0	10.0	10.0	10.0	74000.0
2021-09-20	10.0	10.0	10.0	10.0	35200.0
2021-09-21	10.0	10.0	10.0	10.0	177000.0
2021-09-22	10.0	10.0	10.0	10.0	108100.0
2021-09-23	10.0	10.0	10.0	10.0	19400.0
2021-09-27	9.95	9.95	10.0	10.0	216700.0
2021-09-28	9.95	9.95	10.0	9.95	258700.0
2021-09-29	9.95	9.95	10.0	10.0	246100.0
2021-09-30	10.0	10.0	10.0	10.0	3300.0
2021-10-01	9.95	9.95	10.0	10.0	6500.0
2021-10-04	10.0	10.0	10.0	10.0	102000.0
2021-10-05	10.0	10.0	10.0	10.0	11100.0
2021-10-06	10.0	10.0	10.0	10.0	5000.0
2021-10-07	10.0	9.95	10.0	10.0	2100.0
2021-10-08	10.0	9.95	10.0	10.0	248400.0
2021-10-11	10.0	9.95	10.0	10.0	43200.0
2021-10-12	10.0	9.95	10.0	10.0	95900.0
2021-10-14	10.0	9.95	10.0	10.0	74400.0
2021-10-15	9.95	9.95	10.0	10.0	70800.0
2021-10-18	10.0	10.0	10.0	10.0	7400.0
2021-10-19	10.0	10.0	10.0	10.0	21500.0
2021-10-20	10.0	10.0	10.0	10.0	53000.0
2021-10-21	10.0	10.0	10.0	10.0	37200.0
2021-10-25	9.95	9.95	10.0	10.0	500.0
2021-10-26	10.0	9.95	10.0	10.0	62900.0
2021-10-27	10.0	10.0	10.1	10.0	385000.0
2021-10-28	10.0	10.0	10.1	10.1	78100.0
2021-10-29	10.0	10.0	10.0	10.0	427600.0
2021-11-01	10.0	10.0	10.0	10.0	20400.0
2021-11-02	10.0	9.95	10.0	10.0	230200.0
2021-11-03	10.0	9.95	10.0	9.95	104800.0
2021-11-04	9.95	9.95	10.0	10.0	26000.0
2021-11-05	9.95	9.95	10.0	10.0	1200.0
2021-11-08	10.0	10.0	10.0	10.0	116500.0
2021-11-09	10.0	10.0	10.0	10.0	10100.0
2021-11-10	10.0	10.0	10.0	10.0	40200.0
2021-11-11	10.0	10.0	10.0	10.0	47100.0
2021-11-12	10.0	10.0	10.0	10.0	100.0
2021-11-15	10.0	10.0	10.1	10.0	72800.0
2021-11-16	10.0	10.0	10.1	10.1	14000.0
2021-11-17	10.0	10.0	10.1	10.0	261300.0
2021-11-18	10.0	10.0	10.0	10.0	120100.0
2021-11-19	10.1	10.0	10.1	10.1	13000.0
2021-11-22	10.0	9.95	10.0	10.0	75800.0
2021-11-24	10.0	10.0	10.0	10.0	42000.0
2021-11-25	10.0	10.0	10.1	10.0	95300.0
2021-11-26	10.0	10.0	10.1	10.0	35100.0
2021-11-29	10.0	10.0	10.0	10.0	31400.0
2021-11-30	10.0	9.95	10.0	9.95	42800.0
2021-12-01	9.95	9.95	9.95	9.95	291200.0
2021-12-02	10.0	9.95	10.0	9.95	98800.0
2021-12-03	9.95	9.95	9.95	9.95	12000.0
2021-12-08	10.0	9.95	10.0	9.95	132000.0
2021-12-09	9.95	9.95	10.0	10.0	200900.0
2021-12-14	10.0	10.0	10.0	10.0	10000.0
2021-12-15	10.0	10.0	10.0	10.0	5000.0
2021-12-16	9.95	9.95	10.0	10.0	8700.0
2021-12-20	9.95	9.95	10.0	10.0	49000.0
2021-12-21	9.95	9.95	10.0	10.0	5400.0
2021-12-22	10.0	10.0	10.0	10.0	10000.0
2021-12-23	9.95	9.95	9.95	9.95	3000.0
2021-12-24	9.95	9.95	9.95	9.95	404100.0
2021-12-27	10.0	10.0	10.0	10.0	10000.0
2021-12-28	10.0	10.0	10.0	10.0	2300.0
2021-12-29	9.95	9.95	10.0	10.0	20100.0
2021-12-30	10.0	9.95	10.0	10.0	133600.0
2022-01-04	10.0	10.0	10.0	10.0	2000.0
2022-01-05	10.0	9.95	10.0	10.0	125000.0
2022-01-06	10.0	10.0	10.0	10.0	5000.0
2022-01-07	9.95	9.95	10.0	10.0	175000.0
2022-01-10	10.0	9.95	10.0	9.95	692300.0
2022-01-11	9.95	9.9	10.0	9.9	475700.0
2022-01-12	9.95	9.9	9.95	9.9	320600.0
2022-01-13	9.95	9.9	9.95	9.95	237700.0
2022-01-14	9.95	9.95	9.95	9.95	120900.0
2022-01-17	9.95	9.9	9.95	9.9	142200.0
2022-01-18	9.9	9.9	9.9	9.9	500.0
2022-01-19	9.95	9.95	9.95	9.95	17400.0
2022-01-20	9.95	9.95	9.95	9.95	19100.0
2022-01-21	9.95	9.95	9.95	9.95	32000.0
2022-01-24	10.0	9.95	10.0	9.95	30000.0
2022-01-25	9.95	9.95	9.95	9.95	70700.0
2022-01-26	10.0	9.95	10.0	10.0	11600.0
2022-01-27	9.95	9.95	10.0	10.0	200.0
2022-01-31	10.0	9.95	10.0	9.95	126100.0
2022-02-01	10.0	10.0	10.0	10.0	1300.0
2022-02-02	10.0	9.95	10.0	9.95	3200.0
2022-02-04	10.0	10.0	10.0	10.0	500.0
2022-02-07	10.0	9.95	10.0	9.95	16100.0
2022-02-08	9.95	9.95	10.0	9.95	233400.0
2022-02-09	10.0	10.0	10.0	10.0	94000.0
2022-02-10	10.1	10.0	10.1	10.1	367500.0
2022-02-11	10.1	10.1	10.1	10.1	170400.0
2022-02-14	10.1	10.0	10.1	10.1	5300.0
2022-02-15	10.0	10.0	10.1	10.1	339800.0
2022-02-17	10.0	10.0	10.1	10.1	59100.0
2022-02-18	10.1	10.0	10.1	10.1	172100.0
2022-02-21	10.0	10.0	10.1	10.1	104400.0
2022-02-22	9.9	9.85	9.9	9.9	309900.0
2022-02-23	9.9	9.85	9.9	9.9	39100.0
2022-02-24	9.9	9.8	9.9	9.9	450500.0
2022-02-25	9.9	9.85	9.9	9.85	169900.0
2022-02-28	9.85	9.8	9.9	9.85	2900.0
2022-03-01	9.85	9.85	9.9	9.85	250500.0
2022-03-02	9.85	9.8	9.85	9.8	139300.0
2022-03-03	9.85	9.8	9.85	9.85	100000.0
2022-03-04	9.8	9.8	9.85	9.85	241900.0
2022-03-07	9.8	9.75	9.8	9.75	115500.0
2022-03-08	9.75	9.7	9.75	9.7	168100.0
2022-03-09	9.75	9.7	9.75	9.7	215000.0
2022-03-10	9.75	9.75	9.75	9.75	142800.0
2022-03-11	9.75	9.75	9.8	9.75	63200.0
2022-03-14	9.75	9.75	9.75	9.75	64000.0
2022-03-15	9.75	9.7	9.75	9.7	62000.0
2022-03-16	9.7	9.7	9.7	9.7	63000.0
2022-03-17	9.7	9.7	9.75	9.7	63900.0
2022-03-18	9.7	9.7	9.8	9.75	213000.0
2022-03-21	9.7	9.7	9.75	9.7	62200.0
2022-03-22	9.7	9.7	9.75	9.7	74500.0
2022-03-23	9.7	9.7	9.75	9.7	76500.0
2022-03-24	9.7	9.7	9.75	9.75	20300.0
2022-03-25	9.75	9.7	9.75	9.7	1300.0
2022-03-28	9.7	9.7	9.75	9.75	107200.0
2022-03-29	9.75	9.75	9.75	9.75	35300.0
2022-03-30	9.75	9.75	9.75	9.75	60300.0
2022-03-31	9.8	9.75	9.8	9.75	11700.0
2022-04-01	9.8	9.75	9.8	9.8	2600.0
2022-04-04	9.75	9.75	9.8	9.75	11300.0
2022-04-05	9.8	9.75	9.8	9.75	15300.0
2022-04-07	9.75	9.75	9.75	9.75	29400.0
2022-04-08	9.75	9.75	9.75	9.75	22700.0
2022-04-11	9.7	9.7	9.75	9.75	17600.0
2022-04-12	9.8	9.7	9.8	9.7	78400.0
2022-04-18	9.7	9.7	9.75	9.75	410000.0
2022-04-19	9.75	9.75	9.75	9.75	30300.0
2022-04-20	9.75	9.75	9.75	9.75	128400.0
2022-04-21	9.75	9.75	9.75	9.75	12100.0
2022-04-22	9.75	9.75	9.75	9.75	17000.0
2022-04-25	9.7	9.7	9.75	9.7	13000.0
2022-04-26	9.7	9.7	9.75	9.75	100400.0
2022-04-27	9.7	9.7	9.7	9.7	30000.0
2022-04-28	9.7	9.7	9.75	9.75	101000.0
2022-04-29	9.7	9.7	9.7	9.7	7800.0
2022-05-03	9.75	9.7	9.75	9.75	10900.0
2022-05-05	9.75	9.75	9.75	9.75	25000.0
2022-05-06	9.7	9.7	9.7	9.7	10000.0
2022-05-09	9.7	9.7	9.75	9.7	105200.0
2022-05-10	9.7	9.7	9.7	9.7	10000.0
2022-05-11	9.75	9.7	9.75	9.7	35000.0
2022-05-12	9.7	9.7	9.7	9.7	50200.0
2022-05-13	9.75	9.7	9.75	9.7	1500.0
2022-05-17	9.75	9.7	9.75	9.7	273800.0
2022-05-18	9.7	9.7	9.75	9.75	300.0
2022-05-19	9.7	9.7	9.7	9.7	16400.0
2022-05-20	9.7	9.7	9.75	9.7	11100.0
2022-05-23	9.75	9.75	9.75	9.75	11000.0
2022-05-24	9.75	9.7	9.75	9.75	11100.0
2022-05-25	9.7	9.7	9.75	9.75	20200.0
2022-05-26	9.75	9.75	9.75	9.75	6400.0
2022-05-27	9.75	9.75	9.75	9.75	80200.0
2022-05-30	9.75	9.7	9.75	9.7	26000.0
2022-05-31	9.75	9.7	9.75	9.75	10900.0
2022-06-01	9.75	9.7	9.75	9.7	18900.0
2022-06-02	9.75	9.7	9.75	9.7	28500.0
2022-06-06	9.75	9.7	9.75	9.7	40900.0
2022-06-07	9.7	9.7	9.7	9.7	7500.0
2022-06-08	9.7	9.7	9.7	9.7	86400.0
2022-06-09	9.75	9.7	9.75	9.75	8200.0
2022-06-10	9.75	9.7	9.8	9.8	216100.0
2022-06-13	9.75	9.7	9.75	9.7	20200.0
2022-06-14	9.7	9.7	9.75	9.75	26000.0
2022-06-15	9.75	9.75	9.75	9.75	1400.0
2022-06-16	9.7	9.7	9.75	9.75	20800.0
2022-06-17	9.7	9.7	9.75	9.75	25500.0
2022-06-20	9.75	9.7	9.75	9.75	37900.0
2022-06-21	9.7	9.7	9.7	9.7	100.0
2022-06-22	9.75	9.75	9.75	9.75	189300.0
2022-06-23	9.75	9.75	9.8	9.75	47400.0
2022-06-27	9.75	9.75	9.75	9.75	5000.0
2022-06-28	9.75	9.75	9.75	9.75	6300.0
2022-06-29	9.8	9.8	9.8	9.8	35000.0
2022-06-30	9.8	9.8	9.8	9.8	30500.0
2022-07-01	9.8	9.8	9.8	9.8	4000.0
2022-07-04	9.75	9.75	9.75	9.75	3300.0
2022-07-05	9.75	9.75	9.75	9.75	91000.0
2022-07-06	9.75	9.7	9.75	9.7	29300.0
2022-07-07	9.7	9.7	9.75	9.75	5400.0
2022-07-08	9.75	9.75	9.75	9.75	79400.0
2022-07-11	9.75	9.7	9.75	9.7	13200.0
2022-07-12	9.75	9.75	9.75	9.75	2400.0
2022-07-14	9.75	9.75	9.75	9.75	500.0
2022-07-15	9.75	9.7	9.75	9.7	34700.0
2022-07-18	9.7	9.7	9.7	9.7	8200.0
2022-07-19	9.7	9.7	9.7	9.7	106400.0
2022-07-20	9.7	9.7	9.75	9.7	19200.0
2022-07-21	9.7	9.7	9.7	9.7	10100.0
2022-07-22	9.7	9.7	9.7	9.7	17200.0
2022-07-25	9.7	9.7	9.75	9.75	50600.0
2022-07-26	9.75	9.7	9.75	9.7	43000.0
2022-07-27	9.7	9.7	9.7	9.7	8400.0
2022-08-01	9.7	9.7	9.75	9.7	9400.0
2022-08-02	9.75	9.7	9.75	9.7	44600.0
2022-08-03	9.7	9.7	9.7	9.7	29300.0
2022-08-04	9.75	9.75	9.75	9.75	8000.0
2022-08-05	9.75	9.75	9.75	9.75	5900.0
2022-08-08	9.75	9.75	9.75	9.75	65700.0
2022-08-09	9.75	9.75	9.75	9.75	9200.0
2022-08-10	9.75	9.75	9.75	9.75	7000.0
2022-08-11	9.75	9.75	9.75	9.75	5700.0
2022-08-15	9.75	9.75	9.75	9.75	55600.0
2022-08-16	9.75	9.75	9.8	9.75	42000.0
2022-08-17	9.8	9.75	9.8	9.75	44100.0
2022-08-18	9.75	9.75	9.8	9.75	17300.0
2022-08-19	9.75	9.75	9.75	9.75	9800.0
2022-08-22	9.8	9.8	9.8	9.8	38600.0
2022-08-23	9.8	9.8	9.85	9.85	145400.0
2022-08-24	9.85	9.85	9.85	9.85	45000.0
2022-08-25	9.85	9.8	9.85	9.8	25800.0
2022-08-26	9.85	9.8	9.85	9.8	45800.0
2022-08-29	9.85	9.8	9.85	9.85	69000.0
2022-08-30	9.8	9.8	9.85	9.85	168700.0
2022-08-31	9.85	9.85	9.9	9.9	60300.0
2022-09-01	9.85	9.85	9.9	9.85	98900.0
2022-09-02	9.6	9.6	9.65	9.6	100300.0
2022-09-05	9.65	9.55	9.65	9.55	137700.0
2022-09-06	9.55	9.55	9.6	9.55	66900.0
2022-09-07	9.55	9.55	9.6	9.55	49600.0
2022-09-08	9.6	9.55	9.6	9.55	15400.0
2022-09-09	9.6	9.6	9.6	9.6	20500.0
2022-09-12	9.6	9.6	9.6	9.6	25300.0
2022-09-13	9.55	9.55	9.6	9.6	49900.0
2022-09-14	9.6	9.55	9.6	9.55	2000.0
2022-09-15	9.6	9.6	9.6	9.6	13700.0
2022-09-16	9.65	9.6	9.65	9.65	52000.0
2022-09-19	9.65	9.65	9.75	9.7	23100.0
2022-09-20	9.75	9.65	9.75	9.65	8100.0
2022-09-21	9.6	9.6	9.75	9.75	7500.0
2022-09-22	9.65	9.6	9.75	9.7	8600.0
2022-09-23	9.65	9.6	9.75	9.7	16100.0
2022-09-26	9.7	9.65	9.7	9.65	11100.0
2022-09-27	9.7	9.6	9.7	9.6	8600.0
2022-09-28	9.7	9.7	9.7	9.7	100.0
2022-09-29	9.65	9.6	9.65	9.65	2700.0
2022-10-03	9.6	9.6	9.7	9.7	55000.0
2022-10-04	9.7	9.7	9.7	9.7	4700.0
2022-10-05	9.7	9.7	9.7	9.7	24200.0
2022-10-06	9.7	9.6	9.7	9.6	6900.0
2022-10-07	9.6	9.6	9.8	9.8	16400.0
2022-10-10	9.65	9.6	9.8	9.8	13700.0
2022-10-11	9.8	9.6	9.8	9.75	8000.0
2022-10-12	9.65	9.65	9.65	9.65	4200.0
2022-10-17	9.65	9.6	9.65	9.6	21000.0
2022-10-18	9.6	9.6	9.65	9.65	43100.0
2022-10-19	9.6	9.6	9.7	9.7	6000.0
2022-10-20	9.65	9.6	9.65	9.6	5400.0
2022-10-21	9.6	9.6	9.65	9.6	37000.0
2022-10-25	9.6	9.6	9.65	9.6	96700.0
2022-10-26	9.65	9.6	9.65	9.6	33400.0
2022-10-27	9.65	9.6	9.65	9.6	200.0
2022-10-28	9.6	9.6	9.7	9.6	1900.0
2022-11-01	9.65	9.6	9.7	9.6	8000.0
2022-11-02	9.6	9.6	9.65	9.65	17400.0
2022-11-03	9.75	9.75	9.75	9.75	3000.0
2022-11-04	9.65	9.6	9.65	9.6	11800.0
2022-11-07	9.65	9.65	9.7	9.7	4900.0
2022-11-08	9.65	9.65	9.65	9.65	2700.0
2022-11-09	9.65	9.65	9.7	9.65	109600.0
2022-11-10	9.7	9.6	9.7	9.6	28900.0
2022-11-11	9.65	9.65	9.65	9.65	9400.0
2022-11-14	9.6	9.6	9.65	9.6	59300.0
2022-11-15	9.65	9.6	9.65	9.6	16000.0
2022-11-16	9.65	9.65	9.7	9.65	19400.0
2022-11-17	9.65	9.65	9.8	9.75	126500.0
2022-11-18	9.7	9.7	9.7	9.7	25700.0
2022-11-21	9.7	9.7	9.7	9.7	11100.0
2022-11-22	9.7	9.65	9.7	9.65	12200.0
2022-11-23	9.6	9.6	9.65	9.65	21600.0
2022-11-24	9.65	9.6	9.65	9.6	13700.0
2022-11-25	9.65	9.65	9.65	9.65	17000.0
2022-11-28	9.65	9.6	9.65	9.65	52700.0
2022-11-29	9.65	9.65	9.7	9.65	19300.0
2022-11-30	9.7	9.65	9.7	9.65	5600.0
2022-12-01	9.7	9.7	9.7	9.7	5500.0
2022-12-02	9.7	9.65	9.7	9.65	38000.0
2022-12-06	9.65	9.65	9.65	9.65	24200.0
2022-12-07	9.65	9.65	9.7	9.65	18700.0
2022-12-08	9.65	9.65	9.65	9.65	5600.0
2022-12-09	9.65	9.65	9.7	9.7	80100.0
2022-12-13	9.75	9.7	9.75	9.7	2300.0
2022-12-14	9.7	9.7	9.75	9.75	9200.0
2022-12-15	9.7	9.7	9.7	9.7	21000.0
2022-12-16	9.75	9.7	9.75	9.7	12900.0
2022-12-19	9.75	9.75	9.75	9.75	200.0
2022-12-20	9.7	9.65	9.75	9.75	10500.0
2022-12-22	9.7	9.7	9.75	9.75	2400.0
2022-12-23	9.7	9.7	9.75	9.75	45500.0
2022-12-26	9.65	9.65	9.75	9.7	44200.0
2022-12-27	9.75	9.75	9.75	9.75	36600.0
2022-12-28	9.75	9.75	9.75	9.75	8400.0
2022-12-29	9.75	9.75	9.75	9.75	8200.0
2022-12-30	9.75	9.75	9.8	9.8	40000.0
