Date	Price Open	Price Low	Price High	Price Close	Volume
2017-12-06	11.278077	10.3877025	11.32754225	10.882355	578689.0
2017-12-08	10.3877025	10.3877025	10.3877025	10.3877025	7581.0
2017-12-14	10.3877025	10.3877025	10.3877025	10.3877025	12635.0
2017-12-18	10.882355	10.882355	10.882355	10.882355	4043.0
2017-12-25	11.278077	11.278077	11.278077	11.278077	5054.0
2018-05-11	14.09759625	14.09759625	14.09759625	14.09759625	10108.0
2018-09-17	14.048131	14.048131	14.048131	14.048131	3032.0
2019-01-24	16.818185	16.818185	16.818185	16.818185	7581.0
2020-04-17	33.63637	33.38904375	33.88369625	33.88369625	201454.0
2020-05-05	38.33556875	38.33556875	38.33556875	38.33556875	46396.0
2020-05-13	38.83022125	38.83022125	38.83022125	38.83022125	1516.0
2020-05-28	37.0989375	37.0989375	37.0989375	37.0989375	5256.0
2020-05-29	36.85161125	36.604285	36.85161125	36.604285	69948.0
2020-06-04	37.59359	37.34626375	37.59359	37.59359	33862.0
2020-06-05	37.59359	37.59359	37.84091625	37.84091625	5963.0
2020-06-08	37.59359	37.59359	37.59359	37.59359	3436.0
2020-06-09	36.85161125	36.85161125	36.85161125	36.85161125	2021.0
2020-06-10	36.85161125	36.85161125	37.0989375	37.0989375	6064.0
2020-07-03	37.59359	37.34626375	38.33556875	38.0882425	64388.0
2020-07-08	38.0882425	38.0882425	38.0882425	38.0882425	15667.0
2020-07-09	38.0882425	38.0882425	38.33556875	38.33556875	8389.0
2020-07-22	37.34626375	37.0989375	37.34626375	37.0989375	1314.0
2020-07-23	35.36765375	35.1203275	35.36765375	35.1203275	152430.0
2020-08-03	32.89439125	32.647065	32.89439125	32.647065	2324.0
2020-08-04	33.63637	33.38904375	33.63637	33.38904375	4548.0
2020-08-05	33.63637	32.39973875	34.625675	33.63637	1559680.0
2020-08-07	33.25	33.25	33.25	33.25	700.0
2020-08-11	33.25	33.0	33.5	33.5	20200.0
2020-08-13	33.5	33.5	33.5	33.5	10000.0
2020-08-19	31.75	31.25	31.75	31.25	10600.0
2020-08-25	31.75	31.25	31.75	31.25	34900.0
2020-08-26	31.25	31.25	31.25	31.25	17900.0
2020-08-28	32.75	32.75	32.75	32.75	13900.0
2020-09-03	31.75	31.75	31.75	31.75	1800.0
2020-09-09	31.5	31.5	31.5	31.5	400.0
2020-09-11	31.25	31.25	31.25	31.25	2500.0
2020-10-29	28.5	28.5	28.5	28.5	200.0
2020-12-04	35.25	35.0	35.25	35.0	15100.0
2021-02-01	33.25	33.25	33.25	33.25	33400.0
2021-02-03	33.25	13.6	33.5	33.5	167900.0
2021-06-25	33.5	33.5	33.5	33.5	1500.0
2021-07-02	33.75	33.75	33.75	33.75	300.0
2021-11-30	39.25	39.25	39.25	39.25	46200.0
2021-12-01	39.0	39.0	39.0	39.0	33600.0
2021-12-07	40.25	40.25	40.25	40.25	10800.0
2022-01-13	48.5	48.5	48.75	48.75	2900.0
2022-01-27	48.75	48.75	48.75	48.75	600.0
2022-03-07	48.0	47.0	48.0	47.0	38400.0
2022-03-11	47.5	47.5	47.5	47.5	2000.0
2022-04-19	49.5	49.5	49.5	49.5	16300.0
2022-04-26	48.0	48.0	48.0	48.0	6200.0
2022-04-27	48.0	48.0	48.0	48.0	500.0
2022-05-30	48.0	48.0	48.5	48.25	104300.0
2022-06-30	46.25	46.25	46.25	46.25	21500.0
2022-07-01	46.5	46.5	46.5	46.5	6000.0
2022-07-11	47.5	47.5	47.5	47.5	4000.0
2022-08-24	49.25	49.0	49.25	49.25	50700.0
2022-10-12	48.25	48.25	48.25	48.25	18100.0
2022-11-16	50.0	50.0	50.0	50.0	300.0
2022-12-02	53.0	53.0	53.0	53.0	41900.0
