Date	Price Open	Price Low	Price High	Price Close	Volume
2021-12-03	15.5	12.8	16.0	13.0	159094900
2021-12-07	13.6	13.5	16.9	16.9	68332900
2021-12-08	17.6	16.0	19.4	16.8	136060200
2021-12-09	17.0	17.0	18.0	17.1	32481500
2021-12-13	16.8	16.1	17.2	16.8	5166900
2021-12-14	16.5	16.4	17.8	17.8	4432700
2021-12-15	17.9	17.5	17.9	17.5	2289400
2021-12-16	17.5	16.1	17.9	16.6	6190100
2021-12-17	16.8	16.5	17.1	16.8	1580900
2021-12-20	16.5	16.4	16.9	16.6	1262500
2021-12-21	16.8	16.3	16.8	16.4	1536900
2021-12-22	16.4	16.3	17.4	16.9	4338400
2021-12-23	17.0	16.9	17.9	17.4	4702500
2021-12-24	17.4	17.0	17.6	17.3	1716000
2021-12-27	17.2	16.9	17.4	17.1	1320700
2021-12-28	17.1	17.1	18.3	17.3	5323100
2021-12-29	17.3	17.3	18.4	18.4	6513300
2021-12-30	18.2	17.7	18.7	18.1	4444000
2022-01-04	18.1	17.7	18.3	18.0	2942200
2022-01-05	18.0	17.5	18.0	17.8	1786200
2022-01-06	17.7	17.7	18.8	18.5	6511800
2022-01-07	18.5	18.3	19.0	18.9	5703200
2022-01-10	19.2	18.9	21.0	21.0	10640300
2022-01-11	21.1	19.4	21.2	19.9	6382700
2022-01-12	20.0	19.8	20.3	20.1	1814300
2022-01-13	20.0	18.7	20.1	18.8	5974700
2022-01-14	18.8	18.8	19.2	19.0	2132600
2022-01-17	19.0	18.0	19.1	18.7	2891700
2022-01-18	18.6	18.5	19.7	19.5	5497700
2022-01-19	19.4	19.1	19.7	19.5	1565000
2022-01-20	19.6	19.2	20.3	20.1	3584100
2022-01-21	20.2	18.7	20.2	19.5	4113600
2022-01-24	19.5	18.2	19.8	18.7	4514600
2022-01-25	18.5	18.1	18.8	18.7	1703100
2022-01-26	19.9	19.0	20.9	19.3	13077800
2022-01-27	19.0	18.9	19.8	19.8	2441000
2022-01-28	20.0	20.0	21.6	20.5	18604500
2022-01-31	20.5	20.1	21.3	21.1	3283800
2022-02-01	21.3	21.0	22.2	22.2	6582500
2022-02-02	22.0	21.5	22.4	22.2	4721000
