Date	Price Open	Price Low	Price High	Price Close	Volume
2007-02-19	0.168211801	0.906284284	0.906284284	0.906284284	1986.0
2007-04-09	0.168211801	0.815655855	0.815655855	0.815655855	66204.0
2008-01-08	0.651820728	0.728048374	0.728048374	0.728048374	662043.0
2009-02-20	0.906284284	0.577000994	0.577000994	0.577000994	1324087.0
2009-03-11	0.815655855	0.453142142	0.453142142	0.453142142	2311195.0
2009-06-30	0.815655855	0.845865331	0.845865331	0.845865331	66204.0
2009-09-23	0.815655855	1.193274307	1.193274307	1.193274307	66204.0
2009-09-29	0.815655855	1.215931414	1.215931414	1.215931414	662.0
2009-10-12	0.815655855	1.348852569	1.37755156	1.37755156	139377.0
2010-03-24	0.728048374	1.72193945	1.72193945	1.72193945	69688.0
2010-04-27	0.728048374	1.635842477	1.635842477	1.635842477	696888.0
2010-04-28	0.728048374	1.578444496	1.607143487	1.607143487	2264888.0
2010-04-29	0.728048374	1.607143487	1.607143487	1.607143487	153315.0
2010-06-03	0.728048374	1.894133395	1.894133395	1.894133395	34844.0
2012-05-14	1.894133395	5.26785745	5.669643188	5.669643188	2687.0
2012-05-15	1.894133395	5.22321459	5.669643188	5.669643188	895.0
2014-05-29	5.22321459	7.541667609	7.541667609	7.541667609	1199.0
2015-08-05	10.000002917	6.25	6.25	6.25	400.0
2016-03-22	10.000002917	6.3	6.35	6.35	15000.0
2016-05-18	7.541667609	7.0	7.0	7.0	1000.0
2016-06-22	8.000001	9.55	9.65	9.6	10100.0
2016-07-04	8.000001	9.85	9.85	9.85	12000.0
2016-07-11	8.000001	9.7	9.8	9.8	61800.0
2016-07-12	8.000001	9.55	9.55	9.55	15500.0
2016-08-15	8.000001	10.0	10.0	10.0	21300.0
2016-09-12	8.000001	9.15	9.3	9.15	30100.0
2016-09-30	8.000001	10.1	10.1	10.1	7800.0
2016-10-27	8.000001	10.3	10.4	10.4	1100.0
2017-05-04	8.000001	9.7	9.85	9.85	103300.0
2017-05-12	8.000001	9.65	9.7	9.65	3100.0
2017-05-15	8.000001	9.5	9.5	9.5	900.0
2017-09-05	6.25	10.2	10.2	10.2	300.0
2017-09-29	6.25	11.6	12.0	12.0	23000.0
2018-01-09	6.25	14.1	14.1	14.1	7300.0
2018-01-24	6.25	14.9	14.9	14.9	10000.0
2018-02-16	6.3	14.5	14.5	14.5	100.0
2018-07-25	10.0	14.8	14.8	14.8	5000.0
2018-08-17	9.25	14.5	14.5	14.5	12000.0
2018-09-13	10.1	15.1	15.1	15.1	5200.0
2018-11-30	10.3	15.1	15.3	15.2	34800.0
2019-01-08	10.3	14.8	14.9	14.9	264400.0
2019-01-18	10.3	14.7	14.8	14.8	574000.0
2019-02-13	10.3	15.2	15.2	15.2	5700.0
2019-02-18	10.3	15.2	15.2	15.2	123000.0
2019-02-21	10.3	15.0	15.1	15.0	17700.0
2019-02-25	10.3	15.3	15.3	15.3	162100.0
2019-02-26	10.3	15.1	15.2	15.1	293800.0
2019-02-27	10.3	15.0	15.0	15.0	13300.0
2019-02-28	10.3	15.0	15.1	15.0	30000.0
2019-03-01	10.3	15.0	15.0	15.0	2200.0
2019-03-22	9.7	15.0	15.0	15.0	8900.0
2019-03-27	9.7	14.9	15.0	14.9	217600.0
2019-04-01	9.5	15.2	15.2	15.2	58600.0
2019-04-02	9.5	15.2	15.2	15.2	8200.0
2019-04-09	9.5	15.1	15.2	15.1	533100.0
