Date	Price Open	Price Low	Price High	Price Close	Volume
2020-08-06	19.5428574	19.5428574	19.5428574	19.5428574	6792400
2020-08-07	18.753247	16.779221	22.3064938	22.0103899	70889500
2020-08-10	22.701299	22.5038964	24.5766237	22.701299	34784500
2020-08-11	23.5896107	20.0363639	24.2805198	20.6285717	15387200
2020-08-13	20.6285717	19.3454548	21.4181821	19.6415587	13912200
2020-08-14	20.1350652	17.1740262	20.1350652	17.2727275	10466300
2020-08-17	17.0753249	14.7064937	17.1740262	14.7064937	13858900
2020-08-18	15.2000002	13.0285716	16.0883119	14.3116885	21654900
2020-08-19	14.7064937	13.0285716	14.9038963	13.1272729	9784200
2020-08-20	12.831169	12.4363638	13.818182	13.818182	14744500
2020-08-21	13.818182	12.831169	14.3116885	12.831169	13875700
2020-08-24	13.1272729	12.7324677	13.2259742	13.0285716	3529600
2020-08-25	13.3246755	13.3246755	14.7064937	14.7064937	21153100
2020-08-26	14.4103898	14.0155846	14.9038963	14.3116885	14986800
2020-08-27	14.4103898	14.2129872	15.0025976	14.9038963	8218900
2020-08-28	15.2000002	14.4103898	15.3974028	14.5090911	5887300
2020-08-31	14.7064937	13.818182	14.7064937	13.818182	4169900
2020-09-01	13.818182	13.0285716	13.9168833	13.1272729	2948600
2020-09-02	13.1272729	13.1272729	15.0025976	15.0025976	9666300
2020-09-03	15.6935067	15.3974028	17.0753249	16.3844158	11123700
2020-09-08	16.1870132	15.8909093	18.3584418	17.6675327	15476300
2020-09-09	17.4701301	17.3714288	19.1480522	17.8649353	11033700
2020-09-10	18.4571431	17.1740262	19.0493509	17.2727275	6810300
2020-09-11	17.3714288	16.3844158	18.0623379	17.0753249	5226100
2020-09-14	17.5688314	17.0753249	18.3584418	18.2597405	5317400
2020-09-15	18.3584418	18.0623379	18.8519483	18.1610392	7889900
2020-09-16	18.5558444	18.3584418	18.8519483	18.4571431	5406700
2020-09-17	18.3584418	18.1610392	19.9376626	19.8389613	16620000
2020-09-18	19.8389613	19.2467535	22.2077925	20.3324678	35646500
2020-09-21	21.0233769	20.727273	21.714286	21.0233769	10089800
2020-09-22	21.2207795	20.9246756	22.701299	22.701299	22062000
2020-09-23	23.1948055	22.8000003	23.8857146	23.1948055	23870000
2020-09-24	23.0961042	22.6025977	23.5896107	23.2935068	9925200
2020-09-25	23.688312	22.8000003	24.0831172	22.9974029	12972100
2020-09-28	23.2935068	21.9116886	23.4909094	22.2077925	5370700
2020-09-29	22.1090912	22.1090912	23.1948055	23.1948055	6439300
2020-09-30	23.1948055	22.9974029	23.5896107	22.9974029	6574400
2020-10-01	23.0961042	22.8000003	23.3922081	23.0961042	2978500
2020-10-02	23.1948055	22.9974029	23.688312	23.1948055	6334000
