Date	Price Open	Price Low	Price High	Price Close	Volume
2000-02-01	21.0	21.0	24.0	24.0	2500.0
2000-02-02	21.25	21.25	21.25	21.25	300.0
2000-02-03	21.25	21.25	21.25	21.25	4000.0
2000-02-08	21.5	21.25	21.5	21.25	43700.0
2000-02-09	21.25	21.25	21.25	21.25	52900.0
2000-02-10	21.25	21.25	21.25	21.25	200.0
2000-02-17	21.5	21.5	21.5	21.5	6100.0
2000-02-24	21.5	21.5	21.5	21.5	700.0
2000-02-25	21.5	21.5	21.5	21.5	500.0
2000-02-28	21.5	21.5	21.5	21.5	1700.0
2000-02-29	21.5	21.5	21.5	21.5	100.0
2000-03-01	21.5	21.5	21.5	21.5	100.0
2001-06-28	18.0	18.0	18.0	18.0	200.0
2003-02-11	18.2	18.2	18.2	18.2	100.0
2003-08-08	18.0	18.0	18.0	18.0	100.0
2006-12-26	15.0	15.0	15.0	15.0	32000.0
2006-12-28	15.0	15.0	15.0	15.0	1000.0
2007-01-04	15.0	15.0	16.0	15.4	192600.0
2007-01-05	15.5	15.5	17.5	17.5	4900.0
2007-01-08	19.0	19.0	19.0	19.0	3100.0
2007-01-09	19.0	19.0	19.0	19.0	1000.0
2007-01-10	18.5	18.5	18.5	18.5	1000.0
2007-03-20	18.5	18.5	18.5	18.5	5300.0
2007-03-23	18.5	18.5	18.5	18.5	2500.0
2007-03-27	20.0	18.5	20.0	18.5	4600.0
2007-03-28	18.5	18.5	21.0	21.0	1000.0
2007-05-03	20.9	20.9	24.0	24.0	1100.0
2007-05-16	24.0	24.0	24.0	24.0	3000.0
2007-05-21	24.0	24.0	24.0	24.0	4000.0
2007-06-11	23.0	23.0	23.0	23.0	1000.0
2007-06-14	24.0	24.0	24.0	24.0	2000.0
2007-06-22	25.0	25.0	25.0	25.0	2000.0
2007-06-25	23.0	23.0	23.0	23.0	1000.0
2007-07-19	25.0	25.0	25.0	25.0	2000.0
2007-07-26	25.0	25.0	25.0	25.0	7600.0
2007-08-09	29.0	29.0	29.0	29.0	4900.0
2007-08-10	29.5	29.5	29.5	29.5	6000.0
2007-08-17	30.0	30.0	30.0	30.0	5000.0
2007-08-24	31.0	31.0	31.0	31.0	2000.0
2007-09-10	28.0	28.0	28.0	28.0	2000.0
2007-09-25	36.25	36.25	36.25	36.25	1000.0
2007-10-08	45.0	45.0	45.0	45.0	500.0
2007-10-11	45.0	45.0	45.0	45.0	100.0
2007-10-15	32.0	32.0	33.0	33.0	6100.0
2007-10-16	34.0	34.0	35.0	35.0	37000.0
2007-10-18	35.0	35.0	35.0	35.0	10000.0
2007-10-22	35.0	35.0	35.0	35.0	1000.0
2007-10-29	35.0	35.0	35.0	35.0	7000.0
