Date	Price Open	Price Low	Price High	Price Close	Volume
2012-08-01	29.75	29.25	29.75	29.5	6642400.0
2012-08-03	29.25	28.75	29.25	29.0	9904700.0
2012-08-06	29.5	29.25	30.25	30.25	25455200.0
2012-08-07	30.5	30.0	30.75	30.5	28848000.0
2012-08-08	31.0	30.5	31.5	31.0	31183600.0
2012-08-09	31.25	31.0	32.5	31.5	48839000.0
2012-08-10	31.75	31.0	32.0	32.0	13697400.0
2012-08-14	32.0	31.75	32.75	32.5	17699300.0
2012-08-15	32.0	31.25	32.25	31.5	20722700.0
2012-08-16	31.75	31.0	32.0	31.0	12807600.0
2012-08-17	31.5	31.0	31.75	31.25	12720000.0
2012-08-20	31.25	30.75	31.5	31.0	6841400.0
2012-08-21	31.25	31.0	31.5	31.5	15601100.0
2012-08-22	31.5	30.75	31.5	31.25	11847700.0
2012-08-23	31.25	31.0	32.0	31.25	23718600.0
2012-08-24	30.75	30.25	31.0	30.25	20651400.0
2012-08-27	30.5	29.75	30.5	29.75	13690200.0
2012-08-28	29.75	29.25	30.0	29.5	11793000.0
2012-08-29	29.25	28.25	29.5	28.25	24630900.0
2012-08-30	28.0	27.75	28.25	28.0	15445000.0
2012-08-31	28.0	28.0	28.75	28.75	12542200.0
2012-09-03	29.0	28.25	29.0	28.25	11743800.0
2012-09-04	28.5	28.0	28.75	28.0	10777000.0
2012-09-05	28.0	27.75	29.0	28.25	27305600.0
2012-09-06	28.5	28.25	28.75	28.25	13528900.0
2012-09-07	28.75	28.5	29.0	28.5	19588200.0
2012-09-10	28.75	28.0	28.75	28.25	18365100.0
2012-09-11	28.0	28.0	28.75	28.5	14706600.0
2012-09-12	28.75	28.5	29.75	29.75	52089500.0
2012-09-13	30.0	29.0	30.0	29.25	21538500.0
2012-09-14	30.25	29.75	30.5	30.25	49028700.0
2012-09-17	30.5	30.25	31.5	31.25	38029600.0
2012-09-18	31.0	30.25	31.25	30.5	21294700.0
2012-09-19	30.5	30.25	31.0	30.5	15742600.0
2012-09-20	30.25	29.5	30.25	30.0	18464600.0
2012-09-21	30.0	29.5	30.25	29.5	15070500.0
2012-09-24	29.5	29.0	29.75	29.25	9994700.0
2012-09-25	29.25	28.75	29.5	29.0	11119600.0
2012-09-26	28.75	28.25	29.0	28.5	19637400.0
2012-09-27	28.5	28.5	29.0	28.75	13696300.0
2012-09-28	29.25	28.5	29.25	28.75	10922000.0
2012-10-01	28.75	28.5	29.0	29.0	5147100.0
2012-10-02	29.0	28.5	29.25	28.75	11443600.0
2012-10-03	28.75	28.5	29.0	28.5	8174000.0
2012-10-04	28.75	28.25	28.75	28.5	9272400.0
2012-10-05	28.75	28.25	29.25	28.5	14732300.0
2012-10-08	28.5	28.0	28.5	28.25	18690100.0
2012-10-09	28.5	27.75	28.75	27.75	19327100.0
2012-10-10	28.0	27.5	28.25	27.75	12311000.0
2012-10-11	27.5	27.25	28.0	27.75	16457000.0
2012-10-12	28.0	27.5	28.0	27.5	10663500.0
2012-10-15	27.5	27.0	27.75	27.0	9929300.0
2012-10-16	27.5	26.75	27.5	26.75	14535800.0
2012-10-17	27.0	27.0	27.5	27.25	12280500.0
2012-10-18	27.75	27.5	28.5	28.5	27952700.0
2012-10-19	28.25	27.5	28.5	27.75	15723000.0
2012-10-22	27.5	27.0	27.75	27.25	17966500.0
2012-10-24	27.25	26.75	27.5	27.0	12012000.0
2012-10-25	27.0	26.75	27.25	27.0	9567900.0
2012-10-26	27.0	26.25	27.0	26.5	15394600.0
2012-10-29	26.75	26.5	27.0	26.5	9084100.0
2012-10-30	26.75	26.25	26.75	26.75	5273900.0
2012-10-31	26.75	26.5	27.0	26.75	7350300.0
2012-11-01	26.75	26.5	27.0	26.5	4380000.0
