Date	Price Open	Price Low	Price High	Price Close	Volume
2021-01-18	2.26	1.99	2.36	2.02	204387600
2021-01-19	2.02	1.84	2.1	1.84	31425600
2021-01-20	1.84	1.82	1.89	1.84	10842400
2021-01-21	1.85	1.74	1.85	1.74	7172000
2021-01-22	1.73	1.67	1.76	1.68	5111300
2021-01-25	1.69	1.66	1.73	1.7	5422000
2021-01-26	1.71	1.68	1.72	1.68	1599100
2021-01-27	1.71	1.68	1.71	1.68	1638400
2021-01-28	1.68	1.63	1.69	1.63	1700100
2021-01-29	1.63	1.58	1.65	1.58	2012700
2021-02-01	1.56	1.5	1.57	1.52	3823200
2021-02-02	1.52	1.52	1.69	1.65	6781700
2021-02-03	1.66	1.61	1.69	1.61	2682000
2021-02-04	1.61	1.55	1.64	1.62	1011500
2021-02-05	1.64	1.6	1.67	1.6	1524300
2021-02-08	1.6	1.6	1.67	1.64	1385200
2021-02-09	1.7	1.65	1.7	1.65	1388200
2021-02-10	1.66	1.62	1.68	1.64	853300
2021-02-11	1.63	1.58	1.63	1.61	1371700
2021-02-15	1.61	1.58	1.62	1.59	1041500
2021-02-16	1.6	1.59	1.68	1.61	6367400
2021-02-17	1.61	1.58	1.61	1.59	1905700
2021-02-18	1.6	1.58	1.6	1.59	322600
2021-02-19	1.58	1.56	1.6	1.56	870600
2021-02-22	1.55	1.54	1.62	1.56	2140900
2021-02-23	1.57	1.55	1.58	1.58	886200
2021-02-24	1.57	1.57	1.61	1.59	1214200
2021-02-25	1.61	1.58	1.61	1.58	463100
2021-03-01	1.58	1.56	1.58	1.56	446300
2021-03-02	1.57	1.5	1.57	1.53	2097500
2021-03-03	1.54	1.54	1.56	1.54	1520000
2021-03-04	1.55	1.53	1.57	1.55	663600
2021-03-05	1.55	1.55	1.58	1.57	737400
2021-03-08	1.58	1.56	1.58	1.58	2702600
2021-03-09	1.59	1.58	1.74	1.69	13103200
2021-03-10	1.73	1.68	1.77	1.68	9428300
2021-03-11	1.71	1.68	1.71	1.68	2098500
2021-03-12	1.69	1.66	1.7	1.67	1276900
2021-03-15	1.68	1.63	1.69	1.66	1466700
2021-03-16	1.67	1.65	1.69	1.65	1604500
2021-03-17	1.62	1.61	1.65	1.65	1445700
2021-03-18	1.65	1.64	1.88	1.88	24428300
2021-03-19	1.84	1.78	1.98	1.78	32795200
2021-03-22	1.79	1.71	1.8	1.77	3561500
2021-03-23	1.79	1.73	1.79	1.74	3809900
2021-03-24	1.73	1.73	1.79	1.77	5807000
2021-03-25	1.79	1.78	1.94	1.8	33562300
2021-03-26	1.82	1.76	1.83	1.81	3713700
2021-03-29	1.83	1.75	1.85	1.78	9426500
2021-03-30	1.78	1.78	1.82	1.8	3388600
2021-03-31	1.8	1.79	1.88	1.82	6816500
2021-04-01	1.83	1.81	1.98	1.96	48913900
2021-04-02	2.0	1.89	2.0	1.92	22603800
2021-04-05	1.94	1.84	1.94	1.85	4972100
2021-04-07	1.85	1.79	1.85	1.82	3695200
2021-04-08	1.81	1.81	1.88	1.82	10334700
2021-04-09	1.86	1.77	1.86	1.77	6771100
2021-04-12	1.78	1.69	1.79	1.69	4004400
2021-04-16	1.69	1.62	1.71	1.67	1613000
2021-04-19	1.67	1.67	1.73	1.72	2244600
2021-04-20	1.73	1.73	1.78	1.73	3255400
2021-04-21	1.75	1.74	1.87	1.8	15696300
2021-04-22	1.81	1.77	1.83	1.77	2347900
2021-04-23	1.8	1.76	1.84	1.76	5881800
2021-04-26	1.76	1.7	1.78	1.74	1534400
2021-04-27	1.74	1.74	1.79	1.75	1991600
2021-04-28	1.78	1.76	1.79	1.77	1377200
2021-04-29	1.79	1.77	1.85	1.82	4944700
2021-04-30	1.84	1.8	1.87	1.8	4800100
2021-05-05	1.81	1.76	1.81	1.77	2332000
2021-05-06	1.78	1.77	1.79	1.78	1659600
2021-05-07	1.77	1.77	1.79	1.77	985900
2021-05-10	1.78	1.74	1.79	1.75	1386800
2021-05-11	1.75	1.68	1.77	1.69	2715900
2021-05-12	1.7	1.66	1.7	1.66	1790700
2021-05-13	1.66	1.56	1.66	1.58	2968400
2021-05-14	1.59	1.58	1.65	1.59	1086500
2021-05-17	1.61	1.59	1.61	1.6	309600
2021-05-18	1.6	1.58	1.62	1.6	1667300
2021-05-19	1.6	1.6	1.63	1.6	1402600
2021-05-20	1.61	1.61	1.66	1.62	1842300
2021-05-21	1.63	1.61	1.63	1.62	435100
2021-05-24	1.62	1.62	1.65	1.63	661700
2021-05-25	1.64	1.64	1.69	1.67	1492600
2021-05-27	1.67	1.65	1.68	1.67	682800
2021-05-28	1.67	1.66	1.7	1.67	531700
2021-05-31	1.67	1.66	1.81	1.81	6568100
2021-06-01	1.82	1.77	1.86	1.77	25447300
2021-06-02	1.79	1.76	1.8	1.76	3528600
2021-06-04	1.78	1.75	1.78	1.75	682300
2021-06-07	1.74	1.74	1.77	1.77	850100
2021-06-08	1.78	1.75	1.78	1.76	875800
2021-06-09	1.77	1.77	1.83	1.79	5899600
2021-06-10	1.8	1.78	1.8	1.78	1678100
2021-06-11	1.79	1.78	1.81	1.78	1725300
2021-06-14	1.79	1.79	1.85	1.85	5208300
2021-06-15	1.86	1.8	1.9	1.8	25703300
2021-06-16	1.79	1.79	1.84	1.81	3585800
2021-06-17	1.82	1.8	1.86	1.83	3925400
2021-06-18	1.84	1.81	1.84	1.81	2162500
2021-06-21	1.8	1.77	1.8	1.79	1708600
2021-06-22	1.8	1.76	1.81	1.77	2135600
2021-06-23	1.77	1.7	1.78	1.7	3368900
2021-06-24	1.71	1.7	1.74	1.73	1290800
2021-06-25	1.74	1.72	1.74	1.72	1141600
2021-06-28	1.71	1.66	1.71	1.67	1728900
2021-06-29	1.67	1.66	1.69	1.68	489500
2021-06-30	1.7	1.69	1.8	1.8	5823300
2021-07-01	1.81	1.73	1.85	1.73	14982700
2021-07-02	1.73	1.69	1.75	1.7	1015300
2021-07-05	1.7	1.66	1.72	1.69	1149800
2021-07-06	1.67	1.67	1.71	1.69	883500
2021-07-07	1.69	1.69	1.72	1.7	867900
2021-07-08	1.69	1.61	1.7	1.62	2546100
2021-07-09	1.62	1.62	1.66	1.64	1036500
2021-07-12	1.64	1.63	1.68	1.63	403800
2021-07-13	1.64	1.64	1.69	1.66	1168800
2021-07-14	1.67	1.66	1.68	1.67	355000
