Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	9.0	9.0	9.0	9.0	10000.0
2000-01-19	9.0	9.0	9.0	9.0	2000.0
2000-02-09	9.0	9.0	9.0	9.0	1100.0
2000-02-18	9.8	9.8	9.8	9.8	200.0
2000-03-09	7.2	7.2	7.2	7.2	300.0
2000-03-16	7.5	7.5	7.7	7.5	12100.0
2000-03-28	7.0	7.0	7.0	7.0	300.0
2000-04-12	7.0	7.0	7.0	7.0	200.0
2000-05-03	6.0	6.0	8.9	8.9	5000.0
2000-05-10	6.5	6.5	7.0	7.0	2000.0
2000-05-12	6.1	6.1	6.1	6.1	200.0
2000-05-18	6.2	6.2	6.2	6.2	1200.0
2000-07-27	6.0	6.0	6.0	6.0	1500.0
2000-07-28	5.5	5.5	5.6	5.6	10200.0
2000-08-03	7.2	7.2	7.2	7.2	200.0
2000-08-04	6.0	5.8	6.0	5.8	9900.0
2000-09-14	5.5	5.5	5.5	5.5	100.0
2000-11-06	5.3	5.3	5.3	5.3	100.0
2000-12-08	6.0	6.0	6.8	6.8	1600.0
2000-12-28	6.0	6.0	6.0	6.0	2000.0
2001-01-10	5.5	5.5	5.5	5.5	1200.0
2001-01-15	4.1	4.1	5.5	5.5	800.0
2001-02-07	5.6	5.5	6.1	5.6	19300.0
2001-02-16	5.7	5.7	5.7	5.7	200.0
2001-02-22	5.4	5.0	5.4	5.0	6500.0
2001-03-01	5.0	5.0	5.3	5.3	10000.0
2001-04-18	5.0	5.0	5.0	5.0	400.0
2001-04-20	6.5	5.0	6.5	5.0	1000.0
2001-05-10	5.0	5.0	5.0	5.0	100.0
2001-05-23	6.4	6.4	6.4	6.4	200.0
2001-06-13	6.7	6.7	6.7	6.7	1000.0
2001-06-18	6.7	6.7	6.7	6.7	3000.0
2001-06-21	6.0	6.0	7.8	7.8	12500.0
2001-06-26	6.5	6.5	7.1	7.0	3400.0
2001-06-27	7.2	7.0	7.2	7.0	6700.0
2001-06-28	6.9	6.9	6.9	6.9	100.0
2001-07-04	7.8	7.8	7.8	7.8	100.0
2001-07-05	8.0	8.0	9.0	9.0	22700.0
2001-07-09	9.0	9.0	9.0	9.0	3500.0
2001-07-11	8.0	8.0	8.0	8.0	200.0
2001-07-12	8.0	8.0	8.0	8.0	3800.0
2001-07-13	8.5	8.4	8.5	8.5	4700.0
2001-07-17	8.1	8.1	8.1	8.1	1300.0
2001-07-20	8.5	8.5	8.5	8.5	2000.0
2001-07-23	8.5	8.5	8.5	8.5	3800.0
2001-07-24	7.0	7.0	7.0	7.0	200.0
2001-08-08	7.5	7.5	7.5	7.5	1000.0
2001-08-10	8.5	8.5	9.0	9.0	4500.0
2001-08-28	7.1	7.0	7.1	7.0	1600.0
2001-08-29	7.6	7.6	7.6	7.6	400.0
2001-08-30	7.8	7.8	7.8	7.8	1000.0
2001-09-03	9.0	9.0	9.0	9.0	700.0
2001-09-04	9.0	9.0	9.0	9.0	1000.0
2001-09-05	9.0	9.0	9.0	9.0	400.0
2001-10-29	6.5	6.5	6.5	6.5	400.0
2001-10-30	8.4	8.4	8.4	8.4	1500.0
2001-11-26	6.0	6.0	6.0	6.0	100.0
2001-11-27	7.8	7.8	7.8	7.8	100.0
2001-12-06	6.65	6.65	6.65	6.65	700.0
2001-12-11	6.6	6.6	6.6	6.6	400.0
2001-12-18	8.55	8.55	8.55	8.55	1200.0
2002-02-01	9.0	9.0	9.0	9.0	1000.0
2002-02-04	9.0	9.0	9.4	9.4	11000.0
2002-02-08	10.0	10.0	10.0	10.0	300.0
2002-02-11	7.6	7.6	10.0	8.05	2400.0
