Date	Price Open	Price Low	Price High	Price Close	Volume
2012-11-27	5.689829732	5.026016263	5.689829732	5.689829732	259908164
2012-11-28	5.832075476	5.263092502	6.16398221	5.357922998	215257337
2012-11-29	5.31050775	5.120846759	5.500168741	5.215677255	33043800
2012-11-30	5.31050775	5.263092502	5.452753493	5.31050775	14965649
2012-12-03	5.405338246	5.215677255	5.405338246	5.215677255	7035922
2012-12-04	5.215677255	5.168262007	5.357922998	5.168262007	14996230
2012-12-06	5.168262007	5.073431511	5.263092502	5.073431511	6237444
2012-12-07	5.026016263	4.978601016	5.120846759	4.978601016	7003865
2012-12-11	5.026016263	4.88377052	5.263092502	4.978601016	13264509
2012-12-12	5.026016263	5.026016263	5.215677255	5.073431511	8055003
2012-12-13	5.120846759	5.026016263	5.120846759	5.026016263	3206563
2012-12-14	5.026016263	5.026016263	5.120846759	5.073431511	2719800
2012-12-17	5.073431511	5.073431511	5.73724498	5.594999237	53234141
2012-12-18	5.594999237	5.357922998	5.642414484	5.452753493	14217367
2012-12-19	5.500168741	5.405338246	5.500168741	5.452753493	5273830
2012-12-20	5.452753493	5.263092502	5.452753493	5.263092502	5511729
2012-12-21	5.31050775	5.31050775	5.547583989	5.500168741	8962728
2012-12-24	5.500168741	5.31050775	5.547583989	5.31050775	4720211
2012-12-25	5.357922998	5.31050775	5.405338246	5.31050775	2444150
2012-12-26	5.357922998	5.31050775	5.405338246	5.31050775	1762302
2012-12-27	5.31050775	5.263092502	5.452753493	5.31050775	3728547
2012-12-28	5.31050775	5.263092502	5.31050775	5.31050775	1921111
2013-01-02	5.31050775	5.215677255	5.405338246	5.31050775	2406187
2013-01-03	5.357922998	5.31050775	5.452753493	5.31050775	3736772
2013-01-04	5.357922998	5.31050775	5.405338246	5.31050775	2516490
2013-01-07	5.357922998	5.31050775	5.357922998	5.31050775	1393011
2013-01-08	5.357922998	5.215677255	5.357922998	5.263092502	2913830
2013-01-09	5.31050775	5.263092502	5.594999237	5.452753493	18206590
2013-01-10	5.594999237	5.547583989	5.926905971	5.594999237	30736736
2013-01-11	5.642414484	5.452753493	5.689829732	5.500168741	8304290
2013-01-14	5.547583989	5.500168741	5.642414484	5.642414484	3183785
2013-01-15	5.689829732	5.689829732	6.021736467	5.832075476	22656003
2013-01-16	5.926905971	5.689829732	5.926905971	5.689829732	8220351
2013-01-17	5.73724498	5.73724498	5.879490723	5.784660228	3206141
2013-01-18	5.832075476	5.73724498	5.926905971	5.73724498	4341008
2013-01-21	5.784660228	5.784660228	6.685549935	6.495888944	30607664
2013-01-22	6.59071944	6.495888944	7.064871917	6.638134688	20204681
2013-01-23	6.780380431	6.16398221	6.780380431	6.543304192	15310264
2013-01-24	6.638134688	6.638134688	6.970041422	6.780380431	8823532
2013-01-25	6.732965183	6.685549935	6.827795679	6.685549935	4581859
2013-01-28	6.495888944	6.448473697	6.543304192	6.448473697	1964136
2013-01-29	6.495888944	6.258812705	6.495888944	6.258812705	1742477
2013-01-30	6.258812705	6.258812705	6.543304192	6.448473697	1436668
2013-01-31	6.448473697	6.353643201	6.638134688	6.448473697	1486230
2013-02-01	6.448473697	6.448473697	6.59071944	6.59071944	1198981
2013-02-04	6.59071944	6.59071944	6.875210926	6.780380431	3559614
2013-02-05	6.685549935	6.685549935	6.922626174	6.732965183	3026663
2013-02-06	6.732965183	6.732965183	6.827795679	6.780380431	1103020
2013-02-07	6.732965183	6.59071944	6.732965183	6.732965183	1076236
2013-02-08	6.732965183	6.495888944	6.732965183	6.638134688	1809544
2013-02-11	6.638134688	6.59071944	6.780380431	6.732965183	1277015
2013-02-12	6.780380431	6.732965183	7.396778652	7.396778652	7371679
2013-02-13	7.491609147	7.4441939	7.87093113	7.87093113	4842324
2013-02-14	7.918346377	7.586439643	8.013176873	8.013176873	2576597
2013-02-15	8.060592121	7.776100634	8.534744598	8.534744598	3255703
2013-02-18	8.724405589	8.676990342	9.957202031	9.814956288	13717106
2013-02-19	10.052032527	9.625295297	10.146863022	9.720125793	4692161
2013-02-20	9.483049554	9.34080381	9.672710545	9.530464801	6221627
2013-02-21	9.483049554	8.819236085	9.483049554	9.056312324	4828193
2013-02-22	8.91406658	8.629575094	9.34080381	9.103727572	6362299
2013-02-26	9.293388563	9.103727572	9.76754104	9.577880049	4636272
2013-02-27	9.814956288	9.483049554	9.957202031	9.483049554	3391946
2013-02-28	9.625295297	9.151142819	9.625295297	9.34080381	2323303
2013-03-01	9.388219058	9.293388563	9.577880049	9.293388563	1869229
2013-03-04	9.293388563	9.151142819	9.388219058	9.198558067	1041858
2013-03-05	9.245973315	9.245973315	9.530464801	9.483049554	1221126
2013-03-06	9.625295297	9.435634306	9.672710545	9.672710545	2394588
2013-03-07	9.814956288	9.530464801	9.814956288	9.530464801	2160064
2013-03-08	9.625295297	9.483049554	9.625295297	9.530464801	1300214
2013-03-11	9.625295297	9.34080381	9.625295297	9.34080381	2027406
2013-03-12	9.388219058	9.198558067	9.483049554	9.198558067	1119682
2013-03-13	9.198558067	9.198558067	9.388219058	9.293388563	782237
2013-03-14	9.198558067	9.008897076	9.293388563	9.103727572	1339442
2013-03-15	9.245973315	9.151142819	9.293388563	9.151142819	601072
2013-03-18	9.198558067	8.961481828	9.198558067	9.056312324	1583878
2013-03-19	9.056312324	7.823515882	9.056312324	8.345083607	6706281
2013-03-20	8.108007368	7.112287165	8.108007368	7.633854891	8921602
2013-03-21	7.633854891	7.633854891	8.060592121	7.728685386	2089201
2013-03-22	7.586439643	7.159702413	7.823515882	7.823515882	5688043
2013-03-25	7.823515882	7.586439643	7.965761625	7.918346377	2482112
2013-03-26	8.013176873	7.776100634	8.013176873	7.823515882	1101122
2013-03-27	8.013176873	7.87093113	8.250253112	8.108007368	1767363
2013-03-28	8.155422616	7.823515882	8.202837864	8.013176873	1049240
2013-03-29	8.297668359	8.060592121	8.345083607	8.060592121	1819878
2013-04-01	8.155422616	7.87093113	8.155422616	8.013176873	449222
2013-04-02	8.013176873	8.013176873	8.108007368	8.013176873	486130
2013-04-03	8.013176873	7.633854891	8.060592121	7.681270138	612039
2013-04-04	7.349363404	7.349363404	7.728685386	7.728685386	498573
2013-04-05	7.586439643	7.539024395	7.728685386	7.586439643	569647
2013-04-09	7.586439643	7.491609147	7.633854891	7.491609147	472000
2013-04-10	7.539024395	7.539024395	7.823515882	7.823515882	504900
2013-04-11	8.060592121	7.918346377	8.250253112	8.108007368	1345347
2013-04-12	8.202837864	8.060592121	8.250253112	8.155422616	567960
2013-04-17	8.013176873	8.013176873	8.250253112	8.155422616	990187
2013-04-18	8.250253112	8.155422616	8.439914103	8.439914103	844243
2013-04-19	8.439914103	8.345083607	8.487329351	8.345083607	790884
2013-04-22	8.345083607	8.155422616	8.345083607	8.250253112	608243
2013-04-23	8.250253112	8.155422616	8.250253112	8.202837864	165558
2013-04-24	8.250253112	8.060592121	8.250253112	8.108007368	399871
2013-04-25	8.202837864	8.108007368	8.202837864	8.155422616	293576
2013-04-26	8.202837864	8.155422616	8.345083607	8.250253112	621530
2013-04-29	8.297668359	8.250253112	8.487329351	8.297668359	569015
2013-04-30	8.345083607	8.202837864	8.392498855	8.345083607	1037640
2013-05-02	8.582159846	8.534744598	9.245973315	9.245973315	5264762
2013-05-03	9.103727572	9.056312324	11.427074712	10.19427827	27690670
2013-05-07	10.383939261	9.862371536	10.573600252	10.052032527	3726649
2013-05-08	10.004617279	9.814956288	10.099447775	10.004617279	1096060
2013-05-09	10.052032527	9.957202031	10.858091739	10.289108766	2098691
2013-05-10	10.289108766	10.052032527	10.431354509	10.099447775	495199
2013-05-13	9.577880049	8.961481828	9.577880049	8.961481828	5157834
2013-05-14	8.819236085	8.819236085	9.103727572	9.008897076	788986
2013-05-15	9.008897076	9.008897076	9.530464801	9.198558067	3038474
2013-05-16	9.34080381	9.198558067	9.388219058	9.245973315	1356314
2013-05-17	9.198558067	8.91406658	9.198558067	9.056312324	1463242
2013-05-20	9.151142819	8.961481828	9.245973315	9.008897076	2308540
2013-05-21	9.008897076	8.961481828	9.103727572	8.961481828	1557937
2013-05-22	9.103727572	8.771820837	9.103727572	8.771820837	1742266
2013-05-23	8.771820837	8.392498855	8.866651333	8.487329351	2466295
2013-05-27	8.439914103	8.439914103	8.629575094	8.439914103	878620
2013-05-28	8.534744598	8.439914103	8.724405589	8.724405589	1100700
2013-05-29	8.771820837	8.629575094	8.866651333	8.724405589	980275
2013-05-30	8.629575094	8.582159846	8.771820837	8.629575094	316986
2013-05-31	8.582159846	8.487329351	8.676990342	8.487329351	447746
2013-06-03	8.487329351	8.392498855	8.676990342	8.392498855	554884
2013-06-04	8.439914103	8.345083607	8.534744598	8.439914103	366337
2013-06-05	8.582159846	8.297668359	8.582159846	8.297668359	363807
2013-06-06	8.060592121	7.586439643	8.060592121	7.681270138	1908879
2013-06-07	7.633854891	7.586439643	7.87093113	7.823515882	1678995
2013-06-10	7.918346377	7.87093113	8.013176873	7.965761625	684589
2013-06-11	7.728685386	7.349363404	7.823515882	7.491609147	1450166
2013-06-12	7.112287165	6.922626174	7.633854891	7.4441939	2430441
2013-06-13	7.112287165	6.732965183	7.159702413	6.875210926	1519342
2013-06-14	7.349363404	7.207117661	7.491609147	7.396778652	815982
2013-06-17	7.4441939	7.254532909	7.4441939	7.301948156	771481
2013-06-18	7.349363404	6.970041422	7.491609147	6.970041422	1264150
2013-06-19	7.159702413	6.970041422	7.207117661	7.01745667	302434
