Date	Price Open	Price Low	Price High	Price Close	Volume
2020-11-30	7.6	7.25	7.85	7.3	209618700
2020-12-01	7.45	7.45	7.95	7.75	195701400
2020-12-02	7.75	7.65	8.35	8.2	160340500
2020-12-03	8.25	8.2	8.4	8.2	66946600
2020-12-04	8.25	8.15	8.55	8.35	69770300
2020-12-08	8.4	7.8	8.4	7.8	46399400
2020-12-09	8.05	7.6	8.05	7.6	23876400
2020-12-14	7.5	6.9	7.55	7.1	13423700
2020-12-15	7.0	7.0	7.35	7.3	8379600
2020-12-16	7.35	7.25	7.35	7.3	2458800
2020-12-17	7.25	7.25	7.6	7.55	5896100
2020-12-18	7.55	7.3	7.55	7.45	3019200
2020-12-21	7.0	7.0	7.3	7.15	7835100
2020-12-22	7.15	7.05	7.25	7.25	4211900
2020-12-23	7.2	7.0	7.25	7.05	5775600
2020-12-24	7.1	7.05	7.15	7.05	4083600
2020-12-25	7.1	7.05	7.3	7.2	6918700
2020-12-28	7.1	7.05	7.2	7.1	4094500
2020-12-29	7.1	7.05	7.25	7.2	3949000
2020-12-30	7.2	7.15	7.35	7.3	3031600
2021-01-04	7.2	7.2	7.45	7.4	3503600
2021-01-05	7.35	7.3	7.45	7.4	3400500
2021-01-06	7.45	7.4	7.8	7.7	14090500
2021-01-07	7.8	7.5	7.8	7.75	9616300
2021-01-08	7.75	7.65	7.85	7.7	3820300
2021-01-11	7.95	7.65	7.95	7.8	12890600
2021-01-12	7.8	7.7	7.95	7.9	5437900
2021-01-13	7.9	7.85	8.0	7.95	8535300
2021-01-14	7.95	7.75	7.95	7.85	4525900
2021-01-15	7.85	7.8	7.95	7.8	4393700
2021-01-18	7.8	7.8	8.15	8.15	11529200
2021-01-19	8.15	8.1	8.25	8.25	6144400
2021-01-20	8.25	8.15	8.3	8.25	4737300
2021-01-21	8.3	8.25	8.35	8.25	2488200
2021-01-22	8.25	8.15	8.3	8.3	3806300
2021-01-25	8.5	8.4	8.8	8.7	39959800
2021-01-26	8.8	8.5	9.15	8.6	36469400
2021-01-27	8.7	8.5	8.8	8.55	10937400
2021-01-28	8.55	8.35	8.65	8.35	7225600
2021-01-29	8.4	8.4	8.7	8.6	6221700
2021-02-01	8.75	8.55	8.8	8.6	5366800
2021-02-02	8.6	8.55	8.9	8.8	16593900
2021-02-03	8.8	8.65	8.85	8.65	4092000
2021-02-04	8.65	8.6	8.75	8.6	3355500
2021-02-05	8.7	8.65	9.0	8.85	13675500
2021-02-08	8.85	8.7	8.95	8.7	6351900
2021-02-09	8.75	8.65	8.9	8.75	6280200
2021-02-10	8.8	8.7	8.95	8.9	9455700
2021-02-11	8.9	8.75	8.95	8.9	3875100
2021-02-15	8.9	8.75	9.0	8.85	5288900
2021-02-16	8.95	8.75	9.05	8.75	11323400
2021-02-17	8.8	8.5	8.9	8.55	8862700
2021-02-18	8.6	8.4	8.7	8.45	6973100
2021-02-19	8.45	8.15	8.45	8.25	8514300
2021-02-22	8.45	8.15	8.5	8.2	7948600
2021-02-23	8.3	8.0	8.4	8.05	5759300
2021-02-24	8.05	7.9	8.2	8.0	5905200
2021-02-25	8.0	7.8	8.1	7.85	6292500
2021-03-01	7.85	7.75	7.95	7.85	2921400
2021-03-02	7.8	7.8	8.15	8.1	6163800
2021-03-03	8.15	7.9	8.2	8.0	6053800
2021-03-04	8.0	8.0	8.15	8.0	2085400
2021-03-05	8.1	8.0	8.25	8.25	5311400
2021-03-08	8.5	8.3	8.6	8.4	10407500
2021-03-09	8.4	8.35	8.5	8.45	4215200
2021-03-10	8.45	8.35	8.45	8.4	1303200
2021-03-11	8.4	8.3	8.45	8.35	1470500
2021-03-12	8.35	8.3	8.5	8.5	5135500
2021-03-15	8.6	8.5	8.65	8.6	7266500
2021-03-16	8.6	8.6	8.8	8.8	10022700
2021-03-17	8.8	8.65	8.8	8.7	4333400
2021-03-18	8.75	8.55	8.75	8.65	3020500
2021-03-19	8.55	8.45	8.6	8.6	2905000
2021-03-22	8.55	8.4	8.6	8.5	4052000
2021-03-23	8.6	8.5	8.7	8.65	3774500
2021-03-24	8.65	8.55	8.7	8.6	1574600
2021-03-25	8.6	8.4	8.65	8.4	4749900
2021-03-26	8.4	8.3	8.45	8.4	2559500
2021-03-29	8.4	8.35	8.6	8.55	5607700
2021-03-30	8.55	8.35	8.55	8.4	4581100
2021-03-31	8.4	8.3	8.45	8.3	1869700
2021-04-01	8.35	8.35	8.45	8.45	2127800
2021-04-02	8.5	8.35	8.5	8.35	1610400
2021-04-05	8.4	8.2	8.4	8.2	2504400
2021-04-07	8.15	8.0	8.4	8.2	1546000
2021-04-08	8.2	8.15	8.3	8.25	750200
2021-04-09	8.3	8.15	8.3	8.15	1089500
2021-04-12	8.15	8.05	8.3	8.05	1987500
2021-04-16	8.05	8.05	8.2	8.1	1832700
2021-04-19	8.1	8.05	8.3	8.25	1647600
2021-04-20	8.35	8.25	8.45	8.3	7866600
2021-04-21	8.25	8.25	8.4	8.35	1927500
2021-04-22	8.4	8.15	8.45	8.15	3415300
2021-04-23	8.15	8.05	8.3	8.1	2566400
2021-04-26	8.1	8.0	8.1	8.05	1427300
2021-04-27	8.1	8.05	8.2	8.15	3143600
