Date	Price Open	Price Low	Price High	Price Close	Volume
2021-11-02	7.9769998	7.34053705	10.2682657	8.7407551	668250000
2021-11-03	8.5710317	7.0435211	8.6558934	7.0435211	120411300
2021-11-04	7.1283828	6.49192005	7.25567535	6.5343509	75470900
2021-11-05	6.57678175	6.23733495	6.66164345	6.57678175	31395800
2021-11-08	6.7040743	6.5343509	6.8737977	6.7040743	18456300
2021-11-09	6.66164345	6.4494892	6.7040743	6.5343509	6266100
2021-11-10	6.5343509	6.3646275	6.57678175	6.3646275	6215700
2021-11-11	6.40705835	6.32219665	6.49192005	6.32219665	5795400
2021-11-12	6.3646275	6.15247325	6.40705835	6.15247325	4711500
2021-11-15	5.940319	5.81302645	6.06761155	5.89788815	3066100
2021-11-16	5.89788815	5.7705956	5.98274985	5.98274985	1333100
2021-11-17	5.98274985	5.98274985	6.2797658	6.23733495	3126500
2021-11-18	6.23733495	6.1100424	6.23733495	6.15247325	1158400
2021-11-19	6.1100424	5.940319	6.15247325	5.940319	2567600
2021-11-22	5.98274985	5.89788815	6.06761155	6.06761155	1312300
2021-11-23	6.1100424	6.0251807	6.1949041	6.1949041	1575600
2021-11-24	6.23733495	6.1949041	6.3646275	6.3646275	3526400
2021-11-25	6.32219665	6.1100424	6.3646275	6.1949041	2320600
2021-11-26	6.15247325	6.0251807	6.1949041	6.1100424	1684200
2021-11-29	6.06761155	5.940319	6.1100424	5.98274985	1662800
2021-11-30	6.0251807	5.940319	6.1100424	6.0251807	944600
2021-12-01	6.06761155	5.940319	6.06761155	6.0251807	633700
2021-12-02	5.940319	5.940319	6.06761155	6.0251807	840100
2021-12-03	6.06761155	5.98274985	6.1100424	5.98274985	1319900
2021-12-07	6.0251807	5.98274985	6.23733495	6.1949041	2857600
2021-12-08	6.2797658	6.1100424	6.4494892	6.4494892	4527400
2021-12-09	6.4494892	6.32219665	6.49192005	6.3646275	1840200
2021-12-13	6.40705835	6.32219665	6.57678175	6.49192005	2434600
2021-12-14	6.4494892	6.3646275	6.49192005	6.40705835	1308300
2021-12-15	6.40705835	6.15247325	6.4494892	6.15247325	2224200
2021-12-16	6.1949041	6.1949041	6.3646275	6.32219665	2299400
2021-12-17	6.2797658	6.1949041	6.32219665	6.2797658	1159500
2021-12-20	6.23733495	6.1100424	6.2797658	6.15247325	1486400
2021-12-21	6.1949041	6.1949041	6.3646275	6.32219665	1946200
2021-12-22	6.3646275	6.2797658	6.4494892	6.3646275	1950400
