Date	Price Open	Price Low	Price High	Price Close	Volume
2012-10-29	22.6	22.3	22.7	22.3	179100.0
2012-10-30	22.2	22.2	22.6	22.6	45600.0
2012-10-31	22.6	22.5	22.7	22.7	44900.0
2012-11-01	22.7	22.6	22.7	22.7	16100.0
2012-11-02	22.7	22.5	22.7	22.5	106800.0
2012-11-05	22.5	22.4	22.6	22.4	46800.0
2012-11-06	22.4	22.4	22.5	22.4	44400.0
2012-11-07	22.5	22.5	23.5	23.1	328400.0
2012-11-08	23.3	22.8	23.5	23.4	188400.0
2012-11-09	23.4	23.3	25.0	23.6	576300.0
2012-11-12	23.7	22.8	23.8	22.8	168500.0
2012-11-13	23.5	22.9	23.5	23.0	108100.0
2012-11-14	23.0	20.8	23.0	21.0	587600.0
2012-11-15	21.0	18.5	21.0	20.1	338800.0
2012-11-16	21.0	20.2	21.2	20.8	237300.0
2012-11-19	21.3	20.8	21.3	20.8	117400.0
2012-11-20	21.1	20.7	21.1	20.7	104900.0
2012-11-21	20.8	20.1	20.8	20.1	212300.0
2012-11-22	20.2	20.2	20.3	20.2	75800.0
2012-11-23	20.2	20.1	20.3	20.1	75100.0
2012-11-26	20.7	20.5	21.2	20.6	366600.0
2012-11-27	20.8	20.8	20.9	20.8	83200.0
2012-11-28	20.8	20.8	21.4	21.3	518000.0
2012-11-29	21.3	21.3	22.0	21.9	195100.0
2012-11-30	22.1	21.9	22.6	22.2	241700.0
2012-12-03	22.0	21.6	22.1	22.0	211000.0
2012-12-04	22.0	21.8	22.1	21.8	117700.0
2012-12-06	22.0	21.9	22.0	22.0	113100.0
2012-12-07	22.1	21.8	22.1	21.9	126000.0
2012-12-11	21.9	21.8	22.0	21.8	55400.0
2012-12-12	21.7	21.6	21.8	21.8	129800.0
2012-12-13	21.9	21.7	22.2	21.7	92300.0
2012-12-14	21.9	21.7	22.0	21.7	27000.0
2012-12-17	21.9	21.7	22.0	21.8	93400.0
2012-12-18	21.9	21.4	21.9	21.9	174200.0
2012-12-19	21.8	21.7	21.8	21.8	59400.0
2012-12-20	21.8	21.7	21.9	21.9	104400.0
2012-12-21	21.8	21.5	21.8	21.5	90100.0
2012-12-24	21.9	21.5	21.9	21.6	26100.0
2012-12-25	21.8	21.6	22.1	22.0	316000.0
2012-12-26	22.1	22.1	22.5	22.5	127500.0
2012-12-27	22.5	22.3	22.5	22.3	146300.0
2012-12-28	22.4	22.4	22.9	22.7	337300.0
2013-01-02	22.9	22.5	23.0	22.5	128100.0
2013-01-03	22.7	22.2	22.7	22.2	272200.0
2013-01-04	22.2	22.2	22.5	22.2	148200.0
2013-01-07	22.3	22.2	22.4	22.3	87200.0
2013-01-08	22.4	22.1	22.4	22.1	75500.0
2013-01-09	22.1	22.1	22.3	22.2	97600.0
2013-01-10	22.1	22.1	22.3	22.3	182900.0
2013-01-11	22.7	22.1	22.7	22.3	26500.0
2013-01-14	22.6	22.2	22.6	22.3	59400.0
2013-01-15	22.5	22.1	22.6	22.2	181300.0
2013-01-16	22.5	22.1	22.5	22.2	176800.0
2013-01-17	22.5	21.8	22.5	21.9	387500.0
2013-01-18	21.9	21.9	22.5	22.3	97000.0
2013-01-21	22.3	22.1	22.3	22.2	150000.0
2013-01-22	22.4	22.2	22.7	22.5	240100.0
2013-01-23	22.7	22.5	23.1	22.5	422300.0
2013-01-24	22.9	22.6	22.9	22.7	114000.0
2013-01-25	23.0	22.7	23.0	22.9	122300.0
2013-01-28	23.0	22.8	23.3	23.1	149700.0
2013-01-29	23.5	23.0	23.5	23.2	200700.0
2013-01-30	23.5	22.9	23.5	23.1	71100.0
2013-01-31	23.1	22.9	23.1	23.0	82300.0
2013-02-01	23.1	22.9	23.1	23.0	91300.0
2013-02-04	23.0	22.9	23.2	23.2	147800.0
2013-02-05	23.0	23.0	24.0	23.9	301600.0
2013-02-06	23.9	23.8	24.1	23.8	162900.0
2013-02-07	23.9	23.8	24.6	24.2	236100.0
2013-02-08	24.5	24.3	24.5	24.4	64600.0
2013-02-11	24.4	24.1	24.6	24.2	42900.0
2013-02-12	24.7	24.1	24.7	24.2	35200.0
2013-02-13	24.2	23.0	24.2	23.5	513700.0
2013-02-14	23.9	23.5	24.3	23.8	270200.0
2013-02-15	24.0	23.8	24.0	23.8	46100.0
2013-02-18	24.3	23.9	24.3	24.1	110900.0
2013-02-19	24.4	24.4	25.0	24.4	182700.0
2013-02-20	24.6	24.6	26.5	26.5	723000.0
2013-02-21	26.5	25.25	26.5	25.75	416500.0
2013-02-22	25.5	25.5	26.0	25.5	83000.0
2013-02-26	26.25	25.5	26.25	26.0	283500.0
2013-02-27	26.5	25.0	26.75	25.5	352200.0
2013-02-28	25.25	24.3	25.75	24.7	399300.0
2013-03-01	25.0	24.6	25.0	24.9	81800.0
2013-03-04	24.8	24.5	24.8	24.5	105600.0
2013-03-05	24.6	24.1	24.6	24.3	264200.0
2013-03-06	24.9	24.5	25.75	25.5	222400.0
2013-03-07	26.5	25.75	26.5	26.0	396800.0
2013-03-08	26.25	25.5	26.25	26.0	95900.0
2013-03-11	26.0	25.5	26.0	26.0	221800.0
2013-03-12	26.0	25.25	26.0	25.5	71600.0
2013-03-13	25.75	25.75	26.25	25.75	123800.0
2013-03-14	26.0	25.75	26.0	25.75	18900.0
2013-03-15	25.75	25.25	26.0	26.0	35800.0
2013-03-18	25.5	25.5	26.5	26.25	95400.0
2013-03-19	26.25	25.0	26.75	25.5	113700.0
2013-03-20	25.0	23.4	25.25	24.5	163500.0
2013-03-21	24.4	24.4	24.8	24.6	29600.0
2013-03-22	23.9	23.1	24.0	23.7	545200.0
2013-03-25	23.4	23.4	24.7	24.6	60300.0
2013-03-26	24.8	24.8	25.25	25.0	62000.0
2013-03-27	25.5	25.0	25.75	25.0	73800.0
2013-03-28	25.0	24.8	26.0	25.0	115200.0
2013-03-29	25.5	25.25	26.5	25.25	151200.0
2013-04-01	26.0	25.5	27.75	26.25	745200.0
2013-04-02	26.75	26.0	27.25	26.75	591400.0
2013-04-03	26.75	25.0	27.0	25.0	262600.0
2013-04-04	25.0	24.6	25.5	25.25	163900.0
2013-04-05	25.25	25.0	25.75	25.25	200300.0
2013-04-09	24.8	24.8	25.25	24.9	119000.0
2013-04-10	24.8	24.8	25.75	25.75	207400.0
2013-04-11	26.25	25.75	26.75	26.75	268000.0
2013-04-12	27.0	26.0	27.0	26.75	134800.0
2013-04-17	26.75	25.5	26.75	25.75	181800.0
2013-04-18	25.75	24.7	25.75	25.25	120800.0
2013-04-19	25.5	24.9	25.5	25.5	263100.0
2013-04-22	25.75	25.0	25.75	25.25	314800.0
2013-04-23	25.0	25.0	25.75	25.5	187300.0
2013-04-24	25.5	25.0	27.25	26.75	776000.0
2013-04-25	26.25	26.25	27.25	26.75	172500.0
2013-04-26	27.5	27.0	27.75	27.0	199900.0
2013-04-29	26.5	26.5	27.25	27.0	170500.0
2013-04-30	26.5	26.5	27.25	27.25	26600.0
2013-05-02	27.0	27.0	27.5	27.0	92000.0
2013-05-03	27.5	27.5	29.25	28.5	153100.0
2013-05-07	29.75	28.5	30.75	30.75	481600.0
2013-05-08	31.25	29.25	31.25	30.0	221700.0
2013-05-09	29.75	28.5	29.75	28.5	121100.0
2013-05-10	28.5	27.75	28.5	28.5	171700.0
2013-05-13	28.5	27.25	28.5	28.25	124000.0
2013-05-14	27.75	27.75	28.5	28.25	104300.0
2013-05-15	28.5	27.5	28.5	27.5	123500.0
2013-05-16	27.5	26.75	28.0	27.0	275700.0
2013-05-17	26.75	26.75	30.0	27.75	318300.0
2013-05-20	28.5	27.75	28.5	28.25	172200.0
2013-05-21	28.25	28.25	28.75	28.25	71900.0
2013-05-22	28.25	27.75	28.75	28.0	74300.0
2013-05-23	27.75	27.75	29.5	28.75	308900.0
2013-05-27	28.25	28.0	28.5	28.0	39100.0
2013-05-28	29.0	28.0	29.0	28.5	37300.0
2013-05-29	29.75	28.75	29.75	29.0	134700.0
2013-05-30	29.0	28.5	29.5	29.5	101100.0
2013-05-31	29.5	28.75	29.75	28.75	139400.0
2013-06-03	28.75	28.25	28.75	28.25	48200.0
2013-06-04	28.25	27.75	28.5	28.25	62300.0
2013-06-05	28.25	27.75	28.75	27.75	81200.0
2013-06-06	27.75	26.75	28.0	27.0	146500.0
2013-06-07	26.75	26.75	27.75	27.75	45700.0
2013-06-10	28.0	27.75	28.5	28.0	110900.0
2013-06-11	28.75	26.75	28.75	26.75	153300.0
2013-06-12	26.25	25.5	26.5	26.0	193400.0
