Date	Price Open	Price Low	Price High	Price Close	Volume
2020-12-24	65.0	46.0	73.0	51.25	464214900
2020-12-25	51.0	47.25	52.0	49.5	90586200
2020-12-28	51.25	48.75	51.5	48.75	47758700
2020-12-29	48.5	48.25	52.0	51.0	68138800
2020-12-30	51.5	49.25	52.0	49.25	27990800
2021-01-04	48.0	47.75	49.5	49.25	7639000
2021-01-05	49.25	48.0	50.5	50.5	11619200
2021-01-06	50.25	49.5	50.5	50.0	11976300
2021-01-07	50.0	49.5	51.0	50.5	13885200
2021-01-08	51.0	50.75	56.25	56.0	61080600
2021-01-11	56.0	55.0	57.75	57.75	25852100
2021-01-12	57.75	57.5	60.75	59.75	24886400
2021-01-13	59.25	58.25	62.25	60.0	26892000
2021-01-14	60.0	56.75	60.75	56.75	14750200
2021-01-15	56.25	55.25	57.25	56.5	15360900
2021-01-18	56.25	55.75	57.75	57.0	8279600
2021-01-19	57.75	56.25	57.75	57.25	6292000
2021-01-20	57.0	56.5	57.25	56.75	4900000
2021-01-21	56.75	55.5	56.75	55.5	3049300
2021-01-22	55.5	52.25	55.75	54.0	9211800
2021-01-25	53.75	52.75	54.0	53.25	5628500
2021-01-26	53.5	53.5	56.25	55.75	13484100
2021-01-27	56.0	55.5	56.5	56.0	5779100
2021-01-28	55.25	53.75	55.25	54.25	7018500
2021-01-29	54.5	52.5	54.75	54.75	5509800
2021-02-01	54.75	54.25	55.5	54.75	3158500
2021-02-02	54.5	54.5	55.5	54.75	3105600
2021-02-03	54.75	54.25	56.5	55.75	5206900
2021-02-04	56.0	55.25	56.0	55.5	1647400
2021-02-05	55.75	55.5	59.5	58.75	23132600
2021-02-08	59.5	59.0	61.25	61.0	16508000
2021-02-09	60.0	58.25	60.25	60.0	8803900
2021-02-10	60.25	59.0	60.25	59.5	4878800
2021-02-11	59.5	58.5	59.5	58.75	4134600
2021-02-15	59.5	57.25	59.5	57.25	6432900
2021-02-16	56.5	56.5	57.5	56.75	8355900
2021-02-17	56.5	56.5	58.25	57.5	11599900
2021-02-18	57.5	56.0	57.75	57.25	8691500
2021-02-19	57.25	55.25	57.5	56.75	7433600
2021-02-22	56.5	54.0	56.5	54.0	7408300
2021-02-23	54.25	54.25	55.75	55.0	3897700
2021-02-24	55.0	54.25	55.25	54.5	2714900
2021-02-25	55.0	52.75	55.25	55.0	4458500
2021-03-01	54.25	53.75	54.5	54.0	2919300
2021-03-02	54.0	53.75	54.75	54.0	3286200
2021-03-03	54.5	54.25	55.25	55.0	6374800
2021-03-04	54.5	53.0	54.75	53.75	7074800
2021-03-05	53.75	53.25	54.25	54.0	4714000
2021-03-08	54.0	52.0	54.25	52.0	5877100
2021-03-09	51.75	51.5	53.0	53.0	5015800
2021-03-10	53.0	52.75	54.0	54.0	8576800
2021-03-11	54.5	53.5	55.5	55.5	12402400
2021-03-12	56.0	54.5	56.0	54.5	3361100
2021-03-15	54.5	54.0	55.25	54.0	1062700
2021-03-16	54.5	53.25	54.5	53.5	1651300
2021-03-17	53.0	53.0	54.0	53.0	2441000
2021-03-18	53.5	53.25	54.5	53.75	4144500
2021-03-19	54.0	53.25	54.5	53.5	3270500
2021-03-22	53.25	53.0	54.0	53.25	2688300
2021-03-23	53.5	52.5	53.75	53.0	4154100
2021-03-24	53.0	52.5	53.5	52.75	4809100
2021-03-25	52.75	52.0	53.0	52.25	4293200
2021-03-26	52.5	52.0	52.75	52.5	5057700
2021-03-29	52.75	52.5	53.25	52.5	3154400
2021-03-30	52.75	51.75	53.5	52.0	6263900
2021-03-31	52.25	52.0	52.75	52.0	2877400
2021-04-01	52.25	51.75	53.0	52.25	5144400
2021-04-02	52.5	51.5	52.5	52.25	11207600
2021-04-05	52.0	51.5	52.25	51.75	3464100
2021-04-07	51.75	50.25	51.75	50.25	5835000
2021-04-08	50.5	49.75	50.75	49.75	4719400
2021-04-09	50.0	49.25	50.0	49.25	4253300
2021-04-12	49.0	48.25	49.0	48.25	3701700
2021-04-16	48.0	46.25	48.0	46.5	8977100
2021-04-19	46.75	46.75	48.0	47.75	8333600
2021-04-20	47.75	47.5	48.5	47.5	5742400
2021-04-21	47.5	46.25	47.75	46.5	19459700
2021-04-22	46.75	46.25	47.5	46.5	17065000
2021-04-23	46.5	45.25	46.75	45.25	11473800
2021-04-26	44.5	43.0	44.75	43.75	15235000
2021-04-27	43.75	43.0	44.25	43.25	6405100
2021-04-28	43.75	43.75	47.5	47.25	22291400
