Date	Price Open	Price Low	Price High	Price Close	Volume
2020-10-07	2.2857144	1.79047628	2.34285726	2.01904772	380817025
2020-10-08	1.96190486	1.41904769	1.96190486	1.41904769	89369485
2020-10-09	1.31428578	1.17142863	1.40952388	1.34285721	66388136
2020-10-12	1.34285721	1.32380959	1.39047626	1.32380959	25812043
2020-10-14	1.31428578	1.29523816	1.35238102	1.3333334	10756514
2020-10-15	1.32380959	1.25714292	1.36190483	1.25714292	14561609
2020-10-16	1.25714292	1.20952387	1.28571435	1.20952387	6057869
2020-10-19	1.18095244	1.12380958	1.20000006	1.12380958	4715129
2020-10-20	1.15238101	1.12380958	1.19047625	1.15238101	4661789
2020-10-21	1.18095244	1.13333339	1.18095244	1.13333339	2383814
2020-10-22	1.12380958	1.0476191	1.1428572	1.05714291	6133784
2020-10-26	1.05714291	1.0476191	1.10476196	1.09523815	4642784
2020-10-27	1.10476196	1.10476196	1.24761911	1.2380953	24944008
2020-10-28	1.2380953	1.20000006	1.28571435	1.25714292	18664169
2020-10-29	1.22857149	1.17142863	1.22857149	1.20952387	7451744
2020-10-30	1.21904768	1.1428572	1.24761911	1.15238101	8762984
2020-11-02	1.16190482	1.15238101	1.2380953	1.2380953	6497924
2020-11-03	1.24761911	1.22857149	1.32380959	1.28571435	13183379
2020-11-04	1.28571435	1.24761911	1.32380959	1.25714292	10655084
2020-11-05	1.27619054	1.22857149	1.28571435	1.2380953	3003524
2020-11-06	1.25714292	1.20952387	1.25714292	1.20952387	2609564
2020-11-09	1.20952387	1.15238101	1.22857149	1.17142863	4150649
2020-11-10	1.18095244	1.12380958	1.18095244	1.16190482	2989559
2020-11-11	1.17142863	1.13333339	1.19047625	1.16190482	3760154
2020-11-12	1.17142863	1.17142863	1.29523816	1.24761911	16982069
2020-11-13	1.24761911	1.22857149	1.35238102	1.34285721	16993934
2020-11-16	1.37142864	1.34285721	1.41904769	1.41904769	29205328
2020-11-17	1.43809531	1.36190483	1.48571436	1.39047626	23688103
2020-11-18	1.36190483	1.3333334	1.43809531	1.43809531	8785559
2020-11-19	1.45714293	1.44761912	1.50476198	1.45714293	15052484
2020-11-20	1.45714293	1.4285715	1.47619055	1.45714293	5314784
2020-11-23	1.45714293	1.40952388	1.45714293	1.4285715	4229504
2020-11-24	1.41904769	1.39047626	1.4285715	1.40000007	2588354
2020-11-25	1.4285715	1.39047626	1.43809531	1.40000007	3568004
2020-11-26	1.40952388	1.36190483	1.40952388	1.38095245	1211489
2020-11-27	1.40000007	1.38095245	1.40000007	1.38095245	1118459
2020-11-30	1.38095245	1.34285721	1.39047626	1.37142864	1669079
2020-12-01	1.36190483	1.36190483	1.38095245	1.38095245	1334759
2020-12-02	1.38095245	1.36190483	1.41904769	1.40000007	3626279
2020-12-03	1.41904769	1.40952388	1.56190484	1.56190484	41944452
2020-12-04	1.60952389	1.51428579	1.62857151	1.53333341	21547258
2020-12-08	1.5238096	1.44761912	1.5238096	1.51428579	6743939
2020-12-09	1.51428579	1.45714293	1.5238096	1.46666674	4585874
2020-12-14	1.46666674	1.45714293	1.50476198	1.48571436	3025049
2020-12-15	1.48571436	1.45714293	1.48571436	1.45714293	2079209
2020-12-16	1.46666674	1.43809531	1.47619055	1.44761912	3251429
2020-12-17	1.43809531	1.4285715	1.49523817	1.48571436	2234504
2020-12-18	1.48571436	1.48571436	1.56190484	1.53333341	11629904
2020-12-21	1.43809531	1.3333334	1.47619055	1.3333334	6927374
2020-12-22	1.3333334	1.31428578	1.43809531	1.41904769	6270599
2020-12-23	1.41904769	1.40952388	1.46666674	1.40952388	2871644
2020-12-24	1.40952388	1.40000007	1.46666674	1.4285715	2745329
2020-12-25	1.4285715	1.40000007	1.43809531	1.4285715	2329739
