Date	Price Open	Price Low	Price High	Price Close	Volume
2005-10-21	4.9945952	4.5486492	4.6378384	4.6378384	801666.0
2005-12-28	6.1094602	4.2810816	4.33459512	4.33459512	113690.0
2005-12-29	6.0648656	4.33459512	4.42378432	4.38810864	1036224.0
2005-12-30	6.0648656	4.31675728	4.40594648	4.40594648	529772.0
2006-01-06	6.1094602	4.682433	5.128379	4.905406	572715.0
2006-03-31	5.9310818	5.3959466	5.4405412	5.4405412	560605.0
2006-05-03	5.6189196	5.0837844	5.2175682	5.128379	112121.0
2006-05-04	5.6635142	4.905406	5.128379	4.9945952	308221.0
2006-05-10	5.7081088	4.9500006	5.1729736	5.0391898	336363.0
2006-06-09	6.1540548	4.1918924	4.2810816	4.24540592	426060.0
2006-09-11	8.7405416	3.76378424	3.8351356	3.76378424	280302.0
2006-09-12	8.8743254	3.76378424	3.85297344	3.81729776	168181.0
2006-12-19	8.7405416	2.9432436	3.7459464	3.35351392	173787.0
2006-12-26	9.7216228	3.81729776	3.87081128	3.87081128	442990.0
2006-12-27	9.810812	3.85297344	3.90648696	3.85297344	611509.0
2006-12-28	9.364866	3.85297344	3.96000048	3.85297344	2234799.0
2006-12-29	9.0081092	3.8351356	3.88864912	3.88864912	564305.0
2007-01-03	9.0972984	3.72810856	3.85297344	3.81729776	1354087.0
2007-01-04	9.5432444	3.81729776	3.87081128	3.8351356	1448381.0
2007-01-05	9.6324336	3.6567572	3.8351356	3.71027072	832499.0
2007-01-08	9.5432444	3.67459504	3.7459464	3.67459504	503648.0
2007-01-09	10.7918932	3.54973016	3.71027072	3.567568	1159557.0
2007-01-10	9.810812	3.54973016	3.58540584	3.58540584	6598220.0
2007-01-11	10.6135148	3.58540584	3.63891936	3.60324368	1170545.0
2007-01-12	10.256758	3.60324368	3.63891936	3.60324368	1158211.0
2007-01-15	10.702704	3.58540584	3.62108152	3.60324368	800208.0
2007-01-16	10.256758	3.58540584	3.6567572	3.6567572	498715.0
2007-01-17	10.0783796	3.62108152	3.69243288	3.67459504	1748305.0
2007-01-18	9.9000012	3.6567572	3.69243288	3.69243288	523605.0
2007-01-19	9.4540552	3.63891936	3.71027072	3.71027072	365290.0
2007-01-22	9.9000012	3.67459504	3.71027072	3.71027072	770160.0
2007-01-23	9.810812	3.63891936	3.71027072	3.63891936	218187.0
2007-01-24	9.810812	3.63891936	3.67459504	3.63891936	1177833.0
2007-01-25	9.2756768	3.6567572	3.69243288	3.6567572	10628865.0
2007-01-26	9.4540552	3.63891936	3.69243288	3.67459504	3546169.0
2007-01-29	9.7216228	3.69243288	3.71027072	3.71027072	1311593.0
2007-01-30	9.6324336	3.67459504	3.72810856	3.71027072	482569.0
2007-01-31	10.1675688	3.71027072	3.78162208	3.71027072	1017163.0
