Date	Price Open	Price Low	Price High	Price Close	Volume
2014-06-09	2.5	3.42	3.56	3.46	2561600.0
2014-06-10	2.24	3.48	3.54	3.5	1280800.0
2014-06-11	2.08	3.5	3.54	3.52	1617300.0
2014-06-12	2.3	3.38	3.44	3.44	948500.0
2014-06-13	2.52	3.42	3.46	3.42	308400.0
2014-06-16	2.32	3.42	3.44	3.44	333600.0
2014-06-17	2.48	3.4	3.46	3.44	325800.0
2014-06-18	2.36	3.38	3.44	3.38	701700.0
2014-06-19	2.3	3.38	3.4	3.38	307300.0
2014-06-20	2.28	3.36	3.4	3.36	528300.0
2014-06-23	2.28	3.36	3.38	3.36	314100.0
2014-06-24	2.34	3.32	3.36	3.32	635600.0
2014-06-25	2.38	3.3	3.34	3.3	703400.0
2014-06-26	2.28	3.3	3.34	3.32	315300.0
2014-06-27	2.3	3.32	3.36	3.34	44100.0
2014-06-30	2.3	3.34	3.38	3.38	126100.0
2014-07-02	2.26	3.36	3.42	3.4	77900.0
2014-07-03	2.26	3.32	3.38	3.32	332200.0
2014-07-04	2.26	3.3	3.34	3.3	1081900.0
2014-07-07	2.26	3.32	3.34	3.34	160700.0
2014-07-08	2.24	3.36	3.4	3.38	775500.0
2014-07-09	2.22	3.38	3.52	3.42	1268700.0
2014-07-10	2.14	3.4	3.44	3.44	200400.0
2014-07-14	2.14	3.4	3.44	3.4	226500.0
2014-07-15	2.14	3.42	3.44	3.42	370700.0
2014-07-16	2.1	3.4	3.42	3.4	566200.0
2014-07-17	2.08	3.4	3.52	3.42	925800.0
2014-07-18	2.02	3.42	3.46	3.44	554800.0
2014-07-21	1.96	3.44	3.5	3.44	237800.0
2014-07-22	2.16	3.4	3.48	3.4	333600.0
2014-07-23	2.24	3.4	3.48	3.44	343400.0
2014-07-24	2.12	3.42	3.44	3.44	129700.0
2014-07-25	2.1	3.4	3.44	3.44	97100.0
2014-07-28	2.14	3.4	3.42	3.42	237900.0
2014-07-29	2.14	3.38	3.42	3.42	620000.0
2014-07-30	2.1	3.32	3.38	3.36	314900.0
2014-07-31	2.02	3.34	3.38	3.36	110500.0
2014-08-01	1.93	3.3	3.34	3.32	137400.0
2014-08-04	2.0	3.32	3.38	3.36	73300.0
2014-08-05	2.0	3.34	3.38	3.38	150700.0
2014-08-06	1.97	3.34	3.38	3.38	136800.0
2014-08-07	1.98	3.36	3.42	3.36	243300.0
2014-08-08	1.98	3.3	3.36	3.3	1689400.0
