Date	Price Open	Price Low	Price High	Price Close	Volume
2005-10-14	13.6	12.6	12.8	12.7	3246000.0
2005-11-30	15.0	12.5	12.7	12.6	2010000.0
2005-12-13	15.2	12.7	12.8	12.7	1932700.0
2005-12-22	15.2	12.7	12.8	12.8	1773500.0
2005-12-26	15.6	12.6	12.7	12.7	1920700.0
2005-12-28	15.4	12.9	13.1	13.0	979100.0
2005-12-29	15.8	12.9	13.0	12.9	247800.0
2005-12-30	16.0	12.9	13.1	13.1	1326800.0
2006-02-21	14.7	15.1	15.4	15.2	1585200.0
2006-03-27	18.2	16.6	16.9	16.9	1658100.0
2006-03-30	20.2	17.1	17.4	17.3	2017300.0
2006-04-26	16.5	16.9	17.2	17.2	3965600.0
2006-05-19	16.9	17.4	17.6	17.4	1904100.0
2006-05-26	16.1	16.5	16.9	16.8	700500.0
2006-05-29	15.9	16.8	17.0	17.0	326100.0
2006-05-31	15.7	16.8	17.9	17.9	876300.0
2006-06-09	16.9	16.4	16.5	16.5	326000.0
2006-06-22	17.3	16.4	16.7	16.7	1104100.0
2006-07-06	14.8	16.3	16.7	16.7	510800.0
2006-07-10	14.0	16.5	16.7	16.6	362400.0
2006-07-12	13.5	16.5	16.6	16.6	317000.0
2006-07-17	15.5	14.9	15.7	15.2	1739600.0
2006-07-25	15.2	15.6	15.9	15.6	400700.0
2006-07-28	15.4	15.7	16.2	16.2	726200.0
2006-08-01	15.1	16.2	16.4	16.3	448400.0
2006-08-02	15.4	16.3	16.6	16.5	371600.0
2006-08-07	14.6	16.9	17.0	16.9	411800.0
2006-08-09	14.6	16.8	17.0	16.8	798100.0
2006-08-11	14.6	16.7	16.9	16.7	1268400.0
2006-08-25	14.1	15.7	15.8	15.7	590000.0
2006-09-05	14.0	15.5	15.7	15.6	826300.0
2006-09-14	13.8	14.6	15.1	14.7	350600.0
2006-10-02	13.3	14.4	14.7	14.6	467000.0
2006-10-03	13.5	14.2	14.5	14.4	184500.0
2006-10-04	13.3	14.4	14.5	14.4	1337300.0
2006-10-05	13.5	14.4	14.6	14.5	605400.0
2006-10-10	13.5	15.1	15.4	15.3	752500.0
2006-10-12	13.1	15.3	15.5	15.4	6326700.0
2006-10-17	13.3	15.3	15.6	15.3	1143500.0
2006-11-24	14.3	16.9	17.2	16.9	1893600.0
2006-12-04	14.1	16.3	16.5	16.4	1307000.0
2006-12-06	13.9	16.5	16.7	16.6	2843900.0
2006-12-07	13.8	16.6	17.1	17.1	1646000.0
2006-12-25	14.1	15.8	16.0	16.0	439800.0
2006-12-26	14.2	15.7	16.0	15.9	345500.0
2006-12-27	14.2	15.8	16.2	16.0	2055200.0
2006-12-28	14.2	15.9	16.0	16.0	1205800.0
2006-12-29	14.2	15.9	16.4	16.4	1729500.0
2007-01-03	14.2	14.9	15.5	15.1	8186200.0
2007-01-04	14.2	14.6	15.1	14.6	1358000.0
2007-01-05	14.5	12.9	14.5	13.2	9883900.0
2007-01-08	14.5	13.0	13.9	13.9	957200.0
2007-01-09	14.5	13.5	13.8	13.5	1892800.0
2007-01-10	14.3	13.4	13.6	13.6	421400.0
2007-01-11	14.4	13.5	13.8	13.7	1193200.0
2007-01-12	14.2	13.8	14.2	14.2	4280300.0
2007-01-15	14.3	14.0	14.3	14.0	475200.0
2007-01-16	14.0	13.9	14.2	14.1	1273400.0
2007-01-17	13.9	13.7	14.1	13.7	712600.0
2007-01-18	13.9	13.5	14.2	14.2	1686800.0
2007-01-19	14.3	14.2	15.1	15.0	3440300.0
2007-01-22	14.0	15.0	15.6	15.5	3645300.0
2007-01-23	14.2	15.2	15.5	15.4	3699700.0
2007-01-24	14.0	15.2	15.4	15.2	512100.0
2007-01-25	13.5	15.3	15.8	15.5	1976900.0
2007-01-26	14.0	15.3	15.4	15.4	309400.0
2007-01-29	13.5	15.3	15.4	15.3	640100.0
