Date	Price Open	Price Low	Price High	Price Close	Volume
2011-07-08	1.565408421	1.54396447	1.586852371	1.54396447	2616902.0
2011-07-11	1.554686445	1.54396447	1.565408421	1.54396447	459044.0
2011-07-12	1.54396447	1.522520519	1.565408421	1.522520519	1296438.0
2011-07-13	1.54396447	1.533242494	1.629740273	1.54396447	9316238.0
2011-07-14	1.554686445	1.554686445	1.576130396	1.554686445	1610965.0
2011-07-18	1.565408421	1.554686445	1.597574347	1.554686445	1394372.0
2011-07-19	1.565408421	1.554686445	1.576130396	1.554686445	227046.0
2011-07-20	1.565408421	1.565408421	1.586852371	1.565408421	848948.0
2011-07-21	1.586852371	1.565408421	1.586852371	1.565408421	179729.0
2011-07-22	1.576130396	1.554686445	1.586852371	1.565408421	795212.0
2011-07-25	1.565408421	1.554686445	1.576130396	1.565408421	207973.0
2011-07-26	1.565408421	1.54396447	1.576130396	1.554686445	320579.0
2011-07-27	1.554686445	1.554686445	1.586852371	1.554686445	1140550.0
2011-07-28	1.565408421	1.554686445	1.565408421	1.554686445	196602.0
2011-07-29	1.554686445	1.54396447	1.554686445	1.54396447	119208.0
2011-08-01	1.554686445	1.54396447	1.554686445	1.54396447	256940.0
2011-08-02	1.554686445	1.54396447	1.565408421	1.565408421	119575.0
2011-08-03	1.565408421	1.554686445	1.565408421	1.554686445	163223.0
2011-08-04	1.576130396	1.554686445	1.586852371	1.554686445	1253706.0
2011-08-05	1.554686445	1.511798543	1.554686445	1.511798543	836293.0
2011-08-08	1.501076568	1.501076568	1.511798543	1.501076568	216592.0
2011-08-09	1.533242494	1.44746669	1.533242494	1.44746669	938996.0
2011-08-10	1.479632617	1.436744715	1.479632617	1.436744715	119025.0
2011-08-11	1.468910641	1.404578788	1.468910641	1.458188666	66206.0
2011-08-15	1.479632617	1.44746669	1.479632617	1.44746669	68407.0
2011-08-16	1.501076568	1.44746669	1.501076568	1.44746669	116274.0
2011-08-17	1.490354592	1.44746669	1.490354592	1.44746669	28976.0
2011-08-18	1.44746669	1.44746669	1.479632617	1.468910641	194584.0
2011-08-19	1.468910641	1.436744715	1.468910641	1.44746669	44382.0
2011-08-22	1.436744715	1.426022739	1.436744715	1.426022739	67306.0
2011-08-23	1.415300764	1.404578788	1.415300764	1.415300764	37779.0
2011-08-24	1.415300764	1.415300764	1.436744715	1.415300764	207606.0
2011-08-25	1.44746669	1.243749156	1.44746669	1.393856813	672152.0
2011-08-26	1.340246935	1.340246935	1.415300764	1.415300764	20173.0
2011-08-29	1.415300764	1.393856813	1.458188666	1.393856813	621534.0
2011-08-30	1.415300764	1.404578788	1.426022739	1.415300764	155888.0
2011-08-31	1.426022739	1.415300764	1.468910641	1.415300764	435936.0
2011-09-01	1.436744715	1.426022739	1.490354592	1.44746669	797596.0
2011-09-02	1.479632617	1.436744715	1.479632617	1.436744715	92065.0
2011-09-05	1.468910641	1.426022739	1.468910641	1.436744715	14121.0
2011-09-06	1.44746669	1.436744715	1.468910641	1.436744715	404392.0
2011-09-07	1.44746669	1.44746669	1.479632617	1.479632617	226862.0
2011-09-08	1.479632617	1.458188666	1.511798543	1.501076568	883243.0
2011-09-09	1.501076568	1.436744715	1.511798543	1.436744715	268127.0
2011-09-12	1.44746669	1.426022739	1.44746669	1.44746669	217509.0
2011-09-13	1.44746669	1.404578788	1.458188666	1.436744715	82528.0
2011-09-14	1.436744715	1.436744715	1.436744715	1.436744715	4218.0
2011-09-15	1.436744715	1.436744715	1.436744715	1.436744715	19256.0
2011-09-16	1.468910641	1.404578788	1.490354592	1.404578788	1061872.0
2011-09-19	1.404578788	1.361690886	1.415300764	1.372412862	916621.0
2011-09-20	1.393856813	1.361690886	1.426022739	1.372412862	1998301.0
2011-09-21	1.383134837	1.372412862	1.415300764	1.372412862	1150453.0
2011-09-22	1.372412862	1.308081009	1.372412862	1.32952496	215492.0
2011-09-23	1.222305205	1.179417303	1.275915082	1.275915082	619150.0
2011-09-26	1.275915082	1.179417303	1.275915082	1.179417303	541756.0
2011-09-27	1.265193107	1.200861254	1.265193107	1.254471132	28610.0
2011-09-28	1.265193107	1.265193107	1.265193107	1.265193107	550.0
2011-09-30	1.190139279	1.072197548	1.190139279	1.136529401	197519.0
2011-10-03	1.136529401	1.072197548	1.286637058	1.286637058	307741.0
2011-10-04	1.286637058	1.082919524	1.286637058	1.082919524	114440.0
2011-10-05	1.265193107	1.179417303	1.265193107	1.179417303	5868.0
2011-10-06	1.233027181	1.104363475	1.233027181	1.200861254	25675.0
2011-10-07	1.200861254	1.157973352	1.200861254	1.179417303	59971.0
2011-10-10	1.179417303	1.179417303	1.179417303	1.179417303	1833.0
2011-10-11	1.125807426	1.104363475	1.157973352	1.147251377	31361.0
2011-10-12	1.147251377	1.11508545	1.157973352	1.157973352	77210.0
2011-10-13	1.157973352	1.157973352	1.168695328	1.157973352	27509.0
2011-10-14	1.179417303	1.168695328	1.21158323	1.200861254	72625.0
2011-10-17	1.200861254	1.200861254	1.200861254	1.200861254	183.0
2011-10-18	1.200861254	1.200861254	1.222305205	1.222305205	24025.0
2011-10-19	1.104363475	1.104363475	1.104363475	1.104363475	36679.0
2011-10-20	1.11508545	1.11508545	1.11508545	1.11508545	1833.0
2011-10-21	1.147251377	1.093641499	1.157973352	1.157973352	79594.0
2011-10-25	1.157973352	1.157973352	1.157973352	1.157973352	65656.0
2011-10-26	1.136529401	1.136529401	1.136529401	1.136529401	18339.0
2011-10-27	1.179417303	1.179417303	1.190139279	1.179417303	93532.0
2011-10-28	1.190139279	1.179417303	1.190139279	1.179417303	3667.0
2011-10-31	1.179417303	1.179417303	1.243749156	1.200861254	1089015.0
2011-11-01	1.200861254	1.179417303	1.200861254	1.179417303	38880.0
2011-11-02	1.200861254	1.200861254	1.21158323	1.200861254	169642.0
2011-11-03	1.179417303	1.179417303	1.222305205	1.222305205	146718.0
2011-11-04	1.21158323	1.21158323	1.21158323	1.21158323	1467.0
2011-11-07	1.21158323	1.21158323	1.254471132	1.254471132	8986.0
2011-11-08	1.243749156	1.222305205	1.254471132	1.254471132	13938.0
2011-11-09	1.233027181	1.21158323	1.243749156	1.21158323	78861.0
2011-11-10	1.233027181	1.233027181	1.233027181	1.233027181	3667.0
2011-11-11	1.233027181	1.168695328	1.233027181	1.200861254	171476.0
2011-11-14	1.254471132	1.21158323	1.286637058	1.233027181	1183282.0
2011-11-15	1.254471132	1.233027181	1.254471132	1.254471132	85279.0
2011-11-16	1.275915082	1.243749156	1.275915082	1.275915082	174594.0
2011-11-17	1.297359033	1.297359033	1.318802984	1.318802984	272345.0
2011-11-18	1.318802984	1.318802984	1.32952496	1.32952496	48417.0
2011-11-21	1.32952496	1.32952496	1.44746669	1.32952496	739826.0
2011-11-22	1.32952496	1.32952496	1.54396447	1.393856813	3364431.0
2011-11-23	1.393856813	1.393856813	1.576130396	1.522520519	12517812.0
2011-11-24	1.522520519	1.458188666	1.586852371	1.458188666	5954190.0
2011-11-25	1.501076568	1.426022739	1.501076568	1.426022739	1551544.0
2011-11-28	1.436744715	1.426022739	1.458188666	1.44746669	433185.0
2011-11-29	1.44746669	1.436744715	1.554686445	1.501076568	11082541.0
2011-11-30	1.490354592	1.458188666	1.522520519	1.468910641	1098552.0
2011-12-01	1.479632617	1.468910641	1.501076568	1.501076568	363310.0
2011-12-02	1.468910641	1.458188666	1.479632617	1.458188666	106920.0
2011-12-06	1.458188666	1.44746669	1.458188666	1.458188666	134247.0
2011-12-07	1.479632617	1.458188666	1.479632617	1.458188666	82528.0
2011-12-08	1.468910641	1.458188666	1.468910641	1.458188666	73359.0
2011-12-09	1.44746669	1.436744715	1.479632617	1.468910641	110588.0
2011-12-13	1.468910641	1.458188666	1.468910641	1.458188666	7519.0
2011-12-14	1.44746669	1.426022739	1.458188666	1.458188666	283899.0
2011-12-15	1.426022739	1.426022739	1.468910641	1.468910641	41081.0
2011-12-16	1.44746669	1.44746669	1.490354592	1.490354592	56853.0
2011-12-19	1.44746669	1.436744715	1.501076568	1.436744715	67857.0
2011-12-20	1.436744715	1.436744715	1.468910641	1.468910641	214575.0
2011-12-21	1.468910641	1.436744715	1.468910641	1.44746669	28610.0
2011-12-22	1.44746669	1.426022739	1.44746669	1.436744715	26409.0
2011-12-23	1.436744715	1.415300764	1.44746669	1.415300764	175695.0
2011-12-26	1.436744715	1.404578788	1.436744715	1.404578788	148918.0
2011-12-27	1.404578788	1.383134837	1.404578788	1.383134837	101602.0
2011-12-29	1.372412862	1.32952496	1.383134837	1.361690886	305724.0
2011-12-30	1.361690886	1.350968911	1.361690886	1.361690886	11920.0
2012-01-04	1.340246935	1.340246935	1.340246935	1.340246935	4951.0
2012-01-05	1.393856813	1.318802984	1.393856813	1.393856813	58320.0
2012-01-09	1.404578788	1.404578788	1.436744715	1.436744715	94083.0
2012-01-10	1.436744715	1.436744715	1.44746669	1.44746669	28059.0
2012-01-11	1.458188666	1.458188666	1.458188666	1.458188666	13571.0
2012-01-12	1.383134837	1.383134837	1.479632617	1.458188666	19256.0
2012-01-13	1.383134837	1.340246935	1.458188666	1.44746669	51901.0
2012-01-16	1.393856813	1.393856813	1.393856813	1.393856813	7335.0
2012-01-17	1.340246935	1.340246935	1.393856813	1.372412862	84546.0
2012-01-18	1.426022739	1.393856813	1.426022739	1.426022739	20173.0
2012-01-19	1.501076568	1.393856813	1.501076568	1.468910641	9536.0
2012-01-20	1.468910641	1.44746669	1.479632617	1.479632617	50434.0
2012-01-23	1.479632617	1.479632617	1.479632617	1.479632617	3851.0
2012-01-24	1.468910641	1.404578788	1.468910641	1.468910641	20540.0
2012-01-25	1.468910641	1.44746669	1.468910641	1.44746669	2200.0
2012-01-26	1.44746669	1.393856813	1.44746669	1.44746669	120675.0
2012-01-30	1.436744715	1.436744715	1.436744715	1.436744715	3851.0
2012-01-31	1.44746669	1.44746669	1.44746669	1.44746669	3851.0
2012-02-01	1.44746669	1.44746669	1.490354592	1.44746669	210907.0
2012-02-02	1.468910641	1.436744715	1.468910641	1.44746669	6235.0
2012-02-03	1.426022739	1.426022739	1.468910641	1.468910641	6418.0
2012-02-07	1.415300764	1.415300764	1.468910641	1.468910641	550.0
2012-02-08	1.44746669	1.44746669	1.468910641	1.44746669	29710.0
2012-02-10	1.44746669	1.404578788	1.44746669	1.415300764	49150.0
2012-02-13	1.436744715	1.383134837	1.436744715	1.404578788	127461.0
