Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	4.7	4.7	5.2	5.0	14999.0
2000-01-05	4.7	4.475	4.7	4.475	1999.0
2000-01-06	4.4	4.4	4.45	4.45	43999.0
2000-01-07	4.3	4.3	4.8	4.35	8999.0
2000-01-10	4.425	4.425	4.5	4.5	46999.0
2000-01-11	4.425	4.425	4.425	4.425	6999.0
2000-01-12	4.35	4.35	4.425	4.425	10999.0
2000-01-13	4.45	4.45	4.45	4.45	3999.0
2000-01-19	4.35	4.35	4.35	4.35	8999.0
2000-01-21	4.35	4.35	4.6	4.6	5999.0
2000-01-24	4.35	4.35	4.35	4.35	999.0
2000-01-25	4.45	4.45	4.45	4.45	11999.0
2000-01-26	4.45	4.45	4.45	4.45	76999.0
2000-01-27	4.45	4.45	4.45	4.45	142999.0
2000-01-28	4.35	4.35	4.35	4.35	19999.0
2000-01-31	4.4	4.1	4.4	4.1	95999.0
2000-02-01	4.15	4.15	4.15	4.15	2999.0
2000-02-03	4.15	4.15	4.15	4.15	2999.0
2000-02-11	4.0	4.0	4.0	4.0	21999.0
2000-02-15	4.0	4.0	4.0	4.0	11999.0
2000-02-17	4.0	4.0	4.0	4.0	27999.0
2000-02-18	3.85	3.8	3.85	3.8	31999.0
2000-02-22	3.9	3.9	3.9	3.9	11999.0
2000-03-02	5.0	5.0	5.0	5.0	999.0
2000-03-07	4.0	4.0	4.0	4.0	50999.0
2000-03-08	4.0	4.0	4.0	4.0	49999.0
2000-03-16	4.0	4.0	4.0	4.0	3999.0
2000-03-17	4.0	4.0	4.0	4.0	1999.0
2000-03-22	4.0	4.0	4.0	4.0	3999.0
2000-03-28	4.5	4.2	4.8	4.6	18999.0
2000-03-29	4.5	4.5	4.6	4.55	49999.0
2000-03-31	4.35	4.3	4.35	4.3	44999.0
2000-04-17	4.0	4.0	4.0	4.0	29999.0
2000-04-19	4.0	4.0	4.0	4.0	49999.0
2000-04-25	4.0	4.0	4.0	4.0	49999.0
2000-04-27	4.0	4.0	4.0	4.0	76999.0
2000-04-28	4.4	4.3	4.5	4.4	79999.0
2000-05-02	4.4	4.0	4.4	4.0	54999.0
2000-05-03	4.05	4.05	4.1	4.1	73999.0
2000-05-04	4.05	4.05	4.2	4.2	5999.0
2000-05-08	4.2	4.2	4.2	4.2	4999.0
2000-05-09	4.1	4.1	4.1	4.1	9999.0
2000-05-10	4.1	4.0	4.1	4.0	36999.0
2000-05-12	4.0	4.0	4.0	4.0	10999.0
2000-05-15	4.0	4.0	4.0	4.0	26999.0
2000-05-16	4.0	4.0	4.0	4.0	1999.0
2000-05-19	4.1	4.0	4.1	4.0	129999.0
2000-05-22	3.9	3.825	3.9	3.825	31999.0
2000-05-23	3.8	3.8	3.8	3.8	22999.0
2000-05-24	3.7	3.7	3.7	3.7	19999.0
2000-05-25	3.7	3.7	3.7	3.7	2999.0
2000-05-26	3.675	3.65	3.675	3.65	19999.0
2000-05-31	3.9	3.9	3.9	3.9	14999.0
2000-06-01	3.9	3.9	3.9	3.9	9999.0
2000-06-02	3.95	3.9	4.0	3.9	149999.0
2000-06-05	3.95	3.9	3.975	3.9	258999.0
2000-06-06	3.9	3.9	3.9	3.9	29999.0
2000-06-07	3.875	3.875	3.9	3.9	21999.0
2000-06-09	3.85	3.775	3.85	3.8	148999.0
2000-06-12	3.775	3.775	3.775	3.775	34999.0
2000-06-15	3.75	3.75	3.8	3.8	87999.0
