Date	Price Open	Price Low	Price High	Price Close	Volume
2007-08-23	8.0	4.96	5.1	5.05	1147400.0
2007-08-24	8.1	4.98	5.05	5.0	432500.0
2007-08-27	9.45	4.98	5.05	4.98	252700.0
2007-08-28	11.7	4.96	5.05	4.96	198400.0
2007-08-29	12.2	4.92	4.98	4.98	56200.0
2007-08-30	11.2	4.96	5.05	4.98	246800.0
2007-08-31	11.9	4.98	5.05	4.98	468300.0
2007-09-03	11.6	4.98	5.0	5.0	340500.0
2007-09-04	11.5	4.98	4.98	4.98	791200.0
2007-09-05	11.1	4.98	4.98	4.98	126800.0
2007-09-06	11.2	4.98	5.05	5.0	411700.0
2007-09-07	11.2	5.0	5.25	5.15	3816900.0
2007-09-10	11.0	5.15	5.3	5.25	1352400.0
2007-09-11	11.4	5.3	5.45	5.3	2926400.0
2007-09-12	11.3	5.2	5.35	5.25	2532600.0
2007-09-13	11.2	5.2	5.25	5.2	527800.0
2007-09-14	11.0	5.2	5.25	5.25	538700.0
2007-09-17	10.8	5.2	5.3	5.3	1157700.0
2007-09-18	10.7	5.1	5.3	5.2	2122400.0
2007-09-19	10.7	4.8	4.94	4.88	1567600.0
2007-09-20	10.6	4.84	4.88	4.84	552200.0
2007-09-21	11.3	4.76	4.86	4.8	933100.0
2007-09-24	12.3	4.8	4.84	4.82	340400.0
2007-09-25	11.9	4.82	4.84	4.84	456400.0
2007-09-26	12.1	4.84	4.92	4.86	810400.0
2007-09-27	11.6	4.86	4.88	4.86	90000.0
2007-09-28	12.5	4.86	4.9	4.88	390100.0
2007-10-01	12.3	4.86	4.88	4.86	70100.0
2007-10-02	11.2	4.82	4.88	4.82	220700.0
2007-10-03	11.1	4.82	4.84	4.84	174000.0
2007-10-04	10.8	4.84	4.86	4.86	185000.0
2007-10-05	10.5	4.84	4.88	4.86	409000.0
2007-10-08	10.4	4.86	4.88	4.88	170800.0
2007-10-09	12.5	4.86	4.86	4.86	115600.0
2007-10-10	11.1	4.86	4.88	4.88	133400.0
2007-10-11	10.7	4.84	4.86	4.86	269500.0
2007-10-12	11.2	4.84	4.86	4.86	141000.0
2007-10-15	11.7	4.8	4.84	4.82	122000.0
2007-10-16	11.5	4.8	4.86	4.86	127600.0
2007-10-17	12.0	4.82	4.88	4.82	1915600.0
2007-10-18	11.9	4.76	4.86	4.76	490900.0
2007-10-19	12.1	4.68	4.76	4.68	358100.0
2007-10-22	12.1	4.66	4.74	4.72	402100.0
2007-10-24	11.7	4.72	4.8	4.74	436000.0
