Date	Price Open	Price Low	Price High	Price Close	Volume
2014-10-08	3.0	2.98	3.08	3.08	1849200.0
2014-10-09	3.1	3.08	3.22	3.22	1779600.0
2014-10-10	3.14	3.14	3.2	3.2	1829200.0
2014-10-13	3.16	3.16	3.24	3.24	847200.0
2014-10-14	3.24	3.18	3.26	3.26	1366000.0
2014-10-15	3.26	3.24	3.28	3.28	739100.0
2014-10-16	3.28	3.18	3.28	3.26	1022400.0
2014-10-17	3.22	3.18	3.36	3.36	3821900.0
2014-10-20	3.36	3.28	3.44	3.36	4808000.0
2014-10-21	3.36	3.32	3.36	3.36	1097500.0
2014-10-22	3.36	3.34	3.4	3.38	1338500.0
2014-10-24	3.4	3.36	3.4	3.4	734000.0
2014-10-27	3.42	3.42	3.56	3.54	7127400.0
2014-10-28	3.58	3.52	3.66	3.66	7525900.0
2014-10-29	3.72	3.68	3.84	3.78	4143000.0
2014-10-30	3.84	3.78	3.88	3.84	3257700.0
2014-10-31	3.88	3.8	3.88	3.84	1713300.0
2014-11-03	3.86	3.76	3.86	3.82	1546800.0
2014-11-04	3.82	3.76	3.82	3.8	868500.0
2014-11-05	3.78	3.74	3.8	3.78	739200.0
2014-11-06	3.76	3.68	3.8	3.72	1388900.0
2014-11-07	3.7	3.48	3.74	3.62	3332900.0
2014-11-10	3.58	3.56	3.66	3.6	1221200.0
2014-11-11	3.6	3.46	3.6	3.46	1944300.0
2014-11-12	3.4	3.24	3.44	3.3	5763600.0
2014-11-13	3.24	3.22	3.36	3.36	1276700.0
2014-11-14	3.32	3.32	3.48	3.48	1656300.0
2014-11-17	3.38	3.16	3.38	3.18	4513500.0
2014-11-18	3.2	3.08	3.2	3.16	2791700.0
2014-11-19	3.14	3.1	3.14	3.12	1226900.0
2014-11-20	3.14	3.1	3.14	3.1	861000.0
2014-11-21	3.12	3.08	3.12	3.1	1351200.0
2014-11-24	3.12	3.08	3.12	3.12	1275700.0
2014-11-25	3.1	3.1	3.18	3.18	2000000.0
2014-11-26	3.2	3.1	3.24	3.14	3052200.0
2014-11-27	3.14	3.14	3.16	3.14	262300.0
2014-11-28	3.12	3.1	3.18	3.18	1003900.0
2014-12-01	3.18	3.12	3.18	3.18	467900.0
2014-12-02	3.18	3.14	3.2	3.2	518200.0
2014-12-03	3.2	3.16	3.22	3.16	186600.0
2014-12-04	3.18	3.14	3.18	3.18	461900.0
2014-12-08	3.18	3.1	3.18	3.16	898500.0
2014-12-09	3.16	3.1	3.16	3.14	361400.0
2014-12-11	3.14	3.0	3.14	3.1	1253900.0
2014-12-12	3.1	3.08	3.1	3.1	440800.0
2014-12-15	3.08	2.82	3.08	2.98	1271900.0
2014-12-16	2.96	2.82	2.96	2.92	450000.0
2014-12-17	2.88	2.88	3.04	3.04	945700.0
2014-12-18	3.02	2.98	3.1	3.08	1116800.0
2014-12-19	3.08	3.02	3.12	3.12	628200.0
2014-12-22	3.1	3.08	3.12	3.12	400900.0
