Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	1.25	1.25	1.25	1.25	99999.0
2000-01-11	1.1	1.1	1.1	1.1	9999.0
2000-01-12	1.1	1.1	1.1	1.1	4999.0
2000-01-13	1.15	1.15	1.15	1.15	9999.0
2000-01-14	1.2	1.2	1.2	1.2	19999.0
2000-01-18	1.15	1.15	1.15	1.15	4999.0
2000-01-19	1.0	1.0	1.075	1.05	394999.0
2000-01-20	1.075	1.075	1.125	1.075	29999.0
2000-01-21	1.05	1.05	1.175	1.175	24999.0
2000-01-27	1.2	1.2	1.225	1.225	19999.0
2000-02-03	1.1	1.1	1.1	1.1	9999.0
2000-02-04	1.075	1.075	1.1	1.1	39999.0
2000-02-09	1.075	1.075	1.075	1.075	49999.0
2000-02-10	1.05	1.05	1.05	1.05	9999.0
2000-02-11	1.05	1.05	1.05	1.05	9999.0
2000-02-22	1.05	1.05	1.05	1.05	19999.0
2000-02-25	1.0	1.0	1.0	1.0	7999.0
2000-02-28	1.025	1.025	1.025	1.025	9999.0
2000-02-29	1.0	1.0	1.025	1.0	105999.0
2000-03-01	1.0	1.0	1.0	1.0	129999.0
2000-03-03	1.025	1.025	1.025	1.025	39999.0
2000-03-07	1.1	1.1	1.1	1.1	9999.0
2000-03-08	1.025	1.025	1.05	1.05	269999.0
2000-03-09	1.025	1.025	1.025	1.025	70999.0
2000-03-13	1.025	1.025	1.025	1.025	9999.0
2000-03-14	1.05	1.05	1.05	1.05	9999.0
2000-03-15	1.05	1.05	1.075	1.075	29999.0
2000-03-17	1.05	1.025	1.05	1.025	57999.0
2000-03-24	1.025	1.025	1.025	1.025	9999.0
2000-03-29	1.05	1.05	1.05	1.05	49999.0
2000-03-30	1.05	1.05	1.05	1.05	49999.0
2000-04-11	1.025	1.025	1.025	1.025	1999.0
2000-04-12	1.225	1.225	1.225	1.225	7999.0
2000-04-18	1.175	1.15	1.175	1.15	49999.0
2000-04-19	1.1	1.1	1.1	1.1	9999.0
2000-04-21	1.1	1.1	1.1	1.1	19999.0
2000-04-24	1.2	1.2	1.2	1.2	53999.0
2000-04-28	1.175	1.175	1.175	1.175	19999.0
2000-05-03	1.15	1.15	1.15	1.15	49999.0
2000-05-11	1.025	1.025	1.025	1.025	3999.0
2000-05-15	1.025	1.025	1.025	1.025	9999.0
2000-05-22	1.025	1.025	1.025	1.025	114999.0
2000-05-23	1.0	1.0	1.0	1.0	99999.0
2000-05-24	0.99	0.98	1.0	1.0	179999.0
2000-05-25	1.0	1.0	1.0	1.0	19999.0
2000-05-26	0.99	0.98	1.0	1.0	179999.0
2000-05-29	1.0	1.0	1.0	1.0	99999.0
2000-06-09	1.1	1.1	1.1	1.1	22999.0
2000-06-13	1.0	1.0	1.0	1.0	9999.0
2000-06-16	0.98	0.98	0.98	0.98	19999.0
2000-06-22	0.98	0.98	0.98	0.98	99999.0
2000-07-07	0.97	0.97	0.97	0.97	49999.0
2000-07-10	0.96	0.96	0.96	0.96	9999.0
2000-07-11	0.96	0.96	0.96	0.96	49999.0
2000-07-18	0.95	0.95	0.95	0.95	9999.0
2000-07-24	0.94	0.94	0.94	0.94	49999.0
2000-08-08	0.94	0.94	0.94	0.94	39999.0
2000-08-11	0.94	0.93	0.94	0.93	179999.0
2000-08-15	0.93	0.92	0.93	0.92	249999.0
2000-08-16	0.93	0.91	0.93	0.91	199999.0
2000-08-17	0.9	0.9	0.9	0.9	131999.0
2000-08-18	0.91	0.89	0.91	0.89	194999.0
2000-08-21	0.88	0.88	0.88	0.88	89999.0
2000-08-25	0.88	0.88	0.88	0.88	99999.0
2000-09-12	0.84	0.84	0.84	0.84	27999.0
2000-09-13	0.84	0.84	0.84	0.84	9999.0
2000-09-18	0.82	0.82	0.82	0.82	22999.0
2000-10-03	0.85	0.85	0.88	0.88	29999.0
2000-10-04	0.8	0.8	1.0	1.0	50999.0
2000-10-10	0.82	0.82	0.82	0.82	8999.0
2000-10-13	0.78	0.78	0.78	0.78	4999.0
2000-10-20	0.99	0.99	0.99	0.99	11999.0
2000-10-26	0.79	0.79	0.79	0.79	7999.0
2000-11-01	1.0	1.0	1.0	1.0	7999.0
2000-12-13	0.89	0.88	0.89	0.88	22999.0
2000-12-14	0.86	0.86	0.86	0.86	13999.0
2000-12-15	0.88	0.88	0.88	0.88	211999.0
2000-12-18	0.88	0.88	0.88	0.88	99999.0
2000-12-22	0.86	0.85	0.86	0.85	149999.0
2000-12-28	0.82	0.82	0.82	0.82	129999.0
2000-12-29	0.82	0.82	0.82	0.82	14999.0
2001-01-08	0.82	0.82	0.82	0.82	49999.0
2001-01-09	0.8	0.8	0.8	0.8	64999.0
2001-01-10	0.82	0.82	0.83	0.83	199999.0
2001-01-12	0.8	0.8	0.8	0.8	5999.0
2001-01-19	0.76	0.76	0.79	0.79	33999.0
2001-01-22	0.8	0.8	0.8	0.8	1999.0
2001-01-25	0.8	0.77	0.8	0.77	199999.0
2001-01-26	0.78	0.78	0.88	0.85	410999.0
2001-01-30	0.85	0.85	0.85	0.85	999.0
2001-01-31	0.8	0.79	0.82	0.82	228999.0
2001-02-28	0.85	0.85	0.9	0.9	249999.0
2001-03-01	0.93	0.91	1.025	1.025	160999.0
2001-03-02	0.94	0.93	0.94	0.93	109999.0
2001-03-05	0.89	0.89	0.9	0.9	30999.0
2001-03-06	0.93	0.93	0.95	0.95	25999.0
2001-03-08	0.9	0.89	0.9	0.89	352999.0
2001-03-09	0.89	0.89	0.89	0.89	39999.0
2001-03-12	0.89	0.88	0.89	0.88	129999.0
2001-03-13	0.89	0.89	0.89	0.89	12999.0
2001-03-14	0.89	0.88	0.89	0.88	55999.0
2001-03-15	0.89	0.89	0.9	0.9	89999.0
2001-03-16	0.9	0.88	0.9	0.88	119999.0
2001-03-19	0.89	0.88	0.9	0.88	194999.0
2001-03-21	0.87	0.87	0.89	0.89	44999.0
2001-03-23	0.9	0.88	0.91	0.91	156999.0
2001-03-26	0.92	0.92	0.92	0.92	19999.0
2001-03-30	0.92	0.92	0.92	0.92	29999.0
2001-04-05	0.92	0.92	0.92	0.92	24999.0
2001-04-09	0.9	0.9	0.9	0.9	29999.0
2001-04-10	0.9	0.9	0.9	0.9	24999.0
2001-04-17	0.92	0.92	0.92	0.92	49999.0
2001-04-18	0.9	0.9	0.9	0.9	29999.0
2001-04-19	0.9	0.9	0.92	0.92	49999.0
2001-04-20	0.92	0.92	0.92	0.92	49999.0
2001-04-23	0.91	0.91	0.91	0.91	19999.0
2001-04-24	0.94	0.94	0.95	0.95	89999.0
2001-04-26	0.94	0.94	0.95	0.95	49999.0
2001-04-27	0.93	0.93	0.93	0.93	66999.0
2001-04-30	0.95	0.95	0.95	0.95	39999.0
2001-05-02	0.94	0.93	0.94	0.94	85999.0
2001-05-03	0.94	0.94	0.96	0.96	69999.0
2001-05-04	0.96	0.94	0.97	0.94	247999.0
2001-05-09	0.88	0.85	0.88	0.85	158999.0
2001-05-10	0.85	0.85	0.85	0.85	82999.0
2001-05-11	0.86	0.86	0.86	0.86	49999.0
2001-05-14	0.87	0.87	0.87	0.87	20999.0
2001-05-15	0.88	0.88	0.88	0.88	49999.0
2001-05-22	0.9	0.9	0.93	0.93	79999.0
2001-05-23	0.94	0.93	0.94	0.94	74999.0
2001-05-24	0.95	0.95	0.98	0.98	109999.0
2001-05-25	1.0	1.0	1.05	1.0	204999.0
2001-05-28	1.025	1.025	1.1	1.1	129999.0
2001-05-29	1.125	1.125	1.125	1.125	12999.0
2001-05-31	1.1	1.1	1.1	1.1	20999.0
2001-06-01	1.1	1.1	1.325	1.2	6989999.0
2001-06-04	1.3	1.15	1.3	1.15	161999.0
2001-06-05	1.25	1.15	1.25	1.15	279999.0
2001-06-06	1.2	1.125	1.25	1.125	6044999.0
2001-06-07	1.15	1.1	1.175	1.1	6205999.0
2001-06-08	1.125	1.05	1.125	1.075	2583999.0
2001-06-11	1.075	1.0	1.075	1.0	1455999.0
2001-06-12	1.025	1.025	1.1	1.1	1428999.0
2001-06-13	1.1	1.075	1.125	1.125	2873999.0
2001-06-14	1.125	1.075	1.15	1.075	1609999.0
2001-06-15	1.1	1.1	1.1	1.1	289999.0
2001-06-18	1.125	1.125	1.25	1.175	5874999.0
2001-06-19	1.2	1.15	1.3	1.175	11170999.0
2001-06-20	1.2	1.2	1.25	1.225	6384999.0
2001-06-21	1.225	1.225	1.525	1.475	24127999.0
2001-06-22	1.475	1.45	1.5	1.475	7381999.0
2001-06-25	1.5	1.425	1.575	1.45	3846999.0
2001-06-26	1.45	1.425	1.5	1.475	6769999.0
2001-06-27	1.5	1.45	1.525	1.5	5440999.0
2001-06-28	1.5	1.475	1.65	1.625	10506999.0
2001-06-29	1.625	1.625	1.775	1.75	6919999.0
2001-07-02	1.75	1.7	1.8	1.775	1679999.0
2001-07-03	1.75	1.75	1.825	1.8	3523999.0
2001-07-04	1.825	1.825	1.85	1.85	3419999.0
2001-07-05	1.85	1.85	1.9	1.9	3164999.0
2001-07-09	1.875	1.85	1.875	1.85	784999.0
2001-07-10	1.85	1.825	1.85	1.85	943999.0
2001-07-11	1.8	1.7	1.8	1.7	782999.0
2001-07-12	1.725	1.7	1.725	1.7	319999.0
2001-07-13	1.7	1.7	1.775	1.75	1364999.0
2001-07-16	1.775	1.7	1.775	1.725	379999.0
2001-07-17	1.725	1.725	1.75	1.725	1494999.0
2001-07-18	1.725	1.725	1.75	1.75	511999.0
