Date	Price Open	Price Low	Price High	Price Close	Volume
2013-06-06	6.181812	5.272722	6.454539	5.4090855	631178871.0
2013-06-07	5.545449	5.4090855	6.7727205	6.727266	548608608.0
2013-06-10	6.6818115	6.454539	7.2272655	7.090902	552805552.0
2013-06-11	6.9545385	5.9545395	6.999993	6.090903	507626087.0
2013-06-12	6.1363575	6.0454485	6.727266	6.636357	360284020.0
2013-06-13	6.3181755	5.7727215	6.4090845	6.090903	347219527.0
2013-06-14	6.454539	6.3181755	6.8636295	6.727266	334110154.0
2013-06-17	6.818175	6.5909025	6.9545385	6.636357	295835835.0
2013-06-18	6.5909025	6.0454485	6.727266	6.1363575	168180928.0
2013-06-19	6.2272665	5.8636305	6.4090845	6.2272665	158170258.0
2013-06-20	5.999994	5.818176	6.090903	5.818176	108885368.0
2013-06-21	5.6818125	5.6818125	6.0454485	5.9545395	98623678.0
2013-06-24	5.8636305	5.4999945	5.999994	5.4999945	50954030.0
2013-06-25	5.5909035	5.363631	5.9545395	5.9545395	93638913.0
2013-06-26	5.9545395	5.7727215	6.090903	5.9545395	95713295.0
2013-06-27	6.0454485	5.8636305	6.2272665	5.8636305	111707311.0
2013-06-28	5.9545395	5.727267	5.999994	5.727267	55382415.0
2013-07-02	5.818176	5.6818125	5.9545395	5.818176	37707817.0
2013-07-03	5.6818125	5.5909035	5.818176	5.636358	30473330.0
2013-07-04	5.727267	5.6818125	6.272721	6.272721	232307252.0
2013-07-05	6.454539	6.090903	6.4999935	6.4999935	173022253.0
2013-07-08	6.36363	6.272721	6.636357	6.36363	186285186.0
2013-07-09	6.3181755	6.2272665	6.4999935	6.454539	123478203.0
2013-07-10	6.454539	5.45454	6.454539	5.45454	150890890.0
2013-07-11	5.636358	5.636358	5.9545395	5.909085	114636394.0
2013-07-12	5.9545395	5.727267	5.999994	5.818176	80636900.0
2013-07-15	5.8636305	5.6818125	5.9545395	5.7727215	63097163.0
2013-07-16	5.818176	5.727267	6.0454485	5.8636305	111839971.0
2013-07-17	5.909085	5.818176	6.1363575	6.0454485	131779471.0
2013-07-18	6.0454485	5.9545395	6.181812	6.1363575	151343211.0
2013-07-19	6.2272665	6.1363575	6.36363	6.272721	129835329.0
2013-07-23	6.3181755	6.0454485	6.36363	6.272721	90886270.0
2013-07-24	6.272721	6.090903	6.3181755	6.090903	75288255.0
2013-07-25	6.0454485	5.727267	6.0454485	5.727267	54956054.0
2013-07-26	5.8636305	5.7727215	5.9545395	5.818176	35220275.0
2013-07-29	5.818176	5.7727215	5.9545395	5.7727215	41873521.0
2013-07-30	5.818176	5.5909035	5.8636305	5.6818125	29534149.0
2013-07-31	5.6818125	5.272722	5.727267	5.5909035	47312807.0
2013-08-01	5.636358	5.4090855	5.6818125	5.4090855	41062821.0
2013-08-02	5.45454	5.2272675	5.4999945	5.363631	44534644.0
2013-08-05	5.4090855	5.3181765	5.5909035	5.545449	40077000.0
2013-08-06	5.45454	5.4090855	5.4999945	5.4999945	21153681.0
2013-08-07	5.4999945	5.4090855	5.636358	5.545449	49102069.0
2013-08-08	5.5909035	5.4999945	5.636358	5.5909035	38648758.0
2013-08-09	5.636358	5.3181765	5.636358	5.3181765	36891836.0
2013-08-13	5.4090855	5.3181765	5.45454	5.3181765	20434060.0
2013-08-14	5.3181765	5.3181765	5.45454	5.3181765	22336402.0
2013-08-15	5.363631	5.3181765	5.45454	5.363631	25559185.0
2013-08-16	5.363631	5.3181765	5.45454	5.363631	16100496.0
2013-08-19	5.4090855	5.2272675	5.4090855	5.4090855	22809842.0
2013-08-20	5.3181765	5.2272675	5.363631	5.363631	18890538.0
2013-08-21	5.363631	5.272722	5.363631	5.272722	5692945.0
2013-08-22	5.2272675	5.090904	5.363631	5.181813	28802428.0
2013-08-23	5.2272675	4.818177	5.2272675	4.999995	38519178.0
2013-08-26	5.0454495	4.54545	5.0454495	4.818177	30686070.0
2013-08-27	4.8636315	4.20454125	4.8636315	4.20454125	20526460.0
2013-08-28	4.3181775	4.0454505	4.363632	4.090905	25914485.0
2013-08-29	4.1363595	4.0454505	4.272723	4.272723	31942051.0
2013-08-30	4.4090865	4.181814	4.4090865	4.272723	16975876.0
2013-09-02	4.24999575	4.11363225	4.454541	4.454541	36131956.0
2013-09-03	4.363632	4.20454125	4.454541	4.454541	51040271.0
2013-09-04	4.34090475	4.272723	4.38635925	4.38635925	26402446.0
2013-09-05	4.38635925	4.3181775	4.54545	4.54545	39649539.0
2013-09-06	4.52272275	4.454541	4.7727225	4.6818135	64429044.0
2013-09-09	4.7727225	4.727268	5.2272675	5.2272675	82029942.0
2013-09-10	5.272722	5.0454495	5.3181765	5.2272675	95162195.0
2013-09-11	5.2272675	4.8636315	5.3181765	5.272722	113930853.0
2013-09-12	5.2272675	5.1363585	5.45454	5.272722	120418880.0
2013-09-13	5.2272675	5.181813	5.45454	5.2272675	64159984.0
2013-09-16	5.3181765	5.272722	5.5909035	5.363631	119411939.0
2013-09-17	5.4090855	5.2272675	5.4090855	5.363631	56780956.0
2013-09-18	5.363631	5.363631	5.6818125	5.45454	137171237.0
2013-09-19	5.5909035	5.4999945	5.818176	5.545449	126666886.0
2013-09-20	5.4999945	5.4090855	5.5909035	5.4999945	41068541.0
2013-09-23	5.45454	5.272722	5.45454	5.272722	19557139.0
2013-09-24	5.3181765	5.2272675	5.545449	5.2272675	58192258.0
2013-09-25	5.3181765	5.2272675	5.545449	5.3181765	104603284.0
2013-09-26	5.3181765	5.2272675	5.4090855	5.3181765	76565796.0
2013-09-27	5.363631	5.2272675	5.363631	5.2272675	13540573.0
2013-09-30	5.1363585	5.090904	5.4090855	5.090904	83256883.0
2013-10-01	5.2272675	5.0454495	5.2272675	5.1363585	23274263.0
2013-10-02	5.181813	5.1363585	5.3181765	5.1363585	51470371.0
2013-10-03	5.181813	5.1363585	5.272722	5.181813	48568348.0
2013-10-04	5.181813	5.090904	5.3181765	5.1363585	119456819.0
2013-10-07	5.181813	5.0454495	5.181813	5.090904	32780692.0
2013-10-08	5.090904	5.090904	5.45454	5.181813	164815584.0
2013-10-09	5.181813	5.090904	5.272722	5.1363585	45581185.0
2013-10-10	5.181813	4.999995	5.181813	4.999995	69051249.0
2013-10-11	5.090904	4.999995	5.272722	5.0454495	132708532.0
2013-10-14	5.0454495	4.999995	5.090904	5.090904	30158510.0
2013-10-15	5.1363585	5.090904	5.363631	5.181813	182619982.0
2013-10-16	5.2272675	5.1363585	5.2272675	5.181813	13245113.0
2013-10-17	5.2272675	5.1363585	5.3181765	5.181813	73405493.0
2013-10-18	5.2272675	5.181813	5.3181765	5.272722	63544203.0
2013-10-21	5.272722	5.1363585	5.363631	5.1363585	56291016.0
2013-10-22	5.181813	5.0454495	5.272722	5.0454495	40271260.0
2013-10-24	5.090904	5.0454495	5.181813	5.1363585	22637142.0
2013-10-25	5.1363585	5.090904	5.181813	5.090904	8340428.0
2013-10-28	5.1363585	5.0454495	5.181813	5.090904	10805090.0
2013-10-29	5.1363585	5.090904	5.2272675	5.2272675	29692989.0
2013-10-30	5.2272675	4.999995	5.3181765	4.999995	66288706.0
2013-10-31	4.909086	4.727268	4.9545405	4.7727225	41484781.0
2013-11-01	4.6818135	4.52272275	4.7727225	4.5909045	30811030.0
2013-11-04	4.52272275	4.24999575	4.54545	4.24999575	30819170.0
2013-11-05	4.29545025	4.20454125	4.363632	4.3181775	96980496.0
2013-11-06	4.34090475	4.24999575	4.4090865	4.3181775	57048257.0
2013-11-07	4.29545025	4.24999575	4.38635925	4.272723	41730081.0
2013-11-08	4.24999575	4.1363595	4.29545025	4.1363595	25339405.0
2013-11-11	4.06817775	4.0454505	4.1363595	4.090905	11205051.0
2013-11-12	4.15908675	4.15908675	4.20454125	4.181814	7877767.0
2013-11-13	4.15908675	4.11363225	4.181814	4.1363595	4881364.0
2013-11-14	4.181814	4.1363595	4.181814	4.15908675	4896984.0
2013-11-15	4.181814	4.1363595	4.181814	4.15908675	3305943.0
2013-11-18	4.181814	4.15908675	4.20454125	4.15908675	4834284.0
2013-11-19	4.181814	4.15908675	4.20454125	4.181814	4988724.0
2013-11-20	4.15908675	4.1363595	4.181814	4.1363595	2762762.0
2013-11-21	4.1363595	3.88635975	4.1363595	3.88635975	10917290.0
2013-11-22	3.8636325	3.7727235	3.88635975	3.79545075	4924484.0
2013-11-25	3.74999625	3.74999625	3.93181425	3.8636325	4191224.0
2013-11-26	3.8636325	3.8636325	4.0454505	4.0454505	9590469.0
2013-11-27	4.0454505	4.0454505	4.181814	4.1363595	12826892.0
2013-11-28	4.15908675	4.02272325	4.15908675	4.02272325	6127446.0
2013-11-29	4.02272325	3.999996	4.0454505	3.999996	1680361.0
2013-12-02	3.97726875	3.9545415	3.999996	3.9545415	1514041.0
2013-12-03	3.97726875	3.97726875	4.11363225	3.999996	4585464.0
2013-12-04	3.999996	3.999996	4.06817775	4.06817775	3645623.0
2013-12-06	4.06817775	3.97726875	4.06817775	3.97726875	736340.0
2013-12-09	3.999996	3.88635975	4.02272325	3.93181425	4264264.0
2013-12-11	3.93181425	3.93181425	3.9545415	3.93181425	401940.0
2013-12-12	3.9545415	3.818178	3.999996	3.818178	3047443.0
2013-12-13	3.88635975	3.7727235	3.88635975	3.818178	2215842.0
2013-12-16	3.818178	3.6818145	3.84090525	3.6818145	2135322.0
2013-12-17	3.74999625	3.65908725	3.74999625	3.65908725	1220561.0
2013-12-18	3.65908725	3.65908725	3.70454175	3.6818145	1576961.0
2013-12-19	3.70454175	3.65908725	3.70454175	3.65908725	1732061.0
2013-12-20	3.6818145	3.4999965	3.6818145	3.4999965	5740465.0
2013-12-23	3.52272375	3.43181475	3.52272375	3.43181475	3361383.0
2013-12-24	3.43181475	3.43181475	3.65908725	3.63636	7046607.0
2013-12-25	3.63636	3.63636	3.84090525	3.79545075	14048774.0
2013-12-26	3.818178	3.47726925	3.84090525	3.545451	9919149.0
2013-12-27	3.61363275	3.4999965	3.727269	3.727269	7971927.0
2014-01-02	3.63636	3.4090875	3.63636	3.63636	5825605.0
2014-01-03	3.56817825	3.4090875	3.5909055	3.4090875	5815485.0
2014-01-06	3.4090875	3.181815	3.4090875	3.272724	7669427.0
2014-01-07	3.272724	3.272724	3.363633	3.3181785	2885082.0
2014-01-08	3.3181785	3.24999675	3.3181785	3.272724	4018084.0
2014-01-09	3.29545125	3.272724	3.65908725	3.56817825	16937156.0
2014-01-10	3.52272375	3.4090875	3.5909055	3.5909055	7616627.0
2014-01-13	3.56817825	3.52272375	3.727269	3.727269	9049269.0
2014-01-14	3.6818145	3.65908725	3.88635975	3.8636325	12101332.0
2014-01-15	3.8636325	3.7727235	3.88635975	3.79545075	3989043.0
2014-01-16	3.818178	3.79545075	3.909087	3.84090525	7437767.0
2014-01-17	3.909087	3.79545075	4.02272325	3.8636325	8664488.0
2014-01-20	3.8636325	3.7727235	3.8636325	3.79545075	1569261.0
2014-01-21	3.79545075	3.7727235	3.84090525	3.818178	3167563.0
2014-01-22	3.74999625	3.70454175	3.818178	3.818178	1970761.0
2014-01-23	3.818178	3.74999625	3.818178	3.818178	1107921.0
2014-01-24	3.818178	3.79545075	3.9545415	3.818178	8276628.0
2014-01-27	3.74999625	3.65908725	3.7727235	3.727269	3218603.0
2014-01-28	3.6818145	3.5909055	3.727269	3.5909055	2418242.0
2014-01-29	3.5909055	3.56817825	3.61363275	3.5909055	843700.0
2014-01-30	3.56817825	3.52272375	3.5909055	3.56817825	1204721.0
2014-01-31	3.5909055	3.545451	3.61363275	3.56817825	701580.0
2014-02-03	3.5909055	3.56817825	3.6818145	3.63636	1861421.0
2014-02-04	3.65908725	3.5909055	3.65908725	3.5909055	2725582.0
2014-02-05	3.61363275	3.56817825	3.6818145	3.6818145	13811393.0
2014-02-06	3.6818145	3.6818145	3.88635975	3.84090525	16685696.0
2014-02-07	3.818178	3.727269	3.909087	3.74999625	12510532.0
2014-02-10	3.727269	3.727269	3.7727235	3.74999625	1130581.0
2014-02-11	3.7727235	3.70454175	3.7727235	3.727269	1300421.0
2014-02-12	3.74999625	3.70454175	3.7727235	3.7727235	1343541.0
2014-02-13	3.7727235	3.74999625	3.79545075	3.7727235	1278861.0
2014-02-17	3.7727235	3.727269	3.79545075	3.727269	3500643.0
2014-02-18	3.727269	3.6818145	3.74999625	3.6818145	3957803.0
2014-02-19	3.6818145	3.65908725	3.818178	3.6818145	6097526.0
2014-02-20	3.70454175	3.56817825	3.70454175	3.61363275	3818763.0
2014-02-21	3.61363275	3.5909055	3.65908725	3.61363275	1004741.0
2014-02-24	3.56817825	3.4999965	3.5909055	3.4999965	3217283.0
2014-02-25	3.56817825	3.4999965	3.56817825	3.4999965	2511302.0
2014-02-26	3.52272375	3.4999965	3.56817825	3.56817825	1178101.0
2014-02-27	3.56817825	3.4999965	3.5909055	3.56817825	4442244.0
2014-02-28	3.56817825	3.4999965	3.56817825	3.56817825	5898645.0
2014-03-03	3.56817825	3.52272375	3.6818145	3.5909055	10633930.0
2014-03-04	3.545451	3.4999965	3.56817825	3.545451	5856845.0
2014-03-05	3.56817825	3.52272375	3.61363275	3.56817825	10747010.0
2014-03-06	3.5909055	3.56817825	3.65908725	3.65908725	22377102.0
2014-03-07	3.65908725	3.61363275	3.6818145	3.6818145	8143088.0
2014-03-10	3.65908725	3.65908725	3.79545075	3.79545075	22883102.0
2014-03-11	3.84090525	3.818178	3.97726875	3.93181425	62754182.0
2014-03-12	3.9545415	3.8636325	3.9545415	3.93181425	13843073.0
2014-03-13	3.93181425	3.93181425	4.090905	3.9545415	51625031.0
2014-03-14	3.9545415	3.909087	3.9545415	3.9545415	9416449.0
2014-03-17	3.97726875	3.88635975	3.97726875	3.97726875	12044132.0
2014-03-18	3.97726875	3.84090525	3.97726875	3.84090525	8352528.0
2014-03-19	3.8636325	3.7727235	3.88635975	3.84090525	10351890.0
2014-03-20	3.818178	3.79545075	3.84090525	3.84090525	2859562.0
2014-03-21	3.8636325	3.818178	3.8636325	3.818178	2126962.0
2014-03-24	3.818178	3.70454175	3.84090525	3.727269	2529782.0
2014-03-25	3.74999625	3.70454175	3.79545075	3.7727235	1958221.0
2014-03-26	3.818178	3.74999625	3.818178	3.7727235	1773201.0
2014-03-27	3.79545075	3.70454175	3.79545075	3.727269	3499983.0
2014-03-28	3.74999625	3.6818145	3.7727235	3.727269	2648582.0
2014-03-31	3.74999625	3.6818145	3.74999625	3.74999625	3029843.0
2014-04-01	3.74999625	3.70454175	3.74999625	3.74999625	2262262.0
2014-04-02	3.74999625	3.74999625	3.8636325	3.79545075	10481250.0
2014-04-03	3.818178	3.74999625	3.818178	3.7727235	5394185.0
2014-04-04	3.74999625	3.727269	3.7727235	3.74999625	3210243.0
2014-04-08	3.727269	3.56817825	3.74999625	3.56817825	8268708.0
2014-04-09	3.61363275	3.56817825	3.63636	3.61363275	1933141.0
2014-04-10	3.63636	3.56817825	3.63636	3.61363275	2521422.0
2014-04-11	3.5909055	3.52272375	3.5909055	3.56817825	6714846.0
2014-04-16	3.5909055	3.52272375	3.5909055	3.5909055	4399784.0
