Date	Price Open	Price Low	Price High	Price Close	Volume
2017-04-11	5.3	5.2	5.8	5.5	384658800.0
2017-04-12	5.55	5.2	5.65	5.2	127156700.0
2017-04-17	5.25	5.2	5.4	5.3	42607800.0
2017-04-18	5.35	5.25	5.45	5.3	24935300.0
2017-04-19	5.3	5.1	5.3	5.1	27081900.0
2017-04-20	5.1	5.05	5.15	5.05	10049000.0
2017-04-21	5.1	5.0	5.25	5.1	10345100.0
2017-04-24	5.1	4.84	5.15	4.88	5463200.0
2017-04-25	4.84	4.46	4.88	4.68	11735600.0
2017-04-26	4.66	4.64	4.94	4.86	6678200.0
2017-04-27	4.88	4.84	5.0	4.96	4005900.0
2017-04-28	4.98	4.92	4.98	4.94	1675300.0
2017-05-02	4.96	4.9	4.98	4.92	1776100.0
2017-05-03	4.96	4.92	5.05	5.05	4521100.0
2017-05-04	5.05	5.0	5.2	5.1	4462200.0
2017-05-05	5.15	4.98	5.15	5.1	4730200.0
2017-05-08	5.1	5.05	5.15	5.05	1652700.0
2017-05-09	5.05	5.05	5.15	5.1	1844200.0
2017-05-11	5.15	4.9	5.15	4.96	3390200.0
2017-05-12	4.92	4.92	5.0	4.98	1237400.0
2017-05-15	4.92	4.9	4.98	4.92	2660000.0
2017-05-16	4.9	4.88	4.94	4.94	1265900.0
2017-05-17	4.94	4.9	4.96	4.92	1113900.0
2017-05-18	4.92	4.9	4.96	4.94	611400.0
2017-05-19	4.98	4.98	5.1	5.05	1671600.0
2017-05-22	5.05	4.94	5.05	4.96	970800.0
2017-05-23	5.0	4.96	5.0	4.96	685000.0
2017-05-24	4.96	4.94	5.0	4.98	629900.0
2017-05-25	4.98	4.96	5.0	4.96	640500.0
2017-05-26	5.0	4.98	5.15	5.1	3395400.0
2017-05-29	5.1	5.05	5.25	5.2	3654400.0
2017-05-30	5.2	5.05	5.2	5.05	1379300.0
2017-05-31	5.05	5.05	5.15	5.1	1139700.0
2017-06-01	5.1	5.05	5.15	5.1	654400.0
