Date	Price Open	Price Low	Price High	Price Close	Volume
2020-11-09	2.5861632	2.35987392	3.08723232	2.47301856	384175105
2020-11-10	2.53767264	2.45685504	2.7477984	2.71547136	116279003
2020-11-11	2.6669808	2.424528	2.68314432	2.52150912	50912919
2020-11-12	2.55383616	2.55383616	3.10339584	3.00641472	240437726
2020-11-13	3.0710688	3.00641472	3.42666624	3.3943392	253169235
2020-11-16	3.34584864	3.29735808	3.7176096	3.68528256	197207662
2020-11-17	3.636792	3.53981088	3.81459072	3.68528256	169651660
2020-11-18	3.68528256	3.62062848	4.04088	4.04088	216595518
2020-11-19	4.0812888	4.04088	4.4045592	4.04088	129024123
2020-11-20	4.2025152	3.86308128	4.2833328	4.00855296	150041698
2020-11-23	4.0812888	3.9600624	4.444968	4.444968	138003479
2020-11-24	4.5257856	4.04088	4.7278296	4.2025152	209062011
2020-11-25	4.2833328	4.1216976	4.3641504	4.242924	114913335
2020-11-26	4.2833328	4.242924	4.444968	4.3641504	71323573
2020-11-27	4.3641504	4.1621064	4.444968	4.242924	44005266
2020-11-30	4.242924	4.1216976	4.444968	4.444968	51638257
2020-12-01	4.5257856	4.242924	4.5257856	4.242924	51579730
2020-12-02	4.2833328	4.242924	4.3641504	4.242924	26677481
2020-12-03	4.242924	4.2025152	4.3641504	4.3237416	25887059
2020-12-04	4.3641504	4.2833328	4.8086472	4.8086472	132134089
2020-12-08	4.7278296	4.6066032	4.849056	4.7278296	71337183
2020-12-09	4.7682384	4.647012	5.6976408	4.8894648	272522445
2020-12-14	5.0511	4.849056	5.1723264	4.8894648	55425303
2020-12-15	4.8894648	4.849056	5.1723264	5.1319176	50131407
2020-12-16	5.1723264	4.9298736	5.1723264	4.9702824	42544940
2020-12-17	5.0511	4.9702824	5.0915088	4.9702824	21660504
2020-12-18	5.0106912	4.8086472	5.2127352	4.9298736	68675263
2020-12-21	4.6874208	4.4045592	4.849056	4.4045592	53526088
2020-12-22	4.4853768	4.3641504	4.7278296	4.647012	27701886
2020-12-23	4.647012	4.647012	5.0106912	4.7682384	33458058
2020-12-24	4.8086472	4.6874208	4.8894648	4.8086472	13927535
2020-12-25	4.8894648	4.849056	5.0511	4.849056	37212315
2020-12-28	4.8894648	4.7278296	4.9298736	4.7278296	17239561
2020-12-29	4.7682384	4.6066032	4.8086472	4.7278296	12837302
2020-12-30	4.6874208	4.242924	4.7682384	4.5257856	23830329
2021-01-04	4.3641504	4.3641504	4.849056	4.8086472	33727430
2021-01-05	4.7682384	4.7278296	4.8894648	4.8086472	16182613
2021-01-06	4.849056	4.6874208	4.8894648	4.7278296	17474287
2021-01-07	4.7682384	4.6874208	5.0511	4.9298736	38709513
2021-01-08	4.9702824	4.8086472	5.0106912	4.849056	22841188
2021-01-11	4.849056	4.849056	5.3743704	5.1723264	86675550
2021-01-12	5.1723264	5.0106912	5.1723264	5.0915088	30104086
2021-01-13	5.1319176	5.0511	5.2127352	5.0511	27506137
2021-01-14	5.0511	5.0511	5.1319176	5.0511	6832298
2021-01-15	5.0915088	5.0915088	5.2935528	5.1319176	45454331
2021-01-18	5.1319176	5.0915088	5.657232	5.657232	77329690
2021-01-19	5.6976408	5.4955968	5.9805024	5.9400936	66792629
2021-01-20	5.8996848	5.7784584	5.9400936	5.7784584	30159643
2021-01-21	5.859276	5.4147792	5.8996848	5.6168232	49512853
2021-01-22	5.6168232	5.5764144	5.8188672	5.5764144	24373651
