Date	Price Open	Price Low	Price High	Price Close	Volume
2014-11-11	5.1875046	5.1875046	5.1875046	5.1875046	8673200.0
2014-11-12	5.9560238	5.763894	6.724543	5.90799135	164935200.0
2014-11-13	6.4363483	5.1875046	6.48438075	5.23553705	65341100.0
2014-11-14	5.04340725	4.7071801	5.0914397	4.7071801	22684200.0
2014-11-17	4.7071801	4.24606858	4.72639308	4.26528156	10071300.0
2014-11-18	4.34213348	4.3229205	4.68796712	4.34213348	14421000.0
2014-11-19	4.36134646	4.18842964	4.38055944	4.20764262	4877600.0
2014-11-20	4.15000368	3.78495706	4.18842964	3.82338302	9022000.0
2014-11-21	3.90023494	3.61204024	4.09236474	3.66967918	10513900.0
2014-11-24	3.66967918	3.2662066	3.68889216	3.28541958	7768600.0
2014-11-25	3.34305852	3.24699362	3.53518832	3.32384554	12274100.0
2014-11-26	3.38148448	3.2662066	3.51597534	3.30463256	5125500.0
2014-11-27	3.38148448	3.30463256	3.5544013	3.38148448	16551700.0
2014-11-28	3.38148448	3.3622715	3.70810514	3.59282726	30554500.0
2014-12-01	3.7465311	3.63125322	4.63032818	4.3229205	310140500.0
2014-12-02	4.2268556	4.1307907	5.04340725	4.18842964	244604800.0
2014-12-03	4.3229205	4.16921666	4.68796712	4.20764262	91098600.0
2014-12-04	4.43819838	4.0347258	4.45741136	4.07315176	36222200.0
2014-12-08	3.95787388	3.5544013	3.95787388	3.57361428	8758700.0
2014-12-09	3.59282726	3.43912342	3.6504662	3.51597534	5974300.0
2014-12-11	3.51597534	3.2662066	3.51597534	3.30463256	4749800.0
2014-12-12	3.30463256	3.24699362	3.40069746	3.24699362	2987800.0
2014-12-15	3.13171574	2.4976874	3.15092872	2.7858821	3888400.0
2014-12-16	2.76666912	2.65139124	3.13171574	3.03565084	2673100.0
2014-12-17	3.03565084	3.01643786	3.2662066	3.11250276	2491200.0
2014-12-18	3.20856766	3.15092872	3.34305852	3.32384554	2901800.0
2014-12-19	3.3622715	3.1701417	3.3622715	3.18935468	1992200.0
2014-12-22	3.18935468	3.18935468	3.49676236	3.3622715	7817800.0
2014-12-23	3.3622715	3.28541958	3.40069746	3.32384554	1700400.0
2014-12-24	3.34305852	3.13171574	3.3622715	3.15092872	1726200.0
2014-12-25	3.20856766	3.0740768	3.20856766	3.09328978	978500.0
2014-12-26	3.09328978	3.09328978	3.18935468	3.13171574	760200.0
2014-12-29	3.09328978	3.09328978	3.15092872	3.13171574	394700.0
2014-12-30	3.15092872	3.0740768	3.1701417	3.13171574	416000.0
2015-01-05	3.0740768	3.0740768	3.1701417	3.13171574	607600.0
