Date	Price Open	Price Low	Price High	Price Close	Volume
2022-02-08	0.05	0.05	0.05	0.05	10000.0
2022-02-11	0.04	0.04	0.06	0.06	210000.0
2022-02-14	0.08	0.06	0.08	0.06	10000.0
2022-03-10	0.11	0.11	0.11	0.11	300.0
2022-03-16	0.03	0.03	0.03	0.03	900000.0
2022-03-18	0.09	0.09	0.09	0.09	100.0
2022-03-21	0.11	0.11	0.11	0.11	100.0
2022-03-22	0.09	0.09	0.09	0.09	100.0
2022-03-23	0.03	0.03	0.03	0.03	100.0
2022-03-24	0.11	0.11	0.11	0.11	200.0
2022-05-23	0.02	0.02	0.04	0.04	10000.0
2022-05-24	0.05	0.05	0.05	0.05	100.0
2022-05-25	0.06	0.06	0.06	0.06	100.0
2022-05-27	0.03	0.03	0.06	0.06	1100.0
2022-05-31	0.03	0.03	0.03	0.03	100.0
2022-06-09	0.08	0.03	0.08	0.03	200.0
2022-06-10	0.06	0.06	0.06	0.06	2300.0
2022-06-13	0.08	0.04	0.08	0.04	1900.0
2022-06-14	0.06	0.06	0.06	0.06	100.0
2022-06-15	0.05	0.05	0.05	0.05	8200.0
2022-06-17	0.04	0.04	0.04	0.04	100.0
2022-06-20	0.03	0.03	0.03	0.03	100.0
2022-06-21	0.04	0.03	0.04	0.03	200.0
2022-06-22	0.03	0.03	0.04	0.04	1800.0
2022-06-23	0.06	0.06	0.06	0.06	200.0
2022-06-27	0.03	0.03	0.04	0.03	2200.0
2022-06-28	0.03	0.03	0.04	0.04	3400.0
2022-06-29	0.04	0.03	0.04	0.03	2000.0
2022-06-30	0.04	0.03	0.04	0.04	2600.0
2022-07-08	0.03	0.03	0.04	0.03	1400.0
2022-07-11	0.03	0.03	0.04	0.03	5200.0
2022-07-14	0.04	0.03	0.04	0.03	2200.0
2022-07-15	0.04	0.03	0.04	0.04	3600.0
2022-07-18	0.03	0.03	0.04	0.04	2100.0
2022-07-19	0.04	0.03	0.04	0.04	2800.0
2022-07-20	0.04	0.03	0.04	0.03	2000.0
2022-07-21	0.04	0.03	0.04	0.04	4000.0
2022-07-22	0.03	0.03	0.04	0.04	2100.0
2022-07-25	0.03	0.03	0.04	0.04	2000.0
2022-07-26	0.04	0.03	0.04	0.03	2600.0
2022-08-04	0.03	0.03	0.04	0.04	1000.0
2022-08-11	0.04	0.03	0.04	0.04	21600.0
2022-08-18	0.04	0.04	0.05	0.05	10800.0
2022-08-22	0.05	0.04	0.06	0.06	14600.0
2022-08-23	0.06	0.05	0.06	0.05	2000.0
2022-08-25	0.05	0.04	0.05	0.04	1600.0
2022-08-26	0.04	0.03	0.04	0.04	3000.0
2022-08-30	0.03	0.03	0.04	0.03	4300.0
2022-08-31	0.03	0.03	0.04	0.03	4400.0
2022-09-01	0.03	0.03	0.04	0.03	2900.0
2022-09-02	0.03	0.03	0.04	0.03	4000.0
2022-09-05	0.03	0.03	0.04	0.04	3800.0
2022-09-06	0.04	0.03	0.04	0.04	3800.0
2022-09-07	0.03	0.03	0.04	0.03	1400.0
2022-09-08	0.04	0.03	0.04	0.03	2400.0
2022-09-09	0.04	0.03	0.04	0.04	3000.0
2022-09-15	0.04	0.03	0.04	0.04	4000.0
2022-09-16	0.04	0.03	0.05	0.05	14000.0
2022-09-19	0.04	0.03	0.04	0.04	8200.0
2022-09-20	0.05	0.04	0.06	0.06	28400.0
