Date	Price Open	Price Low	Price High	Price Close	Volume
2008-04-04	2.29	2.08	2.16	2.14	5186000.0
2008-04-08	2.0	2.16	2.22	2.18	11510600.0
2008-04-09	1.76	2.16	2.26	2.16	15545000.0
2008-04-10	1.71	2.12	2.18	2.12	4823100.0
2008-04-11	1.66	2.1	2.16	2.1	5033200.0
2008-04-16	1.5	2.08	2.1	2.08	2683600.0
2008-04-17	1.56	2.08	2.12	2.1	7088900.0
2008-04-18	1.55	2.1	2.14	2.1	5178600.0
2008-04-21	1.63	2.08	2.14	2.1	5393700.0
2008-04-22	1.51	2.1	2.16	2.12	7837100.0
2008-04-23	1.56	2.12	2.3	2.22	72659600.0
2008-04-24	1.56	2.22	2.32	2.24	36815200.0
2008-04-25	1.56	2.28	2.48	2.48	81265600.0
2008-04-28	1.54	2.4	2.52	2.4	49277600.0
2008-04-29	1.52	2.18	2.42	2.22	29516300.0
2008-04-30	1.5	2.22	2.28	2.28	4175300.0
2008-05-02	1.4	2.28	2.36	2.36	9412200.0
2008-05-06	1.33	2.24	2.38	2.28	5384900.0
2008-05-07	1.35	2.18	2.3	2.24	8927500.0
2008-05-08	1.32	2.18	2.24	2.2	5765800.0
2008-05-09	1.27	2.14	2.2	2.14	7446800.0
2008-05-12	1.32	2.14	2.18	2.14	4430800.0
2008-05-13	1.3	2.12	2.18	2.12	2386200.0
2008-05-14	1.31	2.12	2.14	2.12	4778200.0
2008-05-15	1.3	2.12	2.2	2.14	11829100.0
2008-05-16	1.36	2.16	2.2	2.16	9422100.0
2008-05-20	1.36	2.1	2.18	2.1	11781700.0
2008-05-21	1.33	2.08	2.12	2.1	2310400.0
2008-05-22	1.37	2.06	2.12	2.06	4568300.0
2008-05-23	1.36	2.08	2.12	2.08	3179100.0
2008-05-26	1.36	2.02	2.06	2.02	6768200.0
2008-05-27	1.37	2.02	2.06	2.02	1551600.0
2008-05-28	1.37	1.99	2.04	1.99	4949600.0
2008-05-29	1.32	1.96	2.02	1.97	2097600.0
2008-05-30	1.3	1.98	2.02	2.0	2528400.0
2008-06-02	1.31	1.96	2.0	1.98	2433800.0
2008-06-03	1.33	1.95	1.98	1.98	1415600.0
2008-06-04	1.34	1.97	2.02	1.97	4475900.0
2008-06-05	1.32	1.96	2.0	1.97	1614300.0
2008-06-06	1.31	1.97	2.0	1.98	4334500.0
2008-06-09	1.3	1.96	1.97	1.96	1052600.0
2008-06-10	1.28	1.9	1.97	1.91	5095600.0
2008-06-11	1.26	1.82	1.92	1.87	8043600.0
2008-06-12	1.28	1.62	1.85	1.67	23975500.0
2008-06-13	1.26	1.67	1.72	1.69	7627700.0
2008-06-16	1.23	1.7	1.78	1.77	6947900.0
2008-06-17	1.21	1.75	1.84	1.77	10401300.0
2008-06-18	1.23	1.73	1.78	1.74	1867900.0
2008-06-19	1.22	1.64	1.72	1.67	4688800.0
2008-06-20	1.21	1.66	1.75	1.75	3190900.0
2008-06-23	1.12	1.69	1.77	1.74	1941800.0
2008-06-24	1.1	1.69	1.76	1.7	3911600.0
2008-06-25	1.11	1.71	1.74	1.72	2889800.0
2008-06-26	1.11	1.74	1.83	1.79	18008400.0
2008-06-27	1.11	1.72	1.79	1.76	5776200.0
2008-06-30	1.09	1.74	1.78	1.74	1979300.0
2008-07-02	1.07	1.7	1.74	1.71	1573300.0
2008-07-03	1.07	1.67	1.72	1.67	2575000.0
2008-07-04	1.05	1.66	1.7	1.68	1335600.0
2008-07-07	1.0	1.62	1.69	1.63	2238300.0
2008-07-08	1.01	1.58	1.63	1.59	3339900.0
2008-07-09	1.02	1.57	1.63	1.58	5548800.0
2008-07-10	1.02	1.54	1.59	1.58	3711300.0
2008-07-11	0.99	1.56	1.61	1.61	1862500.0
2008-07-14	1.0	1.56	1.61	1.58	1548100.0
2008-07-15	1.03	1.54	1.59	1.54	2108400.0
2008-07-16	1.01	1.5	1.56	1.53	2280800.0
2008-07-18	1.0	1.52	1.58	1.54	511600.0
2008-07-21	1.0	1.54	1.58	1.58	1398300.0
2008-07-22	1.0	1.55	1.58	1.56	1476500.0
2008-07-23	1.05	1.58	1.62	1.61	1057100.0
2008-07-24	1.03	1.6	1.66	1.65	2205900.0
2008-07-25	1.05	1.62	1.64	1.63	703900.0
