Date	Price Open	Price Low	Price High	Price Close	Volume
2020-10-09	8.7019189	5.5769204	8.8461496	5.8173049	902318369
2020-10-12	5.769228	5.288459	5.8653818	5.288459	106230850
2020-10-14	5.3846128	5.3365359	6.1057663	6.1057663	199080015
2020-10-15	6.0576894	5.769228	6.2019201	5.769228	93840389
2020-10-16	5.9134587	5.6249973	5.9615356	5.6730742	28516293
2020-10-19	5.5288435	4.8557669	5.5769204	4.9519207	24050323
2020-10-20	4.73076696	4.63461316	5.288459	5.288459	29763150
2020-10-21	5.2403821	4.9519207	5.2403821	4.9999976	8891172
2020-10-22	4.9038438	4.9038438	5.2403821	4.9519207	11195813
2020-10-26	4.9999976	4.9038438	5.2403821	5.1923052	11624189
2020-10-27	5.1923052	5.1923052	5.5288435	5.4807666	18084984
2020-10-28	5.4807666	5.4326897	5.8173049	5.7211511	24538083
2020-10-29	5.7211511	5.7211511	6.0096125	5.8653818	22662962
2020-10-30	5.8653818	5.6730742	5.9615356	5.8653818	10584189
2020-11-02	5.8173049	5.7211511	5.9134587	5.769228	7713267
2020-11-03	5.8173049	5.7211511	5.8653818	5.8173049	9299996
2020-11-04	5.8173049	5.6730742	5.8173049	5.769228	3783209
2020-11-05	5.769228	5.5769204	5.769228	5.5769204	11190925
2020-11-06	5.4807666	5.288459	5.4807666	5.3846128	11422429
2020-11-09	5.3365359	5.2403821	5.769228	5.769228	16446255
2020-11-10	5.4326897	5.3846128	5.5288435	5.5288435	10818293
2020-11-11	5.5288435	5.5288435	5.8173049	5.8173049	12861998
2020-11-12	5.769228	5.7211511	5.8653818	5.769228	7607707
2020-11-13	5.769228	5.769228	6.1057663	6.0576894	18635872
2020-11-16	6.1057663	6.1057663	6.5865353	6.5865353	42748492
2020-11-17	6.6826891	6.4423046	6.730766	6.6346122	26411228
2020-11-18	6.5865353	6.5384584	6.8749967	6.8269198	18940697
2020-11-19	6.8269198	6.5865353	6.8269198	6.730766	7450667
2020-11-20	6.6826891	6.5384584	6.730766	6.6346122	6485027
2020-11-23	6.6346122	6.249997	6.6346122	6.4423046	14667543
2020-11-24	6.3942277	5.9134587	6.3942277	6.0096125	19587577
2020-11-25	6.1057663	6.0576894	6.4423046	6.4423046	17464624
2020-11-26	6.4423046	6.2980739	6.4903815	6.3942277	7606563
2020-11-27	6.3461508	6.2980739	6.4423046	6.3461508	14892703
2020-11-30	6.3942277	6.2019201	6.3942277	6.2019201	14310926
2020-12-01	6.3942277	6.2980739	6.8749967	6.6826891	69908417
2020-12-02	6.7788429	6.5384584	6.9230736	6.5384584	44589813
2020-12-03	6.6826891	6.5865353	6.9230736	6.7788429	59153668
2020-12-04	6.8269198	6.5865353	6.8269198	6.6346122	14277022
2020-12-08	6.4423046	6.249997	6.5384584	6.3461508	21064690
2020-12-09	6.3461508	6.1538432	6.3942277	6.2019201	13621614
2020-12-14	6.1057663	5.6730742	6.1057663	5.8173049	20825281
2020-12-15	5.8173049	5.7211511	6.1538432	6.1538432	9361460
2020-12-16	6.2019201	6.0096125	6.2019201	6.1057663	4753738
2020-12-17	6.1057663	5.9134587	6.1057663	5.9615356	13264894
2020-12-18	6.0096125	5.9615356	6.1057663	6.0096125	5117842
2020-12-21	5.7211511	5.6730742	5.9615356	5.6730742	9724524
2020-12-22	5.769228	5.5288435	5.8173049	5.7211511	7944771
2020-12-23	5.7211511	5.6249973	5.9134587	5.8173049	4531386
2020-12-24	5.769228	5.769228	5.9615356	5.9615356	4231762
2020-12-25	5.9615356	5.8653818	6.0096125	5.8653818	4072433
2020-12-28	5.8653818	5.7211511	5.9134587	5.7211511	4792842
2020-12-29	5.7211511	5.6249973	5.769228	5.769228	3433249
2020-12-30	5.8173049	5.769228	6.0096125	5.9615356	10442125
2021-01-04	5.8653818	5.8173049	6.2019201	6.1538432	11988813
2021-01-05	6.2019201	6.1057663	6.3461508	6.3461508	13211646
2021-01-06	6.4423046	6.3461508	6.6346122	6.5384584	25342420
2021-01-07	6.6826891	6.3942277	6.6826891	6.4903815	10080724
2021-01-08	6.5384584	6.2980739	6.5865353	6.3461508	7890691
2021-01-11	6.3942277	6.249997	6.4903815	6.3461508	7198883
2021-01-12	6.3461508	6.3461508	6.5865353	6.5865353	12161765
2021-01-13	6.6346122	6.4423046	6.6826891	6.5384584	8001243
2021-01-14	6.5384584	6.4903815	6.8269198	6.7788429	24287443
2021-01-15	6.7788429	6.6346122	7.1153812	7.1153812	29419430
2021-01-18	6.8749967	6.8269198	7.4519195	7.4519195	37924762
2021-01-19	7.5480733	7.3557657	7.5961502	7.4038426	21301810
2021-01-20	7.4038426	7.211535	7.4038426	7.211535	8519788
2021-01-21	7.3076888	6.9711505	7.3557657	7.0673043	8234203
2021-01-22	7.211535	7.1634581	7.4038426	7.3076888	10040892
2021-01-25	7.4999964	7.4038426	7.692304	7.692304	22206090
2021-01-26	7.6442271	7.5480733	7.692304	7.6442271	5929666
2021-01-27	7.692304	7.5961502	7.7884578	7.5961502	13744646
2021-01-28	7.4519195	7.1153812	7.692304	7.211535	14933783
2021-01-29	7.3076888	7.1634581	7.4038426	7.4038426	11106061
2021-02-01	7.3557657	7.3076888	7.5961502	7.5961502	8013203
2021-02-02	7.7884578	7.6442271	7.9807654	7.8365347	25510276
2021-02-03	7.8365347	7.7884578	7.9326885	7.8846116	7575259
2021-02-04	7.8846116	7.8846116	8.1249961	7.8846116	14299174
2021-02-05	7.9326885	7.8365347	8.0769192	8.0288423	8564508
2021-02-08	7.9326885	7.692304	8.0288423	7.7884578	16012575
2021-02-09	7.8365347	7.5961502	7.8846116	7.6442271	11876805
2021-02-10	7.7403809	7.6442271	7.8846116	7.8365347	6492619
2021-02-11	7.8365347	7.4038426	7.8365347	7.5961502	18188256
2021-02-15	7.5480733	7.4999964	7.6442271	7.5961502	4501746
2021-02-16	7.5961502	7.4999964	7.5961502	7.5480733	3824185
2021-02-17	7.4999964	7.4999964	7.7884578	7.7403809	8067907
2021-02-18	7.7403809	7.6442271	7.7884578	7.6442271	2637337
2021-02-19	7.692304	7.5961502	7.7884578	7.692304	7029779
2021-02-22	7.7403809	7.692304	7.9326885	7.8365347	14429590
2021-02-23	7.8846116	7.8365347	8.4134575	8.3653806	22166466
2021-02-24	8.4615344	8.2211499	8.653842	8.5576882	17824256
2021-02-25	8.6057651	8.173073	8.6057651	8.2211499	10311708
2021-03-01	7.9326885	7.6442271	8.0288423	7.9807654	10289764
2021-03-02	8.653842	8.4615344	8.7980727	8.653842	29020589
2021-03-03	8.7980727	8.653842	9.4711493	9.2788417	29044509
2021-03-04	9.5673031	9.3269186	9.7115338	9.4711493	19539633
2021-03-05	9.2788417	9.2788417	9.5673031	9.3749955	7597099
2021-03-08	9.5192262	8.6057651	9.5192262	8.7980727	26119924
2021-03-09	8.8461496	8.7980727	9.0865341	9.0384572	9493332
2021-03-10	9.0384572	8.9423034	9.0865341	9.0865341	4828618
