Date	Price Open	Price Low	Price High	Price Close	Volume
2013-11-25	6.4	6.35	7.15	6.7	653737000
2013-11-26	6.8	6.7	7.05	6.75	181330400
2013-11-27	6.9	6.8	7.2	7.05	126518000
2013-11-28	7.1	6.7	7.15	6.7	69552000
2013-11-29	6.75	6.6	6.85	6.6	19016400
2013-12-02	6.55	6.5	6.75	6.75	12999600
2013-12-03	6.7	6.7	7.05	6.85	26655800
2013-12-04	6.85	6.85	7.05	6.95	18807400
2013-12-06	6.95	6.85	7.2	6.85	36425000
2013-12-09	6.95	6.8	7.05	6.9	16986800
2013-12-11	6.95	6.9	7.0	6.9	6053000
2013-12-12	6.95	6.95	7.5	7.45	89617800
2013-12-13	7.45	7.3	7.6	7.55	43890400
2013-12-16	7.5	7.5	8.55	8.35	56608000
2013-12-17	8.3	8.05	8.5	8.3	27982200
2013-12-18	8.35	8.35	8.9	8.65	59473000
2013-12-19	8.7	8.35	8.75	8.35	22636600
2013-12-20	8.4	8.35	8.7	8.65	30932800
2013-12-23	8.6	8.25	8.7	8.25	11878000
2013-12-24	8.35	8.35	8.6	8.45	6317200
2013-12-25	8.55	8.35	8.55	8.35	3921600
2013-12-26	8.4	8.35	8.55	8.5	10563600
2013-12-27	8.6	8.35	8.75	8.5	15266400
2014-01-02	8.55	8.0	8.55	8.05	6401000
2014-01-03	8.1	8.05	8.35	8.1	4643800
2014-01-06	8.1	8.05	8.25	8.15	5711200
2014-01-07	8.15	8.15	8.35	8.25	7104600
2014-01-08	8.3	8.25	8.55	8.25	6878200
2014-01-09	8.3	8.2	8.4	8.25	4853000
2014-01-10	8.2	8.15	8.25	8.2	1728600
2014-01-13	8.15	8.0	8.2	8.2	1279200
2014-01-14	8.2	8.2	8.35	8.25	2900200
2014-01-15	8.2	8.2	9.05	8.8	34238400
2014-01-16	9.05	9.05	9.6	9.45	32769600
2014-01-17	9.45	9.1	9.75	9.15	16899400
2014-01-20	9.15	8.75	9.2	8.85	7027200
2014-01-21	8.9	8.9	9.5	9.5	17161400
2014-01-22	9.35	9.35	9.95	9.45	28763200
2014-01-23	9.55	9.3	9.75	9.3	9941000
2014-01-24	9.45	9.4	9.8	9.55	14098800
2014-01-27	9.5	9.45	9.75	9.55	7130400
2014-01-28	9.65	9.1	9.65	9.25	5788200
2014-01-29	9.35	9.25	9.4	9.35	2940200
2014-01-30	9.3	9.3	9.4	9.35	2203000
2014-01-31	9.4	9.35	9.6	9.4	3362000
2014-02-03	9.5	9.45	10.05	10.0	34415200
2014-02-04	9.9	9.65	10.0	9.85	16473000
2014-02-05	9.9	9.8	10.1	9.85	15087800
2014-02-06	9.95	9.75	10.0	9.85	5910200
2014-02-07	9.9	9.4	10.0	9.45	25369800
2014-02-10	9.5	9.45	9.6	9.5	5011400
2014-02-11	9.55	9.4	9.7	9.4	6383800
2014-02-12	9.45	9.45	9.55	9.45	4399000
2014-02-13	9.5	9.45	9.6	9.45	6427800
2014-02-17	9.55	9.1	9.55	9.25	13728800
2014-02-18	9.35	9.15	9.4	9.15	7658800
2014-02-19	9.2	9.2	9.3	9.2	4227000
2014-02-20	9.2	9.1	9.25	9.1	1729400
2014-02-21	9.15	9.15	9.4	9.2	4662200
2014-02-24	9.25	9.15	9.4	9.35	5345600
2014-02-25	9.4	9.25	9.55	9.25	12979200
2014-02-26	9.3	9.2	9.45	9.4	5802800
2014-02-27	9.55	9.45	9.6	9.45	6737600
2014-02-28	9.5	9.35	9.5	9.4	1936600
2014-03-03	9.4	9.2	9.45	9.25	4028000
2014-03-04	9.25	9.25	9.35	9.3	575200
2014-03-05	9.35	9.25	9.35	9.25	672600
2014-03-06	9.35	9.3	9.5	9.35	4789000
2014-03-07	9.35	9.35	9.65	9.55	13978800
2014-03-10	9.5	9.4	9.55	9.45	5857400
2014-03-11	9.3	9.25	9.35	9.25	3106400
2014-03-12	9.3	9.3	9.5	9.3	5961600
2014-03-13	9.35	9.35	9.45	9.4	1948600
2014-03-14	9.4	9.3	9.45	9.3	738000
2014-03-17	9.35	9.3	9.45	9.4	1077400
2014-03-18	9.45	9.35	9.75	9.45	18495600
2014-03-19	9.5	9.2	9.5	9.2	2737600
2014-03-20	9.2	9.2	9.35	9.3	1950600
2014-03-21	9.3	9.15	9.4	9.25	1051200
2014-03-24	9.3	9.0	9.3	9.05	1905000
2014-03-25	9.1	8.95	9.1	9.0	2855200
2014-03-26	9.05	9.0	9.15	9.0	613600
2014-03-27	9.05	8.85	9.05	8.9	1204400
2014-03-28	8.9	8.85	9.0	8.9	833600
2014-03-31	8.95	8.9	9.1	8.9	809800
2014-04-01	8.95	8.95	9.15	9.1	2178800
2014-04-02	9.15	9.1	9.4	9.15	4796800
2014-04-03	9.2	9.1	9.25	9.15	780200
2014-04-04	9.15	8.95	9.2	9.0	544400
2014-04-08	9.05	8.9	9.05	8.9	269400
2014-04-09	8.9	8.9	9.2	9.2	2286200
2014-04-10	9.15	9.05	9.15	9.05	650200
2014-04-11	9.05	9.0	9.05	9.05	1513200
2014-04-16	9.05	9.05	9.25	9.25	832400
2014-04-17	9.2	9.15	9.25	9.2	1649400
2014-04-18	9.05	9.05	9.2	9.15	230800
