Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-07	4.5	4.5	4.5	4.5	1000.0
2000-01-12	4.5	4.5	4.5	4.5	30100.0
2000-01-13	4.5	4.5	5.8	4.8	161700.0
2000-01-14	5.1	5.1	5.3	5.3	110400.0
2000-01-17	5.3	5.3	5.3	5.3	11000.0
2000-01-18	5.2	5.0	5.3	5.0	23000.0
2000-01-19	5.1	5.0	5.3	5.0	129800.0
2000-01-21	5.1	5.1	5.2	5.2	17400.0
2000-01-24	5.1	5.1	5.6	5.6	2000.0
2000-01-25	5.4	5.0	5.4	5.0	53000.0
2000-01-26	5.1	5.1	5.3	5.2	100000.0
2000-01-27	5.6	5.2	5.7	5.3	48000.0
2000-01-28	5.6	5.4	5.6	5.6	45100.0
2000-01-31	5.7	5.5	5.9	5.5	11500.0
2000-02-01	5.5	5.5	5.5	5.5	9500.0
2000-02-02	5.4	5.1	5.4	5.1	9000.0
2000-02-03	5.3	5.3	5.3	5.3	7000.0
2000-02-04	5.6	5.6	5.6	5.6	1000.0
2000-02-07	5.7	5.7	5.7	5.7	1000.0
2000-02-08	5.2	5.2	5.4	5.4	1100.0
2000-02-09	5.5	5.3	5.5	5.3	5000.0
2000-02-10	5.2	5.2	5.8	5.8	5200.0
2000-02-11	5.2	5.2	5.2	5.2	10000.0
2000-02-17	5.0	5.0	5.6	5.6	14000.0
2000-02-18	5.0	5.0	5.0	5.0	4100.0
2000-02-22	4.8	4.8	4.8	4.8	10900.0
2000-03-22	4.8	4.8	4.8	4.8	20000.0
2000-03-31	4.5	4.5	4.5	4.5	1200.0
2000-04-07	4.5	4.5	4.5	4.5	200.0
2000-04-17	4.5	4.5	4.5	4.5	100.0
2000-05-04	4.6	4.6	4.6	4.6	1000.0
2000-05-12	4.6	4.6	4.6	4.6	10900.0
2000-05-15	4.7	4.7	5.6	5.6	1200.0
2000-05-18	4.5	4.5	4.5	4.5	800.0
2000-06-02	5.8	4.7	5.8	4.7	2300.0
2000-06-08	5.0	5.0	6.0	6.0	2200.0
2000-06-09	5.6	5.6	5.6	5.6	4000.0
2000-06-12	5.7	5.7	7.2	6.1	2500.0
2000-06-15	5.6	5.6	6.7	6.7	4500.0
2000-06-20	6.4	5.8	6.4	5.8	3500.0
2000-06-21	5.8	5.8	6.4	6.4	5000.0
2000-06-22	6.3	5.8	6.4	6.4	19000.0
2000-06-23	6.4	6.4	6.8	6.8	1100.0
2000-06-28	6.8	6.8	6.8	6.8	500.0
2000-06-29	6.2	6.2	7.3	7.3	11000.0
2000-06-30	7.2	7.1	7.8	7.7	17500.0
2000-07-03	7.7	7.5	8.4	8.3	26500.0
2000-07-04	7.4	7.3	8.0	8.0	11000.0
2000-07-05	8.1	7.8	8.3	7.8	10800.0
2000-07-06	8.0	8.0	8.4	8.4	1500.0
2000-07-07	8.4	8.4	9.2	9.2	6500.0
2000-07-11	9.0	9.0	9.0	9.0	1000.0
2000-07-14	9.0	9.0	9.5	9.5	2100.0
2000-07-19	9.2	9.2	9.2	9.2	500.0
2000-07-20	8.0	7.9	8.0	7.9	3300.0
2000-07-31	7.0	6.7	7.0	6.7	10000.0
2000-08-03	8.5	6.8	8.7	8.4	8400.0
2000-08-04	8.4	8.4	8.5	8.5	1000.0
2000-08-11	8.6	8.5	10.75	10.75	38900.0
2000-08-15	9.5	8.9	10.0	9.9	4200.0
2000-08-16	8.7	8.7	9.8	9.8	1300.0
2000-08-18	8.1	8.1	9.1	9.1	2100.0
2000-08-24	8.9	8.9	8.9	8.9	500.0
