Date	Price Open	Price Low	Price High	Price Close	Volume
2021-02-11	26.5	22.1	29.5	29.25	1818125500
2021-02-15	30.75	30.5	36.5	34.0	1149682700
2021-02-16	35.0	32.0	35.0	32.75	479377100
2021-02-17	31.5	29.5	32.5	29.5	338385400
2021-02-18	30.25	29.75	31.5	30.25	280945100
2021-02-19	31.0	30.0	31.5	31.5	221276300
2021-02-22	32.25	31.25	32.5	31.75	175380100
2021-02-23	32.0	30.75	32.25	31.0	184256000
2021-02-24	30.75	30.0	31.25	30.75	156591000
2021-02-25	31.0	29.5	31.5	29.5	436978200
2021-03-01	29.25	28.5	30.0	28.75	138645300
2021-03-02	29.0	28.75	29.75	29.25	96852000
2021-03-03	29.5	29.0	30.0	29.75	107158800
2021-03-04	29.5	29.25	29.75	29.75	79489200
2021-03-05	29.75	29.75	31.25	30.25	183251300
2021-03-08	30.5	29.5	30.75	29.75	113311000
2021-03-09	29.75	29.5	30.25	29.75	64545400
2021-03-10	29.5	29.5	30.5	30.5	130051100
2021-03-11	31.0	30.0	31.0	30.25	74421600
2021-03-12	30.0	29.5	30.25	30.25	90126700
2021-03-15	30.0	29.75	30.25	30.0	44782100
2021-03-16	30.0	29.75	30.25	29.75	27863800
2021-03-17	30.0	29.75	33.0	33.0	379372800
2021-03-18	33.25	32.25	33.5	33.0	143643000
2021-03-19	32.5	31.5	33.0	32.0	138127800
2021-03-22	31.75	30.75	32.0	31.75	111719700
2021-03-23	32.75	31.75	33.0	32.25	143290300
2021-03-24	32.0	31.75	33.0	33.0	151559700
2021-03-25	33.0	32.0	33.5	32.0	152526000
2021-03-26	32.25	31.75	32.75	32.75	75549200
2021-03-29	32.75	32.25	33.0	32.75	42527400
2021-03-30	32.75	32.0	32.75	32.5	58296300
2021-03-31	32.5	32.0	32.75	32.25	52500600
2021-04-01	32.25	32.25	32.75	32.25	44728300
2021-04-02	32.25	32.0	32.75	32.25	46369600
2021-04-05	32.25	31.5	32.5	31.75	43836000
2021-04-07	31.5	31.0	31.75	31.25	52073600
2021-04-08	31.25	31.0	31.75	31.5	43692900
2021-04-09	31.5	30.75	31.75	31.0	53156300
2021-04-12	30.75	30.25	30.75	30.25	33425700
2021-04-16	30.5	29.75	30.5	30.5	62477200
2021-04-19	30.5	30.25	31.0	30.75	36415100
2021-04-20	30.5	30.0	30.75	30.25	47373500
2021-04-21	30.0	30.0	30.5	30.25	16878000
2021-04-22	30.25	30.0	30.5	30.0	33233000
2021-04-23	30.0	29.75	30.25	30.0	28225200
2021-04-26	30.0	29.5	30.0	29.5	38268900
2021-04-27	29.5	29.25	30.0	29.75	44864200
2021-04-28	30.0	29.75	30.25	30.0	34751200
2021-04-29	30.0	30.0	30.75	30.75	49083000
2021-04-30	30.75	30.0	30.75	30.5	27832400
2021-05-05	30.25	29.5	30.25	29.5	58179900
2021-05-06	29.75	29.5	30.0	29.75	28525900
2021-05-07	29.75	29.5	30.0	29.75	24411000
2021-05-10	29.75	29.0	30.0	29.25	55446100
2021-05-11	29.25	28.75	29.5	29.0	46240000
2021-05-12	29.5	28.5	29.75	28.5	69385600
2021-05-13	28.0	27.5	28.75	28.5	69097200
